ID	Ploidy	biallelic_sites	biallelic_sites_denoised	Diploid	Triploid	Tetraploid	Diploid_denoised	Triploid_denoised	Tetraploid_denoised
Mcapitata_ATAC_TP1_1037	2	166694	99728	14488.413153	45607.500009	57988.009067	916.317813	82879.970137	74192.514487
Mcapitata_ATAC_TP1_1600	2	67237	45693	4356.791947	18401.483623	24151.775274	546.045849	33382.298446	32914.529749
Mcapitata_ATAC_TP1_1652	2	163306	100493	13579.799935	48050.787279	58849.634019	861.647896	88641.475814	77166.559824
Mcapitata_ATAC_TP3_1101	2	182883	113480	14992.089265	55854.405586	67410.928529	822.832558	101305.255843	87216.487172
Mcapitata_ATAC_TP3_1548	2	145079	89864	11614.706038	41557.025077	52482.102035	843.606140	75747.653965	68080.106781
Mcapitata_ATAC_TP3_1628	2	166940	96071	15534.119142	44847.870433	57090.431363	861.017330	81665.498667	71590.364018
Mcapitata_ATAC_TP4_1108	2	169522	107775	13503.113678	53434.023260	63933.241431	690.552234	95917.083232	82597.055422
Mcapitata_ATAC_TP4_1609	2	176065	107356	15190.347485	49873.884554	62262.557992	776.340690	89381.415715	78958.978416
Mcapitata_ATAC_TP4_1651	2	171499	104577	14644.464610	49840.962140	60943.152799	803.844698	91835.687842	79678.880931
Mcapitata_ATAC_TP5_1196	2	123427	80296	9337.014145	34288.204434	43512.880247	862.868505	62053.570798	58339.917053
Mcapitata_ATAC_TP5_1610	2	152911	95477	12380.606146	44597.638380	55557.776219	816.783974	80552.545944	71845.951807
Mcapitata_ATAC_TP5_1776	2	88467	52169	7884.272526	21879.389345	28878.100214	430.036828	41037.687942	38103.318289
Mcapitata_ATAC_TP6_1114	2	113750	70110	9511.663653	30230.425169	38923.527953	589.296044	55718.919059	51232.306832
Mcapitata_ATAC_TP6_1611	2	171225	106952	14064.052799	52783.310684	63566.013810	907.371683	94197.070458	81255.893186
Mcapitata_ATAC_TP6_2402	2	181981	111825	15225.669494	55096.599454	66613.517955	656.709915	99749.797285	85332.883395
Mcapitata_ATAC_TP7_1058	2	122276	79145	8973.230882	34749.512448	44046.388069	1098.102886	63799.328071	59377.103851
