a	b	ida	idb	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	F_diff_a_b	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter
0	1	Mcapitata_ATAC_TP10_1095	Mcapitata_ATAC_TP10_1561	1530715	0.863895	0.000000	0.016271	0.000001	0.000000	0.059139	0.000000	0.060174	0.000521	0.016792	0.119834	0.060696	0.008656	0.000521	0.000521	0.076444	0.000521	0.076965	0.106535	0.029569	-2062303.195936	666	-1	0.119009	4.848338e-01,1.556567e-01,3.381608e-02,1.341149e-01,9.599608e-02,2.034797e-02,3.687112e-02,2.411406e-02,1.424921e-02	0.736355	0.237074	-0.086234	-2309440.811767	14
0	2	Mcapitata_ATAC_TP10_1095	Mcapitata_ATAC_TP10_1631	1423217	0.892597	0.000002	0.003621	0.000006	0.000000	0.040189	0.000000	0.062805	0.000778	0.004401	0.103773	0.063590	0.002590	0.000778	0.000778	0.066427	0.000778	0.067205	0.087304	0.020091	-1914246.268483	94	-1	0.110651	4.800679e-01,1.559499e-01,3.430902e-02,1.390623e-01,9.627045e-02,2.089076e-02,3.607040e-02,2.417239e-02,1.320691e-02	0.731059	0.234546	-0.083528	-2144688.786246	14
0	3	Mcapitata_ATAC_TP10_1095	Mcapitata_ATAC_TP1_1037	1670226	0.830216	0.000001	0.024911	0.000000	0.000001	0.144794	0.000000	0.000077	0.000000	0.024913	0.144871	0.000078	0.012456	0.000000	0.000000	0.024988	0.000000	0.024988	0.097387	0.072397	-2248323.841394	58	-1	0.129856	4.683059e-01,1.810736e-01,2.960323e-02,1.217493e-01,1.051022e-01,1.633434e-02,3.720968e-02,2.823257e-02,1.238918e-02	0.635695	0.253746	-0.051155	-2515145.720136	14
0	4	Mcapitata_ATAC_TP10_1095	Mcapitata_ATAC_TP11_1076	1645304	0.858752	0.000000	0.002606	0.000000	0.000000	0.097893	0.000000	0.040749	0.000000	0.002606	0.138642	0.040749	0.001303	0.000000	0.000000	0.043354	0.000000	0.043354	0.092301	0.048947	-2238537.123045	82	-1	0.127918	4.675032e-01,1.735648e-01,3.694814e-02,1.265386e-01,9.914829e-02,1.895070e-02,3.826969e-02,2.650211e-02,1.257452e-02	0.758640	0.235633	-0.094304	-2499326.455910	14
0	5	Mcapitata_ATAC_TP10_1095	Mcapitata_ATAC_TP11_1644	1466892	0.847156	0.000014	0.037273	0.000000	0.000000	0.115557	0.000000	0.000000	0.000000	0.037280	0.115557	0.000000	0.018640	0.000000	0.000000	0.037273	0.000000	0.037273	0.095059	0.057778	-1966553.269426	82	-1	0.114047	4.571858e-01,1.957771e-01,1.994914e-02,1.209338e-01,1.208188e-01,1.106417e-02,3.290756e-02,3.107709e-02,1.028659e-02	0.437487	0.293457	0.025155	-2197003.685329	14
0	6	Mcapitata_ATAC_TP10_1095	Mcapitata_ATAC_TP11_2302	1611213	0.838814	0.000006	0.027694	0.000000	0.000000	0.124812	0.000000	0.008670	0.000004	0.027701	0.133485	0.008674	0.013853	0.000004	0.000004	0.036364	0.000004	0.036368	0.098777	0.062406	-2195061.628199	50	-1	0.125268	4.638407e-01,1.798284e-01,3.310165e-02,1.234341e-01,1.052718e-01,1.783651e-02,3.629968e-02,2.703639e-02,1.335083e-02	0.659258	0.252126	-0.060018	-2447089.072560	14
0	7	Mcapitata_ATAC_TP10_1095	Mcapitata_ATAC_TP1_1600	1290487	0.894018	0.000000	0.013952	0.000000	0.000000	0.000127	0.011250	0.080618	0.000034	0.022424	0.092029	0.080652	0.012635	0.005659	0.000034	0.094570	0.000034	0.094604	0.105918	0.000063	-1710248.657618	98	-1	0.100332	4.914147e-01,1.413126e-01,3.340046e-02,1.425612e-01,9.893036e-02,2.064444e-02,3.462866e-02,2.260900e-02,1.449863e-02	0.687647	0.250358	-0.070721	-1922127.141138	14
0	8	Mcapitata_ATAC_TP10_1095	Mcapitata_ATAC_TP1_1652	1635958	0.854517	0.000046	0.006831	0.000000	0.000000	0.113523	0.000000	0.025082	0.000000	0.006854	0.138606	0.025083	0.003427	0.000000	0.000000	0.031913	0.000000	0.031913	0.088698	0.056762	-2201298.735264	54	-1	0.127191	4.717213e-01,1.732884e-01,3.294563e-02,1.281088e-01,9.962485e-02,1.702491e-02,3.816711e-02,2.639213e-02,1.272689e-02	0.713805	0.239525	-0.078301	-2465238.566333	14
0	9	Mcapitata_ATAC_TP10_1095	Mcapitata_ATAC_TP12_1120	1584847	0.850996	0.000015	0.017956	0.000000	0.000001	0.130365	0.000000	0.000656	0.000012	0.017976	0.131032	0.000669	0.008994	0.000012	0.000012	0.018611	0.000012	0.018623	0.083814	0.065183	-2134758.290450	50	-1	0.123218	4.663218e-01,1.797115e-01,2.985301e-02,1.284727e-01,1.025679e-01,1.654807e-02,3.676237e-02,2.703724e-02,1.272543e-02	0.649476	0.245152	-0.055059	-2389344.065617	14
0	10	Mcapitata_ATAC_TP10_1095	Mcapitata_ATAC_TP12_1452	1620662	0.851020	0.000017	0.013736	0.000000	0.000000	0.122019	0.000000	0.013208	0.000000	0.013745	0.135227	0.013208	0.006872	0.000000	0.000000	0.026944	0.000000	0.026944	0.087962	0.061010	-2199704.312206	54	-1	0.126002	4.636302e-01,1.800372e-01,3.316639e-02,1.252222e-01,1.020757e-01,1.877744e-02,3.752016e-02,2.686072e-02,1.271008e-02	0.692492	0.242124	-0.070800	-2458956.583347	14
