# ind1,ind2,ind1_snps,ind2_snps,both_snps,match,match_perc,pop
Mcapitata_ATAC_TP12_2403,Mcapitata_ATAC_TP6_2402,566799,566799,566799,556109.500000,98.110000,NA
Mcapitata_ATAC_TP11_2302,Mcapitata_HTAC_TP11_2380,566799,566799,566799,555980.500000,98.090000,NA
Mcapitata_ATHC_TP8_2735,Mcapitata_ATHC_TP9_1148,566799,566799,566799,501357.000000,88.450000,NA
Mcapitata_ATHC_TP9_1148,Mcapitata_HTHC_TP8_1246,566799,566799,566799,500308.000000,88.270000,NA
Mcapitata_ATHC_TP8_2735,Mcapitata_HTHC_TP8_1246,566799,566799,566799,499449.500000,88.120000,NA
Mcapitata_ATAC_TP10_1095,Mcapitata_ATAC_TP8_1779,566799,566799,566799,499061.000000,88.050000,NA
Mcapitata_ATHC_TP4_1221,Mcapitata_HTAC_TP6_1496,566799,566799,566799,498449.000000,87.940000,NA
Mcapitata_ATHC_TP12_2736,Mcapitata_HTHC_TP9_1078,566799,566799,566799,497062.500000,87.700000,NA
Mcapitata_ATAC_TP4_1651,Mcapitata_HTAC_TP7_1645,566799,566799,566799,495367.500000,87.400000,NA
Mcapitata_ATHC_TP8_1260,Mcapitata_HTHC_TP8_1246,566799,566799,566799,491863.500000,86.780000,NA
Mcapitata_ATAC_TP12_1452,Mcapitata_ATHC_TP8_2735,566799,566799,566799,490825.000000,86.600000,NA
Mcapitata_ATHC_TP8_2735,Mcapitata_HTHC_TP4_2204,566799,566799,566799,490801.000000,86.590000,NA
Mcapitata_ATHC_TP5_1229,Mcapitata_HTAC_TP6_1496,566799,566799,566799,490318.000000,86.510000,NA
Mcapitata_ATAC_TP12_1452,Mcapitata_HTHC_TP8_1246,566799,566799,566799,490361.000000,86.510000,NA
Mcapitata_ATHC_TP9_1148,Mcapitata_HTHC_TP9_1331,566799,566799,566799,490058.000000,86.460000,NA
Mcapitata_ATAC_TP11_1076,Mcapitata_ATHC_TP8_2735,566799,566799,566799,489574.000000,86.380000,NA
Mcapitata_ATHC_TP8_2753,Mcapitata_HTAC_TP5_1321,566799,566799,566799,489313.500000,86.330000,NA
Mcapitata_ATAC_TP9_1121,Mcapitata_HTHC_TP11_1178,566799,566799,566799,489328.500000,86.330000,NA
Mcapitata_ATHC_TP9_2995,Mcapitata_HTAC_TP4_1481,566799,566799,566799,489261.000000,86.320000,NA
Mcapitata_ATHC_TP4_1221,Mcapitata_HTHC_TP8_1246,566799,566799,566799,489255.500000,86.320000,NA
Mcapitata_HTAC_TP10_1478,Mcapitata_HTHC_TP8_1246,566799,566799,566799,489156.500000,86.300000,NA
Mcapitata_ATHC_TP8_1260,Mcapitata_HTAC_TP10_1478,566799,566799,566799,489026.000000,86.280000,NA
Mcapitata_ATAC_TP4_1609,Mcapitata_ATAC_TP5_1196,566799,566799,566799,489058.000000,86.280000,NA
Mcapitata_ATHC_TP10_2737,Mcapitata_HTHC_TP4_1328,566799,566799,566799,488933.500000,86.260000,NA
Mcapitata_ATAC_TP6_1114,Mcapitata_HTAC_TP7_1722,566799,566799,566799,488904.000000,86.260000,NA
Mcapitata_ATHC_TP8_1260,Mcapitata_ATHC_TP9_1148,566799,566799,566799,488889.000000,86.250000,NA
Mcapitata_ATHC_TP8_1260,Mcapitata_ATHC_TP8_2735,566799,566799,566799,488892.000000,86.250000,NA
Mcapitata_HTAC_TP5_1321,Mcapitata_HTHC_TP6_1604,566799,566799,566799,488814.500000,86.240000,NA
Mcapitata_ATHC_TP3_2731,Mcapitata_HTHC_TP8_1246,566799,566799,566799,488789.500000,86.240000,NA
Mcapitata_ATAC_TP7_1455,Mcapitata_HTHC_TP5_1694,566799,566799,566799,488798.500000,86.240000,NA
Mcapitata_HTAC_TP9_1467,Mcapitata_HTHC_TP6_1604,566799,566799,566799,488774.000000,86.230000,NA
Mcapitata_HTAC_TP5_1321,Mcapitata_HTHC_TP1_1145,566799,566799,566799,488732.500000,86.230000,NA
Mcapitata_ATAC_TP12_1452,Mcapitata_ATHC_TP9_1148,566799,566799,566799,488769.500000,86.230000,NA
Mcapitata_ATAC_TP11_1076,Mcapitata_HTHC_TP8_1246,566799,566799,566799,488710.500000,86.220000,NA
Mcapitata_ATAC_TP12_1452,Mcapitata_HTHC_TP4_2204,566799,566799,566799,488627.500000,86.210000,NA
Mcapitata_ATHC_TP10_1204,Mcapitata_ATHC_TP3_1544,566799,566799,566799,488575.500000,86.200000,NA
Mcapitata_HTHC_TP3_1277,Mcapitata_HTHC_TP9_1331,566799,566799,566799,488544.500000,86.190000,NA
Mcapitata_ATHC_TP8_2735,Mcapitata_HTAC_TP10_1478,566799,566799,566799,488469.500000,86.180000,NA
Mcapitata_ATHC_TP10_2737,Mcapitata_HTAC_TP5_1321,566799,566799,566799,488447.000000,86.180000,NA
Mcapitata_ATAC_TP5_1610,Mcapitata_HTAC_TP5_1321,566799,566799,566799,488492.500000,86.180000,NA
Mcapitata_ATHC_TP4_2734,Mcapitata_ATHC_TP8_2753,566799,566799,566799,488395.000000,86.170000,NA
Mcapitata_ATAC_TP4_1609,Mcapitata_HTHC_TP6_1604,566799,566799,566799,488405.500000,86.170000,NA
Mcapitata_ATAC_TP1_1600,Mcapitata_ATHC_TP5_1706,566799,566799,566799,488402.500000,86.170000,NA
Mcapitata_HTHC_TP12_2190,Mcapitata_HTHC_TP6_1604,566799,566799,566799,488371.500000,86.160000,NA
Mcapitata_ATHC_TP5_2986,Mcapitata_HTHC_TP6_1604,566799,566799,566799,488348.500000,86.160000,NA
