Mcapitata_HTAC_TP12_1632	Mcapitata_ATAC_TP11_1644	Mcapitata_ATAC_TP11_2302	Mcapitata_HTAC_TP11_2380	Mcapitata_ATAC_TP12_2403	Mcapitata_ATAC_TP6_2402	Mcapitata_ATAC_TP11_1076	Mcapitata_HTHC_TP8_1246	Mcapitata_ATHC_TP8_2735	Mcapitata_ATHC_TP9_1148	Mcapitata_ATHC_TP5_1229	Mcapitata_ATHC_TP4_1221	Mcapitata_HTAC_TP6_1496	Mcapitata_ATAC_TP12_1452	Mcapitata_HTHC_TP4_2204	Mcapitata_ATAC_TP6_1114	Mcapitata_HTAC_TP7_1722	Mcapitata_ATHC_TP7_2875	Mcapitata_HTHC_TP8_2067	Mcapitata_ATHC_TP12_1154	Mcapitata_ATHC_TP1_2068	Mcapitata_HTAC_TP1_2153	Mcapitata_ATAC_TP4_1651	Mcapitata_HTAC_TP7_1645	Mcapitata_HTHC_TP5_1449	Mcapitata_ATAC_TP7_1455	Mcapitata_HTHC_TP5_1694	Mcapitata_ATAC_TP12_1120	Mcapitata_ATAC_TP7_1058	Mcapitata_ATHC_TP6_2555	Mcapitata_HTAC_TP11_1562	Mcapitata_HTHC_TP1_1323	Mcapitata_HTHC_TP3_2518	Mcapitata_ATHC_TP1_1218	Mcapitata_ATHC_TP4_2734	Mcapitata_HTAC_TP10_1754	Mcapitata_HTHC_TP4_1124	Mcapitata_ATAC_TP10_1561	Mcapitata_ATHC_TP10_2737	Mcapitata_HTHC_TP4_1328	Mcapitata_HTHC_TP11_1270	Mcapitata_HTHC_TP12_1140	Mcapitata_HTHC_TP10_1332	Mcapitata_ATAC_TP8_1436	Mcapitata_ATHC_TP3_2731	Mcapitata_HTAC_TP6_1705	Mcapitata_HTHC_TP3_1128	Mcapitata_ATAC_TP3_1101	Mcapitata_HTHC_TP12_2190	Mcapitata_ATAC_TP3_1628	Mcapitata_HTHC_TP12_1274	Mcapitata_HTHC_TP1_2081	Mcapitata_ATHC_TP7_1223	Mcapitata_ATHC_TP11_2188	Mcapitata_HTHC_TP8_1082	Mcapitata_ATHC_TP12_2736	Mcapitata_HTHC_TP9_1078	Mcapitata_HTHC_TP1_1145	Mcapitata_ATHC_TP8_2753	Mcapitata_HTAC_TP5_1321	Mcapitata_ATAC_TP1_1037	Mcapitata_ATAC_TP5_1610	Mcapitata_HTAC_TP12_1729	Mcapitata_ATHC_TP11_1237	Mcapitata_ATAC_TP4_1108	Mcapitata_HTHC_TP7_2419	Mcapitata_ATAC_TP10_1095	Mcapitata_ATAC_TP8_1779	Mcapitata_HTHC_TP6_1164	Mcapitata_ATHC_TP3_2866	Mcapitata_HTAC_TP3_1289	Mcapitata_HTAC_TP11_1248	Mcapitata_HTAC_TP12_2007	Mcapitata_ATHC_TP10_2554	Mcapitata_HTAC_TP1_2183	Mcapitata_HTHC_TP9_2009	Mcapitata_ATHC_TP6_2016	Mcapitata_HTAC_TP4_1269	Mcapitata_HTAC_TP10_1315	Mcapitata_HTAC_TP3_2021	Mcapitata_ATHC_TP6_1212	Mcapitata_HTAC_TP9_1467	Mcapitata_ATHC_TP11_2756	Mcapitata_ATAC_TP1_1600	Mcapitata_ATHC_TP5_1706	Mcapitata_HTAC_TP8_2410	Mcapitata_HTHC_TP7_1126	Mcapitata_HTAC_TP1_1579	Mcapitata_ATHC_TP5_2986	Mcapitata_HTHC_TP6_1604	Mcapitata_ATAC_TP4_1609	Mcapitata_ATAC_TP5_1196	Mcapitata_ATHC_TP10_1204	Mcapitata_ATHC_TP3_1544	Mcapitata_ATHC_TP7_2860	Mcapitata_HTAC_TP7_1278	Mcapitata_HTHC_TP5_1345	Mcapitata_HTAC_TP5_1997	Mcapitata_HTAC_TP6_1588	Mcapitata_ATHC_TP9_2995	Mcapitata_HTAC_TP4_1481	Mcapitata_ATAC_TP1_1652	Mcapitata_HTAC_TP8_2386	Mcapitata_ATHC_TP9_2862	Mcapitata_HTHC_TP11_2511	Mcapitata_ATHC_TP12_2990	Mcapitata_ATAC_TP9_1121	Mcapitata_HTHC_TP11_1178	Mcapitata_HTHC_TP6_1317	Mcapitata_ATAC_TP3_1548	Mcapitata_HTAC_TP4_2000	Mcapitata_ATAC_TP10_1631	Mcapitata_ATAC_TP9_1420	Mcapitata_ATHC_TP8_1260	Mcapitata_HTAC_TP10_1478	Mcapitata_HTHC_TP9_1331	Mcapitata_HTHC_TP10_1689	Mcapitata_HTHC_TP3_1277	Mcapitata_HTHC_TP10_1074	Mcapitata_ATHC_TP4_2561	Mcapitata_HTAC_TP8_1235	Mcapitata_ATAC_TP5_1776	Mcapitata_ATAC_TP7_1499	Mcapitata_ATAC_TP9_1580	Mcapitata_HTHC_TP7_1250	Mcapitata_HTAC_TP9_1306	Mcapitata_HTAC_TP9_2412	Mcapitata_HTAC_TP3_1751	Mcapitata_ATAC_TP6_1611	Mcapitata_HTAC_TP5_1583	Mcapitata_ATAC_TP8_1083	Mcapitata_ATHC_TP1_1826
Mcapitata_ATHC_TP1_1826	79.89	83.65	85.12	85.15	85.29	85.41	85.06	84.98	85.09	84.84	84.9	85.48	85.26	84.97	85.43	84.85	85.27	85.32	84.95	85.33	85.75	85.53	85.52	85.37	85.5	85.47	85.45	85.21	85.09	85.36	85.29	85.67	85.75	85.5	85.43	85.25	85.61	85.6	85.73	85.43	85.21	85.59	85.07	85.77	85.66	85.46	85.68	85.49	85.58	85.55	85.33	85.09	85.42	85.33	85.29	85.33	85.43	85.6	85.3	85.57	85.33	85.91	85.57	85.49	85.78	85.49	85.43	85.69	85.25	85.34	85.61	85.14	85.13	85.18	85.31	85.44	85.21	85.6	85.3	85.5	85.39	85.54	85.37	85.55	85.64	85.65	85.58	85.72	85.4	85.49	85.54	85.43	85.58	85.63	85.21	85.74	85.46	85.41	85.82	85.74	85.95	85.62	85.48	85.87	85.29	85.46	85.36	85.49	85.35	85.29	85.46	85.11	85.24	85.51	85.3	85.11	85.3	85.53	85.47	85.08	84.94	85.42	85.57	85.4	85.21	85.02	85.24	85.13	85.27	85.4	85.74	100
Mcapitata_ATAC_TP8_1083	80.06	83.85	85.39	85.43	85.42	85.56	84.87	84.77	84.94	84.67	85.59	85.16	85.27	84.8	85.39	84.81	85.43	85.45	85.26	85.52	85.28	85.22	85.37	85.08	85.25	85.49	85.45	85.23	85.33	85.45	85.56	85.32	85.39	85.69	85.23	85.53	85.39	85.3	85.82	85.69	85.16	85.61	85.19	85.32	85.32	85.25	85.48	85.43	85.56	85.72	84.96	85.12	85.56	85.44	85.53	85.23	85.32	85.36	85.35	85.71	85.67	86.12	85.36	85.42	85.65	85.18	85.18	85.39	85.02	85.63	85.42	85.42	85.11	85.32	84.99	85.13	85.37	85.57	85.86	85.4	85.45	85.49	85.57	85.48	85.54	85.64	85.43	85.62	85.37	85.51	85.51	85.36	85.84	85.8	85.46	85.68	85.45	85.47	85.8	85.53	85.64	85.53	85.06	85.08	85.36	85.43	85.44	85.5	85.58	85.15	85.27	84.99	85.56	85.11	85.2	85.05	85.27	85.39	85.2	85.05	85.09	84.91	85.39	85.11	85.13	85.1	85.21	85.19	85.36	85.44	100	85.74
Mcapitata_HTAC_TP5_1583	79.72	83.45	85.14	85.2	85.04	85.18	84.9	84.56	84.71	84.36	84.89	84.97	84.75	84.73	84.91	84.56	85.25	85.25	85.3	85.11	84.98	85.09	85.08	85.56	85.38	85.33	85.65	85.25	85.21	85.37	85.05	85.13	85.31	85.54	85.25	85.24	85.2	85.08	85.37	85.29	85.32	85.41	85.1	85.19	84.91	85	85.21	84.89	85.29	85.45	85.42	84.99	85.05	85.4	85.17	85.04	85.18	85.18	85.58	85.62	85.07	85.29	85.3	85.28	85.46	85.4	85.33	85.19	85.15	85.39	84.98	85.25	85.18	85.13	84.99	85.01	85.43	85.17	84.96	85.16	85.27	85.13	85.78	85.3	85.32	85.31	85.35	85.47	85.48	85.44	85.39	85.48	85.13	85.14	85.2	85.45	85.29	85.18	85.53	85.42	85.52	85.11	84.93	85.2	85.39	85.24	85.32	85.19	85.36	85.84	85.45	85.08	84.84	85.03	85.05	84.79	85.39	85.41	84.99	84.95	84.8	85.24	85.29	84.88	85.24	84.79	85.16	84.88	85.23	100	85.44	85.4
Mcapitata_ATAC_TP6_1611	79.81	83.66	84.57	84.63	85.18	85.35	84.82	84.81	84.59	84.76	85.1	85.31	84.86	84.69	84.8	84.62	85.39	85.06	85.33	85.29	85.22	85.22	85.33	85.49	85.18	85.07	85.29	85.22	84.99	85.14	85.09	85.44	85.53	85.14	85.27	84.97	85.28	85.35	85.51	85.46	85.18	84.85	85.11	85.39	84.99	84.87	85.16	85.36	85.36	85.17	85.27	85.08	85.11	85.05	85.22	84.94	85.1	85.63	85.45	85.88	85.47	85.22	85.44	85.06	85.3	85.38	84.97	85.01	84.74	85.06	85.02	85.27	85.13	84.91	84.95	85.05	85.05	85.07	85.1	85.35	85.37	85.16	85.42	85.36	85.18	85.31	85.23	85.1	85.26	85.58	85.48	85.29	85.38	85.29	85.5	85.2	85.09	85.54	85.33	85.13	85.56	85.5	85.06	85.17	85.16	85.11	85.56	85.06	85.12	85.41	85.45	85.18	85.23	85.31	85.32	84.91	85.2	85.35	84.96	84.85	84.75	84.86	85.14	84.93	85.31	84.86	84.95	84.9	100	85.23	85.36	85.27
Mcapitata_HTAC_TP3_1751	79.46	83.34	84.77	84.78	85.11	85.24	84.94	84.9	84.81	84.75	84.82	85.39	85.21	84.64	84.87	84.89	84.79	85.07	84.85	84.96	85.1	85.3	85.12	85.29	85.02	85.23	85.63	85.13	85.1	84.97	85.1	85.12	85.42	84.97	85.01	84.9	85.09	84.83	84.93	85.22	85.15	84.87	84.58	85.12	85.37	84.91	85.21	85.09	85.25	85.06	85.05	85.07	85.15	85.1	84.96	84.96	85.2	85.07	85.47	85.51	85.02	85.26	85.51	85.19	85.21	85.23	85.01	85.07	84.91	85.17	85	85.32	85.11	84.88	85.13	85.01	84.94	84.99	85.11	85.26	85.19	85.2	84.92	85.53	85.59	85.29	85.49	85.14	85.26	85.16	85.09	85.08	85.08	85.21	85.29	85.45	85.04	85.15	84.94	85.15	85.04	85.16	85.13	85.13	85.42	84.85	85.18	85.03	85.02	85.04	85.17	84.92	85.02	85.29	85.04	85.12	84.99	85.55	84.74	84.71	84.89	84.85	85.06	85.01	84.9	84.73	85.1	100	84.9	84.88	85.19	85.13
Mcapitata_HTAC_TP9_2412	79.55	83.42	85.17	85.2	85.2	85.31	84.88	84.84	84.88	84.91	84.57	84.86	84.84	84.67	85.19	84.97	85.24	85.42	85.2	84.94	85.37	85.4	84.92	85.21	85.07	85.29	85.39	85.36	85.39	84.93	84.81	85.11	85.41	85.01	85.24	85.18	85.25	85.22	85.44	85.24	85.15	85.13	85.25	85.22	85.32	85.41	85.47	85.47	85.46	85.45	85.03	85.21	85.25	85.56	85.16	84.93	85.25	85.44	85.53	85.48	85.26	85.73	85.35	84.96	85.14	84.79	85.08	85.19	85.2	85.46	85.35	85.2	84.78	85.13	85.03	84.88	85.31	85.51	85.24	85.26	85.35	85.01	85.14	85.37	85.33	85.41	85.14	85.59	85.38	85.31	85.22	85.51	85.6	85.28	85.6	85.23	85.26	85.46	85.19	85.42	85.57	85.36	85.25	85.51	85.31	84.97	85.56	85.25	85.31	85.06	85.22	85.07	85.47	84.94	85.34	84.82	84.82	85.41	84.86	85.05	84.83	85.15	85.24	85.02	85.2	85.32	100	85.1	84.95	85.16	85.21	85.24
Mcapitata_HTAC_TP9_1306	79.39	83.55	84.81	84.84	85.2	85.33	84.39	84.47	84.63	84.6	84.61	84.56	84.71	84.63	84.84	84.62	84.9	84.98	85.29	85.04	85.26	85.45	85.09	85.31	85.24	85.06	85.13	85.12	85.31	85.11	85.27	84.97	85.21	85.05	85.26	85.26	84.92	85.21	85.13	85.22	85.31	85.19	84.95	85.24	85.13	85.04	85.11	85.26	85.35	85.38	85.04	85.26	85.43	85.31	85	85.17	85.04	85.07	85.3	85.39	85.07	85.22	85.08	84.97	85.49	84.99	84.96	85.19	85.01	85.14	85.25	84.89	85.06	84.95	84.84	85.1	85.16	85.15	84.97	84.79	84.56	85.26	85.03	85.34	85.06	85.18	84.88	85.34	84.97	85.5	85.07	84.82	85.67	85.29	85.3	85.46	85.32	85.36	85.44	85.23	85.38	85.1	85.25	85.44	85.23	85.33	85.23	85.2	85.36	85.19	85.31	84.95	84.98	85.16	85.13	84.94	85.03	85.13	85.04	85.14	84.97	85.16	85.15	85.13	85.48	100	85.32	84.73	84.86	84.79	85.1	85.02
Mcapitata_HTHC_TP7_1250	79.89	83.54	85.25	85.29	85.59	85.72	84.82	85.09	84.97	84.75	84.7	84.92	85.27	85.23	85.06	84.75	85.41	85.3	85.46	85.18	85.35	85.33	85.47	85.47	85.6	85.43	85.31	85.16	85.15	85.34	85.37	85.47	85.69	85.26	85.32	85.38	85.21	85.31	85.44	85.51	85.32	85.07	84.8	85.55	85.34	85.41	85.57	85.33	85.34	85.26	85.55	85.17	85.61	85.42	85.29	85.55	85.72	85.6	85.48	85.56	85.67	86.08	85.17	85.18	85.44	85.45	85.09	85.23	85.43	85.77	85.56	85.07	85.22	85.3	84.91	84.93	85.31	85.46	85.03	85.19	85.16	85.52	85.36	85.57	85.63	85.48	85.05	85.37	85.6	86.08	85.72	85.44	85.55	85.5	85.41	85.44	85.48	85.19	85.33	85.78	85.75	85.39	85.42	85.51	85.18	85.6	85.27	85.53	85.56	85.18	85.33	85.25	85.46	85.33	85.44	85.49	85.29	85.54	85.28	84.82	85.52	85.42	85.27	85.71	100	85.48	85.2	84.9	85.31	85.24	85.13	85.21
Mcapitata_ATAC_TP9_1580	79.55	83.82	84.83	84.86	85.06	85.21	85.03	84.89	85.16	84.88	84.88	84.89	84.81	84.94	85.17	84.7	85.26	84.83	84.86	85.18	85.13	85.34	85.24	85.28	84.94	85.18	85.21	84.85	84.76	85.26	84.99	85.39	85.5	85.21	85.16	84.96	85.19	85.37	85.19	85.16	85.07	85.22	84.93	85.42	85.28	85.43	85.18	85.47	85.31	85.41	85.19	85.03	85.26	85.32	85.13	85.11	85.58	85.54	85.36	85.39	85.27	85.35	85.69	85.25	85.08	85.32	84.88	85.21	85.17	85.6	85.16	84.97	84.65	85.15	85.09	84.95	85.28	85.14	85.22	85.33	85.29	85.2	85.07	85.11	85.62	85.39	85.15	85.5	85.42	85.19	85.39	85.21	85.25	85.18	85.35	85.32	85.2	84.93	85.27	85.19	85.43	84.97	85.25	85.46	85.38	84.95	85.19	85.25	85.21	85.28	85.32	84.92	85.27	85.28	85.31	85.19	85.09	85.36	85.12	84.78	84.9	85.05	85.05	100	85.71	85.13	85.02	85.01	84.93	84.88	85.11	85.4
Mcapitata_ATAC_TP7_1499	79.67	83.6	84.91	84.94	85.2	85.36	84.73	85.13	85.19	84.54	85.03	85.34	84.94	84.97	85.37	84.6	84.97	85.53	85.21	85.38	85.31	85.35	85.22	85.53	85.23	85.48	85.37	84.8	85.42	85.42	85.27	85.29	85.73	85.34	85.52	85.54	85.5	85.18	85.41	85.53	85.15	84.98	85.41	85.56	85.39	85.42	85.48	85.36	85.25	85.39	85.4	85.27	85.46	85.5	85.35	85.2	85.36	85.52	85.39	85.53	85.45	86.06	85.82	85.28	85.61	85.74	85.23	85.5	85.52	85.42	85.34	85.28	85.36	85.4	85.35	85.22	85.62	85.44	85.15	85.18	85.42	85.34	85.5	85.6	85.42	85.67	85.36	85.5	85.61	85.65	85.47	85.36	85.72	85.64	85.59	85.43	85.5	84.99	85.54	85.46	85.35	85.21	85.06	85.69	85.61	85.39	85.61	85.25	85.58	85.18	85.4	85.64	85.23	85.37	85.3	85.04	85.45	85.49	85.02	84.93	85.27	85.76	100	85.05	85.27	85.15	85.24	85.06	85.14	85.29	85.39	85.57
