ind1	ind2	match_perc
Mcapitata_ATAC_TP12_2403	Mcapitata_ATAC_TP6_2402	98.110000
Mcapitata_ATAC_TP6_2402	Mcapitata_ATAC_TP12_2403	98.110000
Mcapitata_ATAC_TP11_2302	Mcapitata_HTAC_TP11_2380	98.090000
Mcapitata_HTAC_TP11_2380	Mcapitata_ATAC_TP11_2302	98.090000
Mcapitata_ATHC_TP8_2735	Mcapitata_ATHC_TP9_1148	88.450000
Mcapitata_ATHC_TP9_1148	Mcapitata_ATHC_TP8_2735	88.450000
Mcapitata_ATHC_TP9_1148	Mcapitata_HTHC_TP8_1246	88.270000
Mcapitata_HTHC_TP8_1246	Mcapitata_ATHC_TP9_1148	88.270000
Mcapitata_ATHC_TP8_2735	Mcapitata_HTHC_TP8_1246	88.120000
Mcapitata_HTHC_TP8_1246	Mcapitata_ATHC_TP8_2735	88.120000
Mcapitata_ATAC_TP10_1095	Mcapitata_ATAC_TP8_1779	88.050000
Mcapitata_ATAC_TP8_1779	Mcapitata_ATAC_TP10_1095	88.050000
Mcapitata_ATHC_TP4_1221	Mcapitata_HTAC_TP6_1496	87.940000
Mcapitata_HTAC_TP6_1496	Mcapitata_ATHC_TP4_1221	87.940000
Mcapitata_ATHC_TP12_2736	Mcapitata_HTHC_TP9_1078	87.700000
Mcapitata_HTHC_TP9_1078	Mcapitata_ATHC_TP12_2736	87.700000
Mcapitata_ATAC_TP4_1651	Mcapitata_HTAC_TP7_1645	87.400000
Mcapitata_HTAC_TP7_1645	Mcapitata_ATAC_TP4_1651	87.400000
Mcapitata_ATHC_TP8_1260	Mcapitata_HTHC_TP8_1246	86.780000
Mcapitata_HTHC_TP8_1246	Mcapitata_ATHC_TP8_1260	86.780000
Mcapitata_ATAC_TP12_1452	Mcapitata_ATHC_TP8_2735	86.600000
Mcapitata_ATHC_TP8_2735	Mcapitata_ATAC_TP12_1452	86.600000
Mcapitata_ATHC_TP8_2735	Mcapitata_HTHC_TP4_2204	86.590000
Mcapitata_HTHC_TP4_2204	Mcapitata_ATHC_TP8_2735	86.590000
Mcapitata_ATHC_TP5_1229	Mcapitata_HTAC_TP6_1496	86.510000
Mcapitata_HTAC_TP6_1496	Mcapitata_ATHC_TP5_1229	86.510000
Mcapitata_ATAC_TP12_1452	Mcapitata_HTHC_TP8_1246	86.510000
Mcapitata_HTHC_TP8_1246	Mcapitata_ATAC_TP12_1452	86.510000
Mcapitata_ATHC_TP9_1148	Mcapitata_HTHC_TP9_1331	86.460000
Mcapitata_HTHC_TP9_1331	Mcapitata_ATHC_TP9_1148	86.460000
Mcapitata_ATAC_TP11_1076	Mcapitata_ATHC_TP8_2735	86.380000
