Mcapitata_HTAC_TP12_1632	Mcapitata_ATAC_TP11_1644	Mcapitata_ATAC_TP11_2302	Mcapitata_HTAC_TP11_2380	Mcapitata_ATAC_TP12_2403	Mcapitata_ATAC_TP6_2402	Mcapitata_ATAC_TP11_1076	Mcapitata_HTHC_TP8_1246	Mcapitata_ATHC_TP8_2735	Mcapitata_ATHC_TP9_1148	Mcapitata_ATHC_TP5_1229	Mcapitata_ATHC_TP4_1221	Mcapitata_HTAC_TP6_1496	Mcapitata_ATAC_TP12_1452	Mcapitata_HTHC_TP4_2204	Mcapitata_ATAC_TP6_1114	Mcapitata_HTAC_TP7_1722	Mcapitata_ATHC_TP7_2875	Mcapitata_HTHC_TP8_2067	Mcapitata_ATHC_TP12_1154	Mcapitata_ATHC_TP1_2068	Mcapitata_HTAC_TP1_2153	Mcapitata_ATAC_TP4_1651	Mcapitata_HTAC_TP7_1645	Mcapitata_HTHC_TP5_1449	Mcapitata_ATAC_TP7_1455	Mcapitata_HTHC_TP5_1694	Mcapitata_ATAC_TP12_1120	Mcapitata_ATAC_TP7_1058	Mcapitata_ATHC_TP6_2555	Mcapitata_HTAC_TP11_1562	Mcapitata_HTHC_TP1_1323	Mcapitata_HTHC_TP3_2518	Mcapitata_ATHC_TP1_1218	Mcapitata_ATHC_TP4_2734	Mcapitata_HTAC_TP10_1754	Mcapitata_HTHC_TP4_1124	Mcapitata_ATAC_TP10_1561	Mcapitata_ATHC_TP10_2737	Mcapitata_HTHC_TP4_1328	Mcapitata_HTHC_TP11_1270	Mcapitata_HTHC_TP12_1140	Mcapitata_HTHC_TP10_1332	Mcapitata_ATAC_TP8_1436	Mcapitata_ATHC_TP3_2731	Mcapitata_HTAC_TP6_1705	Mcapitata_HTHC_TP3_1128	Mcapitata_ATAC_TP3_1101	Mcapitata_HTHC_TP12_2190	Mcapitata_ATAC_TP3_1628	Mcapitata_HTHC_TP12_1274	Mcapitata_HTHC_TP1_2081	Mcapitata_ATHC_TP7_1223	Mcapitata_ATHC_TP11_2188	Mcapitata_HTHC_TP8_1082	Mcapitata_ATHC_TP12_2736	Mcapitata_HTHC_TP9_1078	Mcapitata_HTHC_TP1_1145	Mcapitata_ATHC_TP8_2753	Mcapitata_HTAC_TP5_1321	Mcapitata_ATAC_TP1_1037	Mcapitata_ATAC_TP5_1610	Mcapitata_HTAC_TP12_1729	Mcapitata_ATHC_TP11_1237	Mcapitata_ATAC_TP4_1108	Mcapitata_HTHC_TP7_2419	Mcapitata_ATAC_TP10_1095	Mcapitata_ATAC_TP8_1779	Mcapitata_HTHC_TP6_1164	Mcapitata_ATHC_TP3_2866	Mcapitata_HTAC_TP3_1289	Mcapitata_HTAC_TP11_1248	Mcapitata_HTAC_TP12_2007	Mcapitata_ATHC_TP10_2554	Mcapitata_HTAC_TP1_2183	Mcapitata_HTHC_TP9_2009	Mcapitata_ATHC_TP6_2016	Mcapitata_HTAC_TP4_1269	Mcapitata_HTAC_TP10_1315	Mcapitata_HTAC_TP3_2021	Mcapitata_ATHC_TP6_1212	Mcapitata_HTAC_TP9_1467	Mcapitata_ATHC_TP11_2756	Mcapitata_ATAC_TP1_1600	Mcapitata_ATHC_TP5_1706	Mcapitata_HTAC_TP8_2410	Mcapitata_HTHC_TP7_1126	Mcapitata_HTAC_TP1_1579	Mcapitata_ATHC_TP5_2986	Mcapitata_HTHC_TP6_1604	Mcapitata_ATAC_TP4_1609	Mcapitata_ATAC_TP5_1196	Mcapitata_ATHC_TP10_1204	Mcapitata_ATHC_TP3_1544	Mcapitata_ATHC_TP7_2860	Mcapitata_HTAC_TP7_1278	Mcapitata_HTHC_TP5_1345	Mcapitata_HTAC_TP5_1997	Mcapitata_HTAC_TP6_1588	Mcapitata_ATHC_TP9_2995	Mcapitata_HTAC_TP4_1481	Mcapitata_ATAC_TP1_1652	Mcapitata_HTAC_TP8_2386	Mcapitata_ATHC_TP9_2862	Mcapitata_HTHC_TP11_2511	Mcapitata_ATHC_TP12_2990	Mcapitata_ATAC_TP9_1121	Mcapitata_HTHC_TP11_1178	Mcapitata_HTHC_TP6_1317	Mcapitata_ATAC_TP3_1548	Mcapitata_HTAC_TP4_2000	Mcapitata_ATAC_TP10_1631	Mcapitata_ATAC_TP9_1420	Mcapitata_ATHC_TP8_1260	Mcapitata_HTAC_TP10_1478	Mcapitata_HTHC_TP9_1331	Mcapitata_HTHC_TP10_1689	Mcapitata_HTHC_TP3_1277	Mcapitata_HTHC_TP10_1074	Mcapitata_ATHC_TP4_2561	Mcapitata_HTAC_TP8_1235	Mcapitata_ATAC_TP5_1776	Mcapitata_ATAC_TP7_1499	Mcapitata_ATAC_TP9_1580	Mcapitata_HTHC_TP7_1250	Mcapitata_HTAC_TP9_1306	Mcapitata_HTAC_TP9_2412	Mcapitata_HTAC_TP3_1751	Mcapitata_ATAC_TP6_1611	Mcapitata_HTAC_TP5_1583	Mcapitata_ATAC_TP8_1083	Mcapitata_ATHC_TP1_1826
Mcapitata_ATHC_TP1_1826	0.132545	0.101063	0.0331484	0.0365797	0.0443123	0.0423734	0.0162958	0	0.0259161	0.00632706	0.00772323	0.0385872	0.0208503	0.0297901	0.0303515	0	0.0381847	0.0353472	0.020292	0.0319121	0.0659727	0.0404831	0.0416265	0.0406724	0.0404969	0.0334401	0.0374448	0.0354316	0.0256267	0.0330165	0.0254283	0.0492804	0.0489997	0.057433	0.0514096	0.00741008	0.0440586	0.0439488	0.0467179	0.0426887	0.0301398	0.0461714	0.0207927	0.0411947	0.0519121	0.0282806	0.0310192	0.0367627	0.054866	0.0387099	0.0391885	0.00965476	0.0369611	0.0364066	0.0351314	0.0394983	0.0410703	0.0418385	0.0355698	0.0445232	0.0389703	0.0557474	0.0399103	0.0338737	0.0564577	0.0462568	0.0238994	0.0392588	0	0.0226877	0.0398029	0.0286877	0.0322959	0.00723009	0.0235758	0.038905	0.0231046	0.051801	0.0339911	0.0311185	0.0341431	0.0329928	0.0348546	0.0226371	0.0377049	0.0489858	0.033028	0.0522056	0.0295723	0.0371185	0.0365551	0.0344324	0.048102	0.0344727	0.028635	0.0379124	0.0307368	0.0392096	0.0531518	0.0330846	0.066376	0.0417528	0.0264702	0.0411075	0.0338409	0.0492159	0.0302565	0.0456722	0.0221521	0.0248288	0.0379649	0.0190201	0.00490484	0.0194301	0.0222924	0.00511456	0.0289975	0.0368576	0.0258282	0.00670054	0	0	0.031002	0.0285037	0.035808	0.0013344	0.0192589	0.0148358	0.0338361	0.0407682	0.063687	0.5
Mcapitata_ATAC_TP8_1083	0.137773	0.111761	0.0490619	0.0527526	0.0543194	0.0527173	0.00786747	0	0.0198052	0.00287874	0.0356053	0.030181	0.0205165	0.0206398	0.037746	0	0.0481373	0.0478197	0.0326166	0.046414	0.0499849	0.0316572	0.0393294	0.0318882	0.0370043	0.043937	0.0400816	0.0407458	0.035541	0.043356	0.0452987	0.0384621	0.0341828	0.0667059	0.0455856	0.020782	0.0374621	0.0350023	0.0540629	0.0565014	0.0382105	0.0530916	0.0340009	0.029964	0.0449425	0.0218664	0.024553	0.034693	0.054782	0.0505945	0.0262729	0.0152006	0.0474575	0.0482642	0.0482652	0.0402865	0.0386489	0.031734	0.0439606	0.0557789	0.0576888	0.0693137	0.0348285	0.0352034	0.0557191	0.0321909	0.0198846	0.0293785	0	0.0375246	0.0365489	0.0417488	0.0292129	0.0178434	0.0139556	0.0281541	0.0309768	0.0541262	0.0624848	0.0326108	0.0350767	0.0389125	0.0491356	0.0234673	0.0345883	0.050655	0.0304801	0.0504794	0.0275794	0.0462728	0.040607	0.0382097	0.0658412	0.0452229	0.0456884	0.0431776	0.0359324	0.0433864	0.0569935	0.0311246	0.0605553	0.0417034	0.0117262	0.0103738	0.0398058	0.0479274	0.0408717	0.0507855	0.0377025	0.0223843	0.0385438	0.0142605	0.0227232	0.00791788	0.0249638	0.0102554	0.0280459	0.0384217	0.022974	0.00813761	0	0	0.0276871	0.0181044	0.0337188	0.0101488	0.0263089	0.0203789	0.0439359	0.0433724	0.5	0.063687
Mcapitata_HTAC_TP5_1583	0.12491	0.0903847	0.0246396	0.0293803	0.029216	0.0276231	0	0	0	0	0	0.0077683	0	0.00629245	0.0059148	0	0.0296769	0.0295472	0.0242182	0.0132843	0.02752	0.0110608	0.0163876	0.0401284	0.0287689	0.0225305	0.0401597	0.0312206	0.0181468	0.0299395	0.0111016	0.0176909	0.0218589	0.0468571	0.0359003	0	0.0193766	0.0129238	0.0269163	0.0267641	0.0338564	0.0356533	0.017451	0.0137166	0.0134255	0.00536983	0.001637	0.0038443	0.0367784	0.0267308	0.0357211	0	0.0193372	0.0308779	0.0231003	0.0207615	0.0237472	0.0134618	0.0382372	0.040723	0.0222268	0.0236136	0.0188256	0.0193372	0.0327951	0.036459	0.0105122	0.00966143	0	0.0164533	0.00681044	0.0222102	0.0227955	0	0	0.0147782	0.0264391	0.0260951	0.00856013	0.0120859	0.017367	0.0129711	0.0450128	0.000875227	0.0109638	0.0235611	0.0132096	0.0361738	0.0208656	0.0336864	0.0208028	0.0298146	0.0211103	0.00706032	0.0282064	0.0151593	0.0132096	0.0192911	0.0295647	0.0112841	0.0416752	0.0153175	0	0.00405383	0.0300133	0.0353381	0.0188966	0.0226874	0.0144581	0.0456997	0.0313277	0.00722556	0	0	0.00671992	0	0.0281351	0.0259585	0.00200872	0	0	0	0.0108048	0	0.0282822	0	0.0100827	0	0.0262958	0.5	0.0433724	0.0407682
Mcapitata_ATAC_TP6_1611	0.129116	0.0978809	0.00290795	0.00724436	0.0346063	0.0335906	0.00248881	0	0	0	0.010993	0.0218746	0	0.00730201	0.00251528	0	0.0414108	0.0235918	0.0305421	0.0257342	0.0392968	0.0204534	0.027477	0.0416282	0.0262047	0.0138886	0.0265994	0.0338359	0.0155968	0.0189707	0.0134874	0.0310191	0.0362596	0.0365548	0.038056	0	0.02167	0.0256084	0.0335493	0.0409064	0.0303297	0.0111543	0.0188727	0.0224313	0.0160683	0	0.00319933	0.0250398	0.0425348	0.0181213	0.0315585	0.00356003	0.0211175	0.0210046	0.029939	0.0136605	0.0199319	0.04159	0.0388283	0.0572696	0.0462507	0.021651	0.0280282	0.0108453	0.0276164	0.0363814	0	0.00457245	0	0.00271118	0.0140517	0.0286973	0.0216088	0	0.0054237	0.0145024	0.0110932	0.0263554	0.0179092	0.0141571	0.0250621	0.0164633	0.0333817	0.00699876	0.00919804	0.0299362	0.0162742	0.0214636	0.0156403	0.0376922	0.0300427	0.0282071	0.0360683	0.0181906	0.0378767	0.0125376	0.00837258	0.0338236	0.0277001	0.000195868	0.0422686	0.0308326	0.000305234	0.0100398	0.0222737	0.0296881	0.0356023	0.0205229	0.00941337	0.0306548	0.036176	0.0111108	0	0.00599316	0.0236574	0	0.0206418	0.0246299	0.00444247	0	0	0	0.00813187	0.00203442	0.0352756	0	0.0048354	0	0.5	0.0262958	0.0439359	0.0338361
Mcapitata_HTAC_TP3_1751	0.111105	0.0742025	0	0	0.0153425	0.0139709	0	0	0	0	0	0.010772	0	0	0	0	0	0.00727349	0	0	0.0172567	0.00975055	0.00382137	0.0164071	0.00150064	0.00230498	0.0250575	0.0115712	0.000766948	0	0	0.00231767	0.0100206	0.0093031	0.0107704	0	0.00220703	0	0	0.00989756	0.0148815	0	0	0	0.0216357	0	0	0	0.0197401	0	0.00709875	0	0.00744009	0.00547873	0.00124059	0	0.00783609	0	0.025333	0.024006	0.00624303	0.00617287	0.0144579	0	0.0108729	0.00951019	0	0	0	0	0	0.0185135	0.0110883	0	0	0.0000263323	0	0.00551027	0.0041924	0	0.00436788	0.00267475	0	0	0.00974924	0.0140101	0.00143594	0.00475483	0.000537559	0.00589902	0	0	0.00428658	0	0.0108792	0.00313377	0	0.00249449	0	0	0.0104144	0.00145646	0	0	0.0207812	0.0000156178	0.00334867	0.00519524	0	0	0.00594918	0	0	0	0	0	0	0.0171959	0	0	0	0	0	0	0.000521814	0	0	0.5	0	0	0.0203789	0.0148358
Mcapitata_HTAC_TP9_2412	0.115695	0.0813733	0.020087	0.0237278	0.0268877	0.0246425	0	0	0	0	0	0	0	0	0.00864979	0	0.0263443	0.0260018	0.0175675	0	0.0372439	0.0215772	0.00255376	0.0149583	0.00552861	0.0109692	0.0207229	0.0297719	0.015942	0	0	0.00618706	0.0162647	0.0144753	0.0285406	0	0.00979913	0.00856643	0.0174349	0.0171723	0.0153215	0.0135565	0.0125045	0.0015145	0.0214116	0.00346993	0	0.0210633	0.0353452	0.0172657	0.00597649	0	0.0144351	0.0308907	0.0123214	0.00692251	0.0181585	0.0225998	0.0316513	0.0288482	0.018358	0.0343335	0.0116857	0	0.0128145	0	0	0	0	0.0100329	0.0117269	0.013634	0	0	0	0	0.0151565	0.0363509	0.0159783	0.003258	0.0123941	0	0.00990161	0	0.00147449	0.0224855	0	0.0310769	0.0118035	0.0195984	0.00748062	0.0202978	0.0333164	0.00239686	0.0306193	0	0.00341308	0.0240805	0.0103664	0.00176152	0.0363034	0.0174802	0	0.0115186	0.0171354	0.0125492	0.0235926	0.0216193	0.0030614	0	0.015287	0	0	0	0.0118387	0	0	0.0227574	0	0	0	0	0	0	0.0211312	0	0.5	0	0.0048354	0.0100827	0.0263089	0.0192589
Mcapitata_HTAC_TP9_1306	0.107087	0.0780247	0	0	0.0138081	0.011689	0	0	0	0	0	0	0	0	0	0	0	0	0.00657392	0	0.0159485	0.00814159	0	0.00490627	0.00126673	0	0	0.00516629	0	0	0	0	0	0.00856367	0.0176795	0	0	0	0	0.00775705	0.00586953	0.00533492	0	0	0	0	0	0	0.0187702	0.00504158	0	0	0.00973473	0.0120284	0	0.00330543	0	0	0.0104445	0.013571	0.00253359	0	0	0	0.0146379	0	0	0	0	0	0	0	0	0	0	0	0	0.0104237	0	0	0	0	0	0	0	0	0	0.00534984	0	0.0100582	0	0	0.022294	0	0.00639362	0	0	0.00595257	0.0064582	0	0.0142954	0	0	0	0.0017736	0.01448	0	0.00446092	0	0	0.00434109	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0183855	0.5	0	0	0	0	0.0101488	0.0013344
Mcapitata_HTHC_TP7_1250	0.132223	0.0967732	0.0368205	0.0403538	0.0557457	0.0541196	0.00604174	0	0.0190985	0.0000980498	0	0.0115002	0.0158285	0.0342289	0.0148921	0	0.0394628	0.0320815	0.039946	0.0246172	0.0444392	0.0299995	0.039822	0.0416221	0.0443327	0.0337266	0.0297474	0.0304332	0.0230389	0.0299415	0.0264159	0.03456	0.0404918	0.0404638	0.0458196	0.0100497	0.0209809	0.0297812	0.0312471	0.0416412	0.041889	0.0267077	0.0110065	0.0312859	0.0364404	0.0179438	0.0191743	0.0296893	0.0435403	0.0234558	0.0444866	0.00715021	0.0437711	0.039308	0.0331403	0.0418285	0.0516454	0.0381371	0.0416175	0.0446185	0.0540848	0.0590024	0.0186772	0.0167631	0.0366738	0.0415023	0.0028448	0.0147409	0.000188924	0.0345153	0.0317894	0.021317	0.0279258	0.00874238	0.0036185	0.0122864	0.023856	0.0444964	0.0200499	0.0151842	0.0199466	0.0335693	0.0340391	0.0149653	0.0287923	0.0398809	0.00782896	0.036944	0.0349202	0.0612142	0.0384663	0.031154	0.0440362	0.0214905	0.0318358	0.0231695	0.0273078	0.0231203	0.0263721	0.0305834	0.0536279	0.0293846	0.0210156	0.0240995	0.0258373	0.0516397	0.0201581	0.04538	0.0310158	0.0200276	0.0299503	0.0166127	0.0107848	0.00619982	0.0268185	0.0132424	0.0294021	0.0343873	0.0170457	0	0	0	0.0147954	0.0361957	0.5	0.0183855	0.0211312	0.000521814	0.0352756	0.0282822	0.0337188	0.035808
Mcapitata_ATAC_TP9_1580	0.115155	0.0934814	0.00266043	0.00666539	0.0162513	0.0154663	0	0	0.0132512	0	0	0	0	0.000944915	0.00421818	0	0.0180972	0	0	0.00735077	0.0195215	0.0159924	0.0114695	0.0199122	0	0.00494219	0.0067686	0.00417779	0	0.0075013	0	0.0171375	0.0183676	0.0230862	0.0238092	0	0.00511198	0.0120095	0.00563227	0.0119088	0.00837134	0.0128426	0	0.0110431	0.0169879	0.00289534	0	0.016013	0.0290972	0.012926	0.0136416	0	0.0145922	0.0190469	0.0116221	0.012173	0.0319181	0.0222989	0.0237061	0.018515	0.0188578	0.015615	0.0248268	0.00581448	0.00539335	0.0204042	0	0	0	0.00935244	0	0.00169729	0	0	0	0	0.00503368	0.016239	0.0110237	0.00738025	0.00530211	0.00463147	0	0	0.0130027	0.0166755	0	0.0244789	0.0112094	0.0103418	0.0109214	0.00420933	0.0176736	0	0.0171468	0.000278687	0	0	0.00994462	0	0.0245093	0	0	0.00136354	0.0156826	0.00962386	0.00233167	0.0155253	0	0.00533347	0.0180598	0	0	0	0.00749194	0	0.00127525	0.0154141	0	0	0	0	0	0.5	0.0361957	0	0	0	0.00203442	0	0.0181044	0.0285037
Mcapitata_ATAC_TP7_1499	0.114984	0.0839657	0	0.000632746	0.0201424	0.0188441	0	0	0.00740287	0	0	0.00486738	0	0.0019172	0.00582278	0	0.00188398	0.0208189	0.00447793	0.0111503	0.0258082	0.00676813	0.0058052	0.0186117	0.0082927	0.0166857	0.00593771	0	0.0124001	0.0129555	0.00140206	0.00847399	0.0231988	0.0195675	0.0305232	0	0.0150918	0	0.00599844	0.0210177	0.00386561	0	0.0110749	0.0100068	0.0181789	0.00171757	0	0.0116816	0.0167556	0.00228865	0.0175035	0	0.0173948	0.0220009	0.0151324	0.00720807	0.0124918	0.0110962	0.0157969	0.022297	0.0213186	0.0386914	0.0226561	0	0.0249856	0.0299712	0	0.0016011	0	0	0.00337185	0.00452993	0.0139441	0	0	0.00394088	0.0190749	0.0218241	0.0010117	0	0.0106369	0.0076702	0.0201151	0	0.00100695	0.0277313	0	0.016075	0.0100438	0.0258659	0.00548651	0.00620328	0.0314646	0.00972587	0.023856	0	0.00660443	0	0.0128131	0	0.0175263	0	0	0.010025	0.023022	0.0232626	0.0161605	0.0100568	0.00629122	0	0.0150156	0.0137003	0	0	0.000215563	0	0.0156014	0.0127371	0	0	0	0	0.5	0	0.0147954	0	0	0	0.00813187	0.0108048	0.0276871	0.031002
