sample	group	group_color
Mcapitata_HTAC_TP11_2380	Group1	#1f78b4
Mcapitata_ATAC_TP11_2302	Group1	#1f78b4

Mcapitata_ATAC_TP12_2403	Group2	#33a02c
Mcapitata_ATAC_TP6_2402	Group2	#33a02c

Mcapitata_ATAC_TP1_1037	Ungrouped	#808080
Mcapitata_ATAC_TP1_1600	Ungrouped	#808080
Mcapitata_ATAC_TP1_1652	Ungrouped	#808080
Mcapitata_ATAC_TP3_1101	Ungrouped	#808080
Mcapitata_ATAC_TP3_1548	Ungrouped	#808080
Mcapitata_ATAC_TP3_1628	Ungrouped	#808080
Mcapitata_ATAC_TP4_1108	Ungrouped	#808080
Mcapitata_ATAC_TP4_1609	Ungrouped	#808080
Mcapitata_ATAC_TP4_1651	Ungrouped	#808080
Mcapitata_ATAC_TP5_1196	Ungrouped	#808080
Mcapitata_ATAC_TP5_1610	Ungrouped	#808080
Mcapitata_ATAC_TP5_1776	Ungrouped	#808080
Mcapitata_ATAC_TP6_1114	Ungrouped	#808080
Mcapitata_ATAC_TP6_1611	Ungrouped	#808080
Mcapitata_ATAC_TP7_1058	Ungrouped	#808080
Mcapitata_ATAC_TP7_1455	Ungrouped	#808080
Mcapitata_ATAC_TP7_1499	Ungrouped	#808080
Mcapitata_ATAC_TP8_1083	Ungrouped	#808080
Mcapitata_ATAC_TP8_1436	Ungrouped	#808080
Mcapitata_ATAC_TP8_1779	Ungrouped	#808080
Mcapitata_ATAC_TP9_1121	Ungrouped	#808080
Mcapitata_ATAC_TP9_1420	Ungrouped	#808080
Mcapitata_ATAC_TP9_1580	Ungrouped	#808080
Mcapitata_ATAC_TP10_1095	Ungrouped	#808080
Mcapitata_ATAC_TP10_1561	Ungrouped	#808080
Mcapitata_ATAC_TP10_1631	Ungrouped	#808080
Mcapitata_ATAC_TP11_1076	Ungrouped	#808080
Mcapitata_ATAC_TP11_1644	Ungrouped	#808080
Mcapitata_ATAC_TP12_1120	Ungrouped	#808080
Mcapitata_ATAC_TP12_1452	Ungrouped	#808080
Mcapitata_ATHC_TP1_1218	Ungrouped	#808080
Mcapitata_ATHC_TP1_1826	Ungrouped	#808080
Mcapitata_ATHC_TP1_2068	Ungrouped	#808080
Mcapitata_ATHC_TP3_1544	Ungrouped	#808080
Mcapitata_ATHC_TP3_2731	Ungrouped	#808080
Mcapitata_ATHC_TP3_2866	Ungrouped	#808080
Mcapitata_ATHC_TP4_1221	Ungrouped	#808080
Mcapitata_ATHC_TP4_2561	Ungrouped	#808080
Mcapitata_ATHC_TP4_2734	Ungrouped	#808080
Mcapitata_ATHC_TP5_1229	Ungrouped	#808080
Mcapitata_ATHC_TP5_1706	Ungrouped	#808080
Mcapitata_ATHC_TP5_2986	Ungrouped	#808080
Mcapitata_ATHC_TP6_1212	Ungrouped	#808080
Mcapitata_ATHC_TP6_2016	Ungrouped	#808080
Mcapitata_ATHC_TP6_2555	Ungrouped	#808080
Mcapitata_ATHC_TP7_1223	Ungrouped	#808080
Mcapitata_ATHC_TP7_2860	Ungrouped	#808080
Mcapitata_ATHC_TP7_2875	Ungrouped	#808080
Mcapitata_ATHC_TP8_1260	Ungrouped	#808080
Mcapitata_ATHC_TP8_2735	Ungrouped	#808080
Mcapitata_ATHC_TP8_2753	Ungrouped	#808080
Mcapitata_ATHC_TP9_1148	Ungrouped	#808080
Mcapitata_ATHC_TP9_2862	Ungrouped	#808080
Mcapitata_ATHC_TP9_2995	Ungrouped	#808080
Mcapitata_ATHC_TP10_1204	Ungrouped	#808080
Mcapitata_ATHC_TP10_2554	Ungrouped	#808080
Mcapitata_ATHC_TP10_2737	Ungrouped	#808080
Mcapitata_ATHC_TP11_1237	Ungrouped	#808080
Mcapitata_ATHC_TP11_2188	Ungrouped	#808080
Mcapitata_ATHC_TP11_2756	Ungrouped	#808080
Mcapitata_ATHC_TP12_1154	Ungrouped	#808080
Mcapitata_ATHC_TP12_2736	Ungrouped	#808080
Mcapitata_ATHC_TP12_2990	Ungrouped	#808080
Mcapitata_HTAC_TP1_1579	Ungrouped	#808080
Mcapitata_HTAC_TP1_2153	Ungrouped	#808080
Mcapitata_HTAC_TP1_2183	Ungrouped	#808080
Mcapitata_HTAC_TP3_1289	Ungrouped	#808080
Mcapitata_HTAC_TP3_1751	Ungrouped	#808080
Mcapitata_HTAC_TP3_2021	Ungrouped	#808080
Mcapitata_HTAC_TP4_1269	Ungrouped	#808080
Mcapitata_HTAC_TP4_1481	Ungrouped	#808080
Mcapitata_HTAC_TP4_2000	Ungrouped	#808080
Mcapitata_HTAC_TP5_1321	Ungrouped	#808080
Mcapitata_HTAC_TP5_1583	Ungrouped	#808080
Mcapitata_HTAC_TP5_1997	Ungrouped	#808080
Mcapitata_HTAC_TP6_1496	Ungrouped	#808080
Mcapitata_HTAC_TP6_1588	Ungrouped	#808080
Mcapitata_HTAC_TP6_1705	Ungrouped	#808080
Mcapitata_HTAC_TP7_1278	Ungrouped	#808080
Mcapitata_HTAC_TP7_1645	Ungrouped	#808080
Mcapitata_HTAC_TP7_1722	Ungrouped	#808080
Mcapitata_HTAC_TP8_1235	Ungrouped	#808080
Mcapitata_HTAC_TP8_2386	Ungrouped	#808080
Mcapitata_HTAC_TP8_2410	Ungrouped	#808080
Mcapitata_HTAC_TP9_1306	Ungrouped	#808080
