ID	Ploidy	biallelic_sites	biallelic_sites_denoised	Diploid	Triploid	Tetraploid	Diploid_denoised	Triploid_denoised	Tetraploid_denoised
Pacuta_ATAC_TP1_1775	2	193950	146434	9430.497837	71086.027541	84809.243689	2624.156724	117490.471682	111262.273257
Pacuta_ATAC_TP5_1059	2	194803	142374	10678.708445	70687.783427	83717.192916	1565.929900	119144.512713	109349.791727
Pacuta_ATAC_TP6_1050	2	192351	142048	10064.702975	70754.920530	83847.287874	1877.430160	118410.411361	109355.352742
Pacuta_ATAC_TP6_1468	2	264960	194774	14225.004582	102054.379835	116909.988867	2321.976156	169902.564890	152313.188832
Pacuta_ATAC_TP7_1047	2	219686	162740	11421.648513	81651.361132	96056.977743	2179.916241	135910.949125	125191.424388
Pacuta_ATAC_TP7_1445	2	281799	206169	15817.390059	109837.672641	123853.063901	1982.500493	182994.850756	160985.086700
Pacuta_ATAC_TP8_1755	2	177169	134286	8235.214118	63783.466446	77043.365036	2072.821609	105343.521530	101099.277205
Pacuta_ATAC_TP9_1141	2	180405	139419	7948.787130	66736.552332	79916.136736	2038.932631	109065.365935	104777.189377
Pacuta_ATAC_TP10_1159	2	154044	116989	6975.143710	54714.517603	66815.554014	2003.538420	91159.860936	88350.168135
Pacuta_ATHC_TP1_1207	2	277303	198679	16159.830574	103193.175606	119500.888772	2166.458193	173654.042620	154521.893622
Pacuta_ATHC_TP1_2977	2	211772	149584	12287.930728	71568.802644	88081.043724	2318.681189	123623.694499	115199.244036
Pacuta_ATHC_TP3_1219	2	174783	129666	8889.026385	60958.291558	73951.693844	1738.648690	102656.186898	97348.796417
Pacuta_ATHC_TP4_2993	2	146336	107917	7455.252648	49186.699674	60594.274273	1811.826105	84451.394540	81234.842949
Pacuta_ATHC_TP5_1296	2	155371	116195	7755.375898	52685.059217	65005.046640	1696.798185	88257.241993	85789.587364
Pacuta_ATHC_TP5_2212	2	267559	197967	14514.493018	105593.208110	119680.003449	2312.146580	174108.642780	154697.538653
Pacuta_ATHC_TP6_2999	2	167899	124049	8539.308057	58662.317294	71224.318045	1804.874445	98724.262561	93744.193570
Pacuta_ATHC_TP7_1281	2	232966	173965	12011.944012	93942.091220	105403.415917	2277.633609	154320.693061	137053.403072
Pacuta_ATHC_TP8_2861	2	208174	154847	10509.900776	75708.620093	90068.665028	2267.026277	126371.086938	118085.607546
Pacuta_ATHC_TP9_2979	2	171251	129930	8023.881616	61173.682909	73933.377703	1797.327205	101392.657749	97218.863218
