a	b	ida	idb	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	F_diff_a_b	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter
0	1	Pacuta_ATAC_TP10_1159	Pacuta_ATAC_TP10_1559	1768556	0.940777	0.000018	0.059205	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.059214	0.000000	0.000000	0.029607	0.000000	0.000000	0.059205	0.000000	0.059205	0.059214	-0.000000	-2412983.879324	90	-1	0.239226	3.877645e-01,2.229883e-01,7.405385e-03,1.370621e-01,1.998078e-01,8.134171e-03,1.418501e-02,1.782534e-02,4.827384e-03	0.108056	0.490205	0.199366	-2657612.154065	15
0	2	Pacuta_ATAC_TP10_1159	Pacuta_ATAC_TP10_1641	1686430	0.936472	0.000008	0.063520	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.063524	0.000000	0.000000	0.031762	0.000000	0.000000	0.063520	0.000000	0.063520	0.063524	-0.000000	-2299323.601309	74	-1	0.228117	3.882108e-01,2.206696e-01,7.340581e-03,1.386117e-01,2.010648e-01,8.468218e-03,1.353314e-02,1.725387e-02,4.847233e-03	0.103816	0.495384	0.202402	-2533008.913724	15
0	3	Pacuta_ATAC_TP10_1159	Pacuta_ATAC_TP1_1043	1840867	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000002	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000001	-2545222.412480	54	-2545222.587272	0.249007	3.213005e-01,2.845194e-01,1.287583e-02,1.567860e-01,1.811296e-01,4.144986e-03,2.426712e-02,1.360662e-02,1.369981e-03	0.205063	0.365033	0.130088	-2800748.840923	15
0	4	Pacuta_ATAC_TP10_1159	Pacuta_ATAC_TP11_1103	1676793	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000039	0.000001	0.000000	0.000020	0.000001	0.000000	0.000038	0.000000	0.000039	0.000040	0.000000	-2248265.236069	67	-2248266.549505	0.226813	3.617076e-01,2.461582e-01,7.217145e-03,1.375144e-01,2.073296e-01,4.166660e-03,1.676623e-02,1.631909e-02,2.820987e-03	0.115678	0.484255	0.194626	-2513342.332983	15
0	5	Pacuta_ATAC_TP10_1159	Pacuta_ATAC_TP11_1777	1892847	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000002	0.000000	0.000000	0.000001	0.000000	0.000000	0.000001	0.000000	0.000001	0.000002	0.000000	-2603074.199131	62	-2603074.267072	0.256038	3.471120e-01,2.659870e-01,8.982395e-03,1.290085e-01,2.051139e-01,4.979374e-03,1.559494e-02,2.009531e-02,3.126540e-03	0.119823	0.461295	0.187835	-2839031.768093	14
0	6	Pacuta_ATAC_TP10_1159	Pacuta_ATAC_TP11_2306	1886759	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0.000000	0.000002	0.000002	0.000002	0.000000	-2538363.559703	50	-2538364.704780	0.255214	3.377619e-01,2.789858e-01,4.423296e-03,1.212953e-01,2.165512e-01,1.674092e-03,1.740224e-02,2.024599e-02,1.660171e-03	0.100787	0.487699	0.202151	-2782170.018783	15
0	7	Pacuta_ATAC_TP10_1159	Pacuta_ATAC_TP1_1775	1866827	0.203074	0.078525	0.718373	0.000000	0.000000	0.000001	0.000026	0.000001	0.000000	0.757655	0.000027	0.000001	0.378831	0.000013	0.000000	0.718375	0.000000	0.718375	0.757663	0.000000	-2045197.313980	74	-1	0.252518	5.677760e-01,5.220425e-02,4.031385e-04,3.953304e-02,2.967030e-01,5.935910e-03,4.783180e-04,1.043656e-02,2.652980e-02	0.002971	2.722265	0.420433	-2254891.425329	30
0	8	Pacuta_ATAC_TP10_1159	Pacuta_ATAC_TP1_2363	1710786	0.939557	0.000001	0.060442	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	0.060442	0.000001	0.000000	0.030221	0.000000	0.000000	0.060442	0.000000	0.060442	0.060442	0.000000	-2330914.634421	66	-1	0.231411	3.870497e-01,2.226673e-01,7.023339e-03,1.384068e-01,2.007181e-01,8.249699e-03,1.333964e-02,1.770579e-02,4.839659e-03	0.101451	0.492690	0.202916	-2567665.875480	18
0	9	Pacuta_ATAC_TP10_1159	Pacuta_ATAC_TP3_1041	1832215	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000002	0.000000	0.000000	0.000001	0.000000	0.000000	0.000002	0.000000	0.000002	0.000002	-0.000000	-2453157.572487	86	-2453157.663942	0.247836	3.505575e-01,2.641718e-01,5.542827e-03,1.263479e-01,2.129206e-01,2.164673e-03,1.744630e-02,1.873739e-02,2.110986e-03	0.107970	0.490136	0.199391	-2719587.804943	15
0	10	Pacuta_ATAC_TP10_1159	Pacuta_ATAC_TP3_1471	1670559	0.941392	0.000018	0.058590	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.058599	0.000000	0.000000	0.029300	0.000000	0.000000	0.058590	0.000000	0.058590	0.058599	0.000000	-2265618.087681	62	-1	0.225970	3.902318e-01,2.175740e-01,7.187910e-03,1.428916e-01,1.981651e-01,8.918965e-03,1.332791e-02,1.691111e-02,4.791658e-03	0.103529	0.487118	0.200777	-2501684.713583	15
