# ind1,ind2,ind1_snps,ind2_snps,both_snps,match,match_perc,pop
Pacuta_ATHC_TP1_1207,Pacuta_HTAC_TP8_1329,729250,729250,729250,715816.000000,98.160000,NA
Pacuta_ATHC_TP7_1281,Pacuta_HTAC_TP8_1329,729250,729250,729250,715359.000000,98.100000,NA
Pacuta_ATHC_TP1_1207,Pacuta_HTAC_TP5_1571,729250,729250,729250,715344.500000,98.090000,NA
Pacuta_HTAC_TP5_1571,Pacuta_HTAC_TP8_1329,729250,729250,729250,715137.500000,98.060000,NA
Pacuta_ATHC_TP1_1207,Pacuta_ATHC_TP7_1281,729250,729250,729250,715070.000000,98.060000,NA
Pacuta_ATAC_TP6_1468,Pacuta_ATHC_TP5_2212,729250,729250,729250,714999.000000,98.050000,NA
Pacuta_ATHC_TP11_2879,Pacuta_ATHC_TP1_1207,729250,729250,729250,714944.000000,98.040000,NA
Pacuta_ATHC_TP11_2879,Pacuta_HTAC_TP8_1329,729250,729250,729250,714809.000000,98.020000,NA
Pacuta_ATHC_TP7_1281,Pacuta_HTAC_TP5_1571,729250,729250,729250,714732.000000,98.010000,NA
Pacuta_ATAC_TP7_1047,Pacuta_HTAC_TP8_1329,729250,729250,729250,714562.500000,97.990000,NA
Pacuta_ATHC_TP1_1207,Pacuta_HTHC_TP4_1169,729250,729250,729250,714491.500000,97.980000,NA
Pacuta_ATAC_TP7_1047,Pacuta_ATHC_TP1_1207,729250,729250,729250,714508.000000,97.980000,NA
Pacuta_HTAC_TP8_1329,Pacuta_HTHC_TP4_1169,729250,729250,729250,714392.000000,97.960000,NA
Pacuta_HTAC_TP5_1571,Pacuta_HTHC_TP4_1169,729250,729250,729250,714353.500000,97.960000,NA
Pacuta_ATHC_TP11_2879,Pacuta_ATHC_TP7_1281,729250,729250,729250,714322.000000,97.950000,NA
Pacuta_ATAC_TP7_1047,Pacuta_ATHC_TP7_1281,729250,729250,729250,714165.000000,97.930000,NA
Pacuta_ATHC_TP11_2879,Pacuta_HTAC_TP5_1571,729250,729250,729250,714053.500000,97.920000,NA
Pacuta_ATAC_TP7_1047,Pacuta_HTAC_TP5_1571,729250,729250,729250,714061.500000,97.920000,NA
