Pacuta_ATHC_TP10_2550	Pacuta_HTAC_TP1_1653	Pacuta_HTHC_TP6_1721	Pacuta_ATHC_TP10_1205	Pacuta_ATAC_TP5_1059	Pacuta_HTHC_TP1_2210	Pacuta_HTHC_TP11_1416	Pacuta_HTHC_TP4_1169	Pacuta_ATHC_TP11_2879	Pacuta_ATHC_TP7_1281	Pacuta_HTAC_TP5_1571	Pacuta_ATHC_TP1_1207	Pacuta_HTAC_TP8_1329	Pacuta_ATHC_TP1_2977	Pacuta_HTAC_TP7_1487	Pacuta_ATAC_TP6_1050	Pacuta_ATAC_TP7_1047	Pacuta_ATHC_TP8_2861	Pacuta_HTHC_TP5_1168	Pacuta_HTHC_TP3_2527	Pacuta_ATHC_TP6_2999	Pacuta_ATHC_TP3_1219	Pacuta_HTAC_TP5_1303	Pacuta_ATHC_TP10_2197	Pacuta_HTAC_TP3_2026	Pacuta_HTAC_TP6_1330	Pacuta_ATHC_TP11_2668	Pacuta_HTHC_TP1_1676	Pacuta_HTAC_TP10_1225	Pacuta_HTHC_TP3_1418	Pacuta_ATHC_TP4_2993	Pacuta_ATHC_TP5_1296	Pacuta_ATHC_TP9_2979	Pacuta_ATAC_TP7_1445	Pacuta_HTAC_TP9_1302	Pacuta_HTAC_TP9_1486	Pacuta_ATAC_TP1_1775	Pacuta_HTAC_TP6_1744	Pacuta_ATAC_TP6_1468	Pacuta_ATHC_TP5_2212	Pacuta_ATAC_TP10_1159	Pacuta_ATAC_TP8_1755	Pacuta_ATAC_TP9_1141	Pacuta_HTHC_TP8_1184	Pacuta_ATHC_TP1_2743	Pacuta_ATAC_TP1_1043	Pacuta_ATAC_TP6_1542	Pacuta_HTHC_TP4_1343	Pacuta_HTHC_TP7_1427	Pacuta_ATHC_TP3_2750	Pacuta_HTAC_TP4_1581	Pacuta_HTAC_TP11_1647	Pacuta_HTHC_TP4_2195	Pacuta_HTAC_TP11_1582	Pacuta_ATAC_TP4_2002	Pacuta_HTAC_TP4_1701	Pacuta_ATAC_TP5_1563	Pacuta_ATHC_TP8_2564	Pacuta_HTHC_TP1_1239	Pacuta_HTHC_TP10_1238	Pacuta_ATHC_TP7_2409	Pacuta_HTHC_TP7_1090	Pacuta_ATAC_TP3_1471	Pacuta_HTHC_TP10_1732	Pacuta_HTHC_TP7_1820	Pacuta_HTAC_TP10_1536	Pacuta_ATAC_TP9_1594	Pacuta_ATAC_TP10_1559	Pacuta_ATAC_TP5_1757	Pacuta_ATAC_TP1_2363	Pacuta_HTAC_TP1_2005	Pacuta_ATAC_TP4_1060	Pacuta_HTAC_TP3_1617	Pacuta_ATAC_TP10_1641	Pacuta_HTAC_TP8_1765	Pacuta_ATAC_TP11_2306	Pacuta_ATHC_TP11_1147	Pacuta_HTAC_TP11_1596	Pacuta_HTHC_TP5_2087	Pacuta_ATAC_TP4_1762	Pacuta_ATHC_TP3_2534	Pacuta_HTAC_TP5_1707	Pacuta_HTAC_TP9_1696	Pacuta_HTHC_TP8_1709	Pacuta_HTAC_TP10_2064	Pacuta_ATAC_TP7_2413	Pacuta_HTHC_TP3_1227	Pacuta_HTHC_TP6_1595	Pacuta_HTHC_TP8_2304	Pacuta_HTHC_TP9_2202	Pacuta_ATAC_TP3_1041	Pacuta_HTHC_TP6_1138	Pacuta_ATHC_TP7_2878	Pacuta_HTAC_TP1_2414	Pacuta_HTAC_TP7_1728	Pacuta_ATHC_TP4_1220	Pacuta_ATAC_TP9_2357	Pacuta_HTHC_TP9_2305	Pacuta_HTHC_TP10_2300	Pacuta_HTAC_TP6_1466	Pacuta_ATHC_TP5_2877	Pacuta_ATHC_TP6_2870	Pacuta_ATAC_TP3_1637	Pacuta_ATHC_TP9_1451	Pacuta_HTAC_TP8_2513	Pacuta_HTHC_TP9_1131	Pacuta_ATAC_TP11_1103	Pacuta_ATAC_TP8_2012	Pacuta_ATHC_TP9_2873	Pacuta_HTHC_TP11_2185	Pacuta_HTHC_TP5_1415	Pacuta_ATHC_TP6_1254	Pacuta_HTAC_TP3_1642	Pacuta_HTAC_TP7_2072	Pacuta_ATHC_TP8_1459	Pacuta_ATAC_TP8_1051	Pacuta_HTAC_TP4_1767	Pacuta_ATAC_TP11_1777	Pacuta_ATHC_TP4_2733
Pacuta_ATHC_TP4_2733	85.85	77.71	77.53	81.83	81.51	82.19	81.86	81.91	81.94	81.94	81.95	81.91	81.95	81.93	81.92	81.93	81.98	81.88	81.92	81.85	81.83	81.83	81.86	81.88	81.85	81.52	81.84	81.56	81.66	81.69	81.71	81.74	81.76	85.93	83.62	83.71	83.74	83.84	83.85	83.86	83.57	83.64	83.6	82.35	82.42	82.67	82.67	82.64	82.66	82.64	82.65	83.59	83.66	83.61	83.66	83.65	83.66	83.66	83.62	83.54	83.63	83.63	83.36	83.42	83.59	83.49	83.49	83.5	83.53	83.43	83.44	83.42	83.45	83.35	83.3	90.58	90.71	90.67	90.76	90.82	90.81	90.8	90.86	90.82	90.37	90.4	90.45	90.49	90.43	90.47	90.55	90.6	90.6	90.73	90.71	90.07	89.93	90.02	90.17	90.14	90.19	90.23	90.09	90.02	89.96	89.97	89.76	89.82	89.73	87.23	88.46	93.14	94.96	94.87	95.32	95.4	95.77	95.48	100
Pacuta_ATAC_TP11_1777	85.58	77.78	77.66	82.02	81.66	82.33	82.05	82.06	82.11	82.12	82.12	82.1	82.11	82.11	82.12	82.12	82.15	82.06	82.1	82.04	82.04	82.02	82.04	82.1	82.04	81.74	82	81.77	81.89	81.89	81.92	81.95	81.98	86.17	83.78	83.91	83.93	84.02	83.99	84.02	83.79	83.86	83.81	82.4	82.45	82.62	82.63	82.62	82.63	82.59	82.6	83.64	83.65	83.66	83.67	83.65	83.68	83.68	83.67	83.6	83.66	83.67	83.46	83.52	83.64	83.56	83.59	83.6	83.61	83.54	83.55	83.52	83.55	83.46	83.42	90.29	90.34	90.33	90.34	90.36	90.44	90.41	90.44	90.41	90.09	90.12	90.14	90.2	90.12	90.16	90.22	90.26	90.25	90.37	90.32	89.77	89.72	89.77	89.93	89.89	89.92	89.96	89.86	89.82	89.73	89.74	89.6	89.61	89.56	87.29	88.63	93.3	95.18	95.15	94.95	95.05	95.31	100	95.48
Pacuta_HTAC_TP4_1767	86.08	77.71	77.76	82.1	81.68	82.32	82.1	82.09	82.12	82.16	82.15	82.13	82.15	82.17	82.21	82.21	82.25	82.17	82.2	82.14	82.11	82.11	82.16	82.18	82.13	81.84	81.95	81.86	82	81.99	82.02	82.05	82.06	86.06	83.79	83.99	83.99	84.09	84.01	84.03	83.88	83.94	83.91	82.58	82.62	82.78	82.79	82.82	82.82	82.7	82.73	83.73	83.77	83.73	83.77	83.77	83.77	83.77	83.86	83.78	83.84	83.85	83.66	83.69	83.8	83.76	83.76	83.77	83.82	83.71	83.71	83.71	83.74	83.58	83.61	90.56	90.65	90.66	90.66	90.71	90.8	90.76	90.79	90.78	90.56	90.57	90.64	90.69	90.62	90.61	90.71	90.75	90.75	90.83	90.81	90.14	90.17	90.26	90.4	90.38	90.39	90.44	90.34	90.3	90.19	90.18	90	90.1	90	87.34	88.82	92.92	94.86	95.06	95.58	95.69	100	95.31	95.77
Pacuta_ATAC_TP8_1051	85.98	77.67	77.75	82.11	81.63	82.29	82.08	82.07	82.14	82.15	82.13	82.11	82.14	82.17	82.19	82.2	82.24	82.19	82.2	82.16	82.14	82.13	82.16	82.19	82.16	81.89	81.93	81.9	82.03	82.02	82.04	82.09	82.11	85.99	83.75	83.97	83.94	84.04	83.97	83.98	83.89	83.95	83.92	82.6	82.59	82.68	82.72	82.71	82.72	82.6	82.6	83.65	83.67	83.65	83.66	83.67	83.69	83.68	83.79	83.73	83.78	83.79	83.63	83.63	83.73	83.72	83.75	83.75	83.79	83.68	83.66	83.67	83.71	83.6	83.62	90.39	90.41	90.47	90.42	90.46	90.6	90.52	90.54	90.53	90.44	90.37	90.47	90.45	90.5	90.48	90.52	90.54	90.52	90.61	90.57	90.01	90.07	90.2	90.33	90.25	90.27	90.32	90.2	90.2	90.05	90.13	89.93	90.08	89.97	87.22	88.74	92.75	94.54	94.76	95.46	100	95.69	95.05	95.4
Pacuta_ATHC_TP8_1459	85.95	77.7	77.79	82.1	81.65	82.3	82.06	82.06	82.11	82.13	82.11	82.08	82.11	82.16	82.18	82.19	82.22	82.16	82.17	82.13	82.12	82.12	82.14	82.18	82.14	81.89	81.91	81.89	82.01	82	82.02	82.06	82.08	85.99	83.79	83.98	83.96	84.07	83.98	83.97	83.88	83.96	83.92	82.54	82.56	82.64	82.66	82.66	82.66	82.51	82.53	83.59	83.63	83.59	83.61	83.61	83.62	83.62	83.72	83.69	83.7	83.74	83.6	83.6	83.72	83.69	83.71	83.7	83.71	83.63	83.64	83.62	83.67	83.55	83.6	90.32	90.37	90.35	90.32	90.37	90.5	90.43	90.45	90.44	90.36	90.34	90.4	90.4	90.41	90.4	90.44	90.46	90.46	90.52	90.48	89.95	90.04	90.13	90.22	90.18	90.23	90.24	90.16	90.1	90.06	90.08	89.87	89.97	89.89	87.16	88.69	92.62	94.59	94.77	100	95.46	95.58	94.95	95.32
Pacuta_HTAC_TP7_2072	85.63	77.76	77.86	82.24	81.78	82.42	82.22	82.25	82.25	82.29	82.29	82.24	82.27	82.34	82.36	82.36	82.39	82.3	82.34	82.3	82.28	82.28	82.31	82.34	82.29	82.04	82.05	82.07	82.17	82.19	82.21	82.22	82.24	86.15	83.99	84.12	84.12	84.19	84.11	84.1	83.99	84.05	84.02	82.5	82.57	82.67	82.7	82.7	82.67	82.48	82.48	83.6	83.64	83.56	83.62	83.61	83.61	83.62	83.76	83.7	83.72	83.78	83.65	83.62	83.8	83.68	83.7	83.68	83.71	83.65	83.65	83.63	83.7	83.54	83.59	89.96	90	89.93	89.89	90.03	90.08	90.09	90.03	90.07	89.94	90.03	90	90.08	89.94	89.98	90.05	90.14	90.09	90.13	90.17	89.55	89.63	89.68	89.75	89.79	89.8	89.84	89.8	89.72	89.73	89.63	89.47	89.51	89.52	87.13	88.9	92.64	95.06	100	94.77	94.76	95.06	95.15	94.87
Pacuta_HTAC_TP3_1642	85.49	77.76	77.77	82.12	81.69	82.35	82.13	82.17	82.14	82.19	82.2	82.13	82.16	82.2	82.22	82.21	82.22	82.14	82.18	82.15	82.12	82.1	82.13	82.16	82.13	81.86	81.98	81.91	81.99	82.03	82.03	82.05	82.05	86.1	83.97	83.97	83.97	84.05	84.02	84.03	83.83	83.89	83.87	82.32	82.42	82.55	82.57	82.57	82.55	82.43	82.43	83.54	83.62	83.51	83.56	83.55	83.56	83.59	83.64	83.54	83.58	83.63	83.47	83.44	83.66	83.54	83.53	83.54	83.55	83.51	83.53	83.45	83.55	83.43	83.45	89.96	90.01	89.87	89.86	90.02	90.06	90.09	89.99	90.04	89.72	89.89	89.84	89.93	89.74	89.8	89.87	89.96	89.95	90.01	90.01	89.39	89.47	89.51	89.57	89.61	89.62	89.7	89.63	89.54	89.56	89.48	89.3	89.31	89.3	87.03	88.7	92.58	100	95.06	94.59	94.54	94.86	95.18	94.96
Pacuta_ATHC_TP6_1254	84.53	78.2	77.42	81.68	81.21	81.78	81.6	81.62	81.69	81.68	81.67	81.66	81.68	81.7	81.71	81.73	81.76	81.7	81.74	81.67	81.66	81.65	81.68	81.7	81.66	81.37	81.9	81.4	81.49	81.5	81.54	81.59	81.61	84.96	82.76	82.95	82.97	83.05	83	83	82.86	82.94	82.92	82	82	82.23	82.16	82.15	82.17	82.07	82.07	82.71	82.76	82.75	82.77	82.77	82.79	82.78	82.84	82.79	82.86	82.86	82.71	82.71	82.8	82.78	82.78	82.84	82.86	82.77	82.76	82.77	82.79	82.76	82.68	88.45	88.51	88.55	88.71	88.59	88.68	88.63	88.65	88.64	88.5	88.47	88.57	88.55	88.58	88.58	88.61	88.64	88.62	88.69	88.63	88.44	88.18	88.27	88.36	88.35	88.41	88.44	88.31	88.31	88.15	88.22	88.07	88.16	88.1	86.08	87.11	100	92.58	92.64	92.62	92.75	92.92	93.3	93.14
Pacuta_HTHC_TP5_1415	81.27	76.25	76.37	82.06	80.56	81.34	83.17	83.16	83.15	83.19	83.19	83.13	83.16	83.25	83.27	83.28	83.29	83.23	83.25	83.23	83.22	83.21	83.23	83.26	83.23	83.1	82.85	83.04	83.2	83.17	83.14	83.17	83.17	82.63	84.86	84.97	84.94	85.04	84.92	84.92	84.89	84.93	84.88	83.29	83.33	83.34	83.38	83.35	83.34	83.14	83.15	85.1	85.15	85.09	85.09	85.12	85.12	85.11	85.29	85.22	85.24	85.29	85.24	85.2	85.31	85.24	85.26	85.23	85.26	85.21	85.25	85.2	85.23	85.09	85.2	86.3	86.28	86.25	86.15	86.27	86.34	86.31	86.23	86.25	86.43	86.45	86.42	86.48	86.42	86.35	86.41	86.42	86.42	86.4	86.41	86.16	86.36	86.33	86.37	86.38	86.34	86.41	86.45	86.39	86.31	86.28	86.29	86.3	86.34	90.7	100	87.11	88.7	88.9	88.69	88.74	88.82	88.63	88.46
Pacuta_HTHC_TP11_2185	80.29	78.77	78.71	82.26	83.37	84.03	84.05	84.03	84.1	84.09	84.09	84.09	84.11	84.07	84.07	84.09	84.14	84.05	84.08	83.97	83.98	83.98	83.98	84.05	83.99	83.67	83.86	83.71	83.85	83.82	83.86	83.89	83.93	83.05	85.33	85.45	85.5	85.57	85.6	85.61	85.35	85.41	85.37	83.25	83.28	83.46	83.47	83.45	83.48	83.43	83.44	84.8	84.81	84.83	84.81	84.81	84.83	84.82	84.77	84.76	84.84	84.81	84.58	84.68	84.76	84.7	84.72	84.72	84.74	84.67	84.66	84.65	84.69	84.56	84.55	85.44	85.46	85.48	85.4	85.44	85.51	85.48	85.45	85.47	85.42	85.41	85.4	85.46	85.41	85.4	85.42	85.47	85.47	85.51	85.48	85.2	85.22	85.22	85.34	85.3	85.27	85.35	85.3	85.28	85.21	85.2	85.16	85.16	85.13	100	90.7	86.08	87.03	87.13	87.16	87.22	87.34	87.29	87.23
