ind1	ind2	match_perc
Pacuta_ATHC_TP1_1207	Pacuta_HTAC_TP8_1329	98.160000
Pacuta_HTAC_TP8_1329	Pacuta_ATHC_TP1_1207	98.160000
Pacuta_ATHC_TP7_1281	Pacuta_HTAC_TP8_1329	98.100000
Pacuta_HTAC_TP8_1329	Pacuta_ATHC_TP7_1281	98.100000
Pacuta_ATHC_TP1_1207	Pacuta_HTAC_TP5_1571	98.090000
Pacuta_HTAC_TP5_1571	Pacuta_ATHC_TP1_1207	98.090000
Pacuta_HTAC_TP5_1571	Pacuta_HTAC_TP8_1329	98.060000
Pacuta_HTAC_TP8_1329	Pacuta_HTAC_TP5_1571	98.060000
Pacuta_ATHC_TP1_1207	Pacuta_ATHC_TP7_1281	98.060000
Pacuta_ATHC_TP7_1281	Pacuta_ATHC_TP1_1207	98.060000
Pacuta_ATAC_TP6_1468	Pacuta_ATHC_TP5_2212	98.050000
Pacuta_ATHC_TP5_2212	Pacuta_ATAC_TP6_1468	98.050000
Pacuta_ATHC_TP11_2879	Pacuta_ATHC_TP1_1207	98.040000
Pacuta_ATHC_TP1_1207	Pacuta_ATHC_TP11_2879	98.040000
Pacuta_ATHC_TP11_2879	Pacuta_HTAC_TP8_1329	98.020000
Pacuta_HTAC_TP8_1329	Pacuta_ATHC_TP11_2879	98.020000
Pacuta_ATHC_TP7_1281	Pacuta_HTAC_TP5_1571	98.010000
Pacuta_HTAC_TP5_1571	Pacuta_ATHC_TP7_1281	98.010000
Pacuta_ATAC_TP7_1047	Pacuta_HTAC_TP8_1329	97.990000
Pacuta_HTAC_TP8_1329	Pacuta_ATAC_TP7_1047	97.990000
Pacuta_ATHC_TP1_1207	Pacuta_HTHC_TP4_1169	97.980000
Pacuta_HTHC_TP4_1169	Pacuta_ATHC_TP1_1207	97.980000
Pacuta_ATAC_TP7_1047	Pacuta_ATHC_TP1_1207	97.980000
Pacuta_ATHC_TP1_1207	Pacuta_ATAC_TP7_1047	97.980000
Pacuta_HTAC_TP8_1329	Pacuta_HTHC_TP4_1169	97.960000
Pacuta_HTHC_TP4_1169	Pacuta_HTAC_TP8_1329	97.960000
