Pacuta_ATHC_TP10_2550	Pacuta_HTAC_TP1_1653	Pacuta_HTHC_TP6_1721	Pacuta_ATHC_TP10_1205	Pacuta_ATAC_TP5_1059	Pacuta_HTHC_TP1_2210	Pacuta_HTHC_TP11_1416	Pacuta_HTHC_TP4_1169	Pacuta_ATHC_TP11_2879	Pacuta_ATHC_TP7_1281	Pacuta_HTAC_TP5_1571	Pacuta_ATHC_TP1_1207	Pacuta_HTAC_TP8_1329	Pacuta_ATHC_TP1_2977	Pacuta_HTAC_TP7_1487	Pacuta_ATAC_TP6_1050	Pacuta_ATAC_TP7_1047	Pacuta_ATHC_TP8_2861	Pacuta_HTHC_TP5_1168	Pacuta_HTHC_TP3_2527	Pacuta_ATHC_TP6_2999	Pacuta_ATHC_TP3_1219	Pacuta_HTAC_TP5_1303	Pacuta_ATHC_TP10_2197	Pacuta_HTAC_TP3_2026	Pacuta_HTAC_TP6_1330	Pacuta_ATHC_TP11_2668	Pacuta_HTHC_TP1_1676	Pacuta_HTAC_TP10_1225	Pacuta_HTHC_TP3_1418	Pacuta_ATHC_TP4_2993	Pacuta_ATHC_TP5_1296	Pacuta_ATHC_TP9_2979	Pacuta_ATAC_TP7_1445	Pacuta_HTAC_TP9_1302	Pacuta_HTAC_TP9_1486	Pacuta_ATAC_TP1_1775	Pacuta_HTAC_TP6_1744	Pacuta_ATAC_TP6_1468	Pacuta_ATHC_TP5_2212	Pacuta_ATAC_TP10_1159	Pacuta_ATAC_TP8_1755	Pacuta_ATAC_TP9_1141	Pacuta_HTHC_TP8_1184	Pacuta_ATHC_TP1_2743	Pacuta_ATAC_TP1_1043	Pacuta_ATAC_TP6_1542	Pacuta_HTHC_TP4_1343	Pacuta_HTHC_TP7_1427	Pacuta_ATHC_TP3_2750	Pacuta_HTAC_TP4_1581	Pacuta_HTAC_TP11_1647	Pacuta_HTHC_TP4_2195	Pacuta_HTAC_TP11_1582	Pacuta_ATAC_TP4_2002	Pacuta_HTAC_TP4_1701	Pacuta_ATAC_TP5_1563	Pacuta_ATHC_TP8_2564	Pacuta_HTHC_TP1_1239	Pacuta_HTHC_TP10_1238	Pacuta_ATHC_TP7_2409	Pacuta_HTHC_TP7_1090	Pacuta_ATAC_TP3_1471	Pacuta_HTHC_TP10_1732	Pacuta_HTHC_TP7_1820	Pacuta_HTAC_TP10_1536	Pacuta_ATAC_TP9_1594	Pacuta_ATAC_TP10_1559	Pacuta_ATAC_TP5_1757	Pacuta_ATAC_TP1_2363	Pacuta_HTAC_TP1_2005	Pacuta_ATAC_TP4_1060	Pacuta_HTAC_TP3_1617	Pacuta_ATAC_TP10_1641	Pacuta_HTAC_TP8_1765	Pacuta_ATAC_TP11_2306	Pacuta_ATHC_TP11_1147	Pacuta_HTAC_TP11_1596	Pacuta_HTHC_TP5_2087	Pacuta_ATAC_TP4_1762	Pacuta_ATHC_TP3_2534	Pacuta_HTAC_TP5_1707	Pacuta_HTAC_TP9_1696	Pacuta_HTHC_TP8_1709	Pacuta_HTAC_TP10_2064	Pacuta_ATAC_TP7_2413	Pacuta_HTHC_TP3_1227	Pacuta_HTHC_TP6_1595	Pacuta_HTHC_TP8_2304	Pacuta_HTHC_TP9_2202	Pacuta_ATAC_TP3_1041	Pacuta_HTHC_TP6_1138	Pacuta_ATHC_TP7_2878	Pacuta_HTAC_TP1_2414	Pacuta_HTAC_TP7_1728	Pacuta_ATHC_TP4_1220	Pacuta_ATAC_TP9_2357	Pacuta_HTHC_TP9_2305	Pacuta_HTHC_TP10_2300	Pacuta_HTAC_TP6_1466	Pacuta_ATHC_TP5_2877	Pacuta_ATHC_TP6_2870	Pacuta_ATAC_TP3_1637	Pacuta_ATHC_TP9_1451	Pacuta_HTAC_TP8_2513	Pacuta_HTHC_TP9_1131	Pacuta_ATAC_TP11_1103	Pacuta_ATAC_TP8_2012	Pacuta_ATHC_TP9_2873	Pacuta_HTHC_TP11_2185	Pacuta_HTHC_TP5_1415	Pacuta_ATHC_TP6_1254	Pacuta_HTAC_TP3_1642	Pacuta_HTAC_TP7_2072	Pacuta_ATHC_TP8_1459	Pacuta_ATAC_TP8_1051	Pacuta_HTAC_TP4_1767	Pacuta_ATAC_TP11_1777	Pacuta_ATHC_TP4_2733
Pacuta_ATHC_TP4_2733	0.29254	0.137408	0.0928732	0.209455	0.205613	0.225247	0.215553	0.219967	0.22187	0.220931	0.221496	0.223059	0.223121	0.217554	0.216995	0.216893	0.219508	0.216781	0.217943	0.212642	0.213114	0.213625	0.213819	0.21381	0.213395	0.194404	0.225874	0.201404	0.201114	0.204218	0.207014	0.208941	0.211639	0.299168	0.253279	0.25687	0.25893	0.261688	0.266283	0.26699	0.251358	0.255441	0.254658	0.260175	0.262039	0.27392	0.272589	0.273013	0.274607	0.279337	0.279345	0.286858	0.288388	0.289276	0.290436	0.290411	0.289755	0.29035	0.282146	0.281399	0.285795	0.283751	0.270911	0.275396	0.279277	0.278315	0.277304	0.279308	0.279946	0.276384	0.27603	0.27775	0.276144	0.274856	0.268988	0.392976	0.395616	0.395434	0.398297	0.397465	0.397109	0.397262	0.399412	0.39848	0.388724	0.388675	0.390122	0.390141	0.389642	0.391455	0.392139	0.392861	0.393179	0.395443	0.394786	0.385479	0.379725	0.382323	0.385268	0.384095	0.385926	0.385344	0.382118	0.381766	0.380398	0.38152	0.376914	0.377925	0.375533	0.341776	0.332493	0.432025	0.448068	0.447485	0.454872	0.456221	0.461891	0.458385	0.5
Pacuta_ATAC_TP11_1777	0.27956	0.129909	0.0837478	0.205589	0.200901	0.22044	0.211844	0.215795	0.218115	0.217042	0.217554	0.219311	0.219209	0.213738	0.213272	0.213074	0.215673	0.212993	0.213953	0.20849	0.209341	0.209742	0.209786	0.210378	0.209599	0.190567	0.222379	0.197336	0.197243	0.200376	0.203114	0.205272	0.207956	0.297335	0.249353	0.253407	0.255543	0.258187	0.262616	0.263526	0.248227	0.25214	0.25128	0.254275	0.256317	0.267935	0.266515	0.266906	0.268426	0.273435	0.273143	0.282791	0.283467	0.285113	0.285883	0.285803	0.285346	0.285939	0.278043	0.277141	0.28154	0.279224	0.266752	0.270769	0.274729	0.274156	0.273249	0.275465	0.276074	0.272565	0.271952	0.273877	0.272114	0.271253	0.265157	0.385076	0.387256	0.387216	0.389699	0.388406	0.388516	0.388287	0.390579	0.389551	0.380826	0.380594	0.38189	0.381964	0.381453	0.383292	0.383825	0.384457	0.384672	0.38685	0.38591	0.377577	0.37206	0.374454	0.377723	0.376137	0.378176	0.377539	0.374035	0.374273	0.372531	0.374051	0.369861	0.370362	0.368324	0.33862	0.330416	0.432231	0.448391	0.448357	0.447194	0.448681	0.453101	0.5	0.458385
Pacuta_HTAC_TP4_1767	0.286763	0.125989	0.0814107	0.203027	0.197562	0.217108	0.209323	0.213262	0.215557	0.214807	0.215198	0.216796	0.216855	0.211712	0.211603	0.211466	0.214029	0.2115	0.212312	0.20685	0.207408	0.207882	0.208276	0.208511	0.207852	0.188588	0.219234	0.195575	0.195577	0.198823	0.201279	0.203433	0.206164	0.293151	0.247474	0.25233	0.254095	0.256879	0.260805	0.261547	0.247177	0.250974	0.250442	0.255245	0.257112	0.26875	0.267301	0.268163	0.269675	0.273507	0.273651	0.281969	0.283446	0.284482	0.285598	0.285651	0.284787	0.285362	0.278513	0.277556	0.2819	0.279968	0.267537	0.271777	0.274913	0.2748	0.273699	0.275964	0.27672	0.272729	0.272407	0.274413	0.272572	0.270983	0.26559	0.388404	0.390765	0.391028	0.393396	0.392344	0.392683	0.39239	0.394649	0.393592	0.386028	0.385649	0.387439	0.387652	0.386989	0.388424	0.389424	0.389975	0.390334	0.392269	0.391275	0.382202	0.377231	0.380176	0.382971	0.381882	0.383628	0.382955	0.379784	0.379757	0.377804	0.378879	0.3744	0.375924	0.373282	0.337421	0.330334	0.427266	0.443004	0.444933	0.453454	0.455374	0.5	0.453101	0.461891
Pacuta_ATAC_TP8_1051	0.281492	0.119446	0.0741414	0.198039	0.191761	0.211715	0.204508	0.20847	0.211159	0.210047	0.210345	0.212181	0.212266	0.206957	0.206697	0.206688	0.209418	0.207198	0.207923	0.202447	0.203072	0.203597	0.203672	0.203829	0.203466	0.18441	0.214802	0.19112	0.191109	0.194221	0.196807	0.199301	0.202042	0.288438	0.242297	0.247645	0.249141	0.25195	0.256039	0.256627	0.242845	0.246722	0.246077	0.251876	0.252971	0.264052	0.262757	0.263321	0.26495	0.268951	0.268802	0.277968	0.278727	0.280221	0.281031	0.281161	0.280594	0.281091	0.274373	0.273546	0.277695	0.275675	0.263512	0.267689	0.270415	0.270934	0.270045	0.272428	0.272792	0.269033	0.26826	0.270608	0.268816	0.267626	0.262011	0.384496	0.386145	0.386852	0.388865	0.387492	0.388267	0.387793	0.389861	0.388964	0.382591	0.381303	0.383531	0.38292	0.383756	0.384889	0.385324	0.385552	0.385507	0.387778	0.386766	0.378632	0.373871	0.377326	0.38003	0.378215	0.379846	0.379606	0.375832	0.376228	0.374096	0.376122	0.371352	0.373373	0.370588	0.333435	0.326095	0.423673	0.437679	0.44012	0.450604	0.5	0.455374	0.448681	0.456221
Pacuta_ATHC_TP8_1459	0.279435	0.117015	0.0712113	0.195605	0.189802	0.209738	0.201903	0.206091	0.208445	0.207609	0.207847	0.209517	0.209721	0.204536	0.20439	0.204242	0.206881	0.20458	0.205167	0.199702	0.200612	0.201264	0.201133	0.201366	0.200939	0.181746	0.212181	0.18867	0.188179	0.191597	0.194341	0.196543	0.199231	0.287122	0.241025	0.24612	0.247713	0.25072	0.254623	0.255062	0.240953	0.245315	0.244566	0.249362	0.250917	0.261934	0.26033	0.260977	0.262646	0.266298	0.266219	0.275697	0.276962	0.277981	0.279135	0.279114	0.27826	0.279045	0.272058	0.271362	0.275607	0.273685	0.261264	0.265556	0.268775	0.268925	0.267924	0.270014	0.270311	0.26676	0.266346	0.268376	0.26686	0.26558	0.260124	0.382754	0.384713	0.384763	0.386747	0.385461	0.386504	0.385869	0.388014	0.387244	0.380776	0.380081	0.381973	0.381338	0.381669	0.383165	0.38349	0.383819	0.384036	0.385825	0.384875	0.376845	0.372437	0.375724	0.377944	0.376486	0.378606	0.377813	0.374389	0.374305	0.373217	0.374724	0.369773	0.371165	0.368809	0.331771	0.324032	0.421557	0.437825	0.439369	0.5	0.450604	0.453454	0.447194	0.454872
Pacuta_HTAC_TP7_2072	0.265185	0.106935	0.0590522	0.189758	0.183419	0.204174	0.196847	0.201431	0.20318	0.202556	0.203014	0.204568	0.20476	0.199747	0.199371	0.199176	0.201787	0.199052	0.200157	0.194553	0.195314	0.195954	0.195916	0.196199	0.195613	0.175606	0.207119	0.182985	0.182521	0.186199	0.188821	0.191045	0.193853	0.284035	0.237178	0.24128	0.243487	0.24612	0.250317	0.250747	0.235738	0.24008	0.239256	0.242169	0.244284	0.255923	0.254509	0.25494	0.256466	0.259942	0.259571	0.270324	0.271706	0.272396	0.27388	0.273754	0.273018	0.273649	0.266915	0.265986	0.270235	0.26844	0.256123	0.259013	0.264018	0.263188	0.262149	0.264216	0.264903	0.261255	0.260544	0.262857	0.261347	0.259487	0.253863	0.373796	0.376153	0.375455	0.377782	0.377428	0.377286	0.377623	0.379189	0.378632	0.371377	0.371694	0.372798	0.373296	0.372001	0.374082	0.374668	0.375683	0.375466	0.37697	0.3769	0.367745	0.36284	0.365462	0.368008	0.367461	0.369236	0.368688	0.365354	0.365184	0.364407	0.364772	0.360136	0.361078	0.359581	0.327457	0.32275	0.420547	0.441461	0.5	0.439369	0.44012	0.444933	0.448357	0.447485
Pacuta_HTAC_TP3_1642	0.264582	0.108823	0.0602436	0.189179	0.183449	0.2046	0.196664	0.201518	0.202961	0.20231	0.20286	0.204424	0.204223	0.19892	0.198564	0.198253	0.200817	0.198192	0.199214	0.193692	0.194317	0.194587	0.194867	0.194853	0.194614	0.174511	0.207155	0.18179	0.181474	0.185121	0.187784	0.190062	0.192593	0.28443	0.237163	0.240246	0.242475	0.244962	0.249838	0.250662	0.234342	0.238738	0.237984	0.240919	0.243434	0.255245	0.253854	0.254358	0.255895	0.260196	0.260022	0.270499	0.272308	0.272473	0.273938	0.274028	0.27328	0.274319	0.266291	0.265081	0.269524	0.267625	0.254694	0.258019	0.263101	0.262268	0.261143	0.263511	0.263857	0.260386	0.260188	0.261607	0.260371	0.258961	0.253042	0.374088	0.376448	0.374996	0.37759	0.377554	0.377381	0.377986	0.378698	0.378645	0.369277	0.370387	0.371251	0.37198	0.369931	0.372019	0.372828	0.373962	0.374163	0.37586	0.375351	0.366231	0.361177	0.363792	0.366378	0.365528	0.367378	0.36696	0.363905	0.36346	0.362724	0.363181	0.358108	0.359036	0.357245	0.326863	0.320428	0.419073	0.5	0.441461	0.437825	0.437679	0.443004	0.448391	0.448068
Pacuta_ATHC_TP6_1254	0.272945	0.150597	0.0982772	0.211724	0.205748	0.223139	0.216532	0.220598	0.22284	0.221889	0.222256	0.223986	0.223919	0.219023	0.218615	0.218771	0.221031	0.219071	0.219846	0.214685	0.215381	0.215771	0.215894	0.215792	0.21555	0.197459	0.230702	0.203955	0.203468	0.206417	0.209359	0.211588	0.214057	0.287479	0.242276	0.246968	0.249286	0.25177	0.255826	0.256189	0.242401	0.2464	0.246121	0.257161	0.258387	0.269892	0.267716	0.268394	0.270077	0.273893	0.27381	0.277748	0.278986	0.280203	0.281292	0.281474	0.280672	0.281359	0.274278	0.273707	0.277913	0.27574	0.264079	0.267502	0.270708	0.271058	0.270062	0.272828	0.273199	0.269638	0.269025	0.271186	0.269368	0.268766	0.262751	0.367169	0.369373	0.369906	0.373488	0.371232	0.371605	0.371336	0.373458	0.372699	0.365588	0.364789	0.36696	0.366282	0.366715	0.368329	0.368543	0.368929	0.36916	0.370919	0.369644	0.364796	0.357354	0.360519	0.362574	0.361508	0.363782	0.363063	0.359117	0.35981	0.357389	0.359355	0.354999	0.356803	0.354293	0.328805	0.313901	0.5	0.419073	0.420547	0.421557	0.423673	0.427266	0.432231	0.432025
Pacuta_HTHC_TP5_1415	0.112072	0	0	0.121484	0.0697145	0.0974918	0.153464	0.159241	0.161445	0.160006	0.16096	0.162924	0.163019	0.15676	0.156485	0.156206	0.159108	0.156276	0.157012	0.150368	0.151381	0.152085	0.151902	0.152095	0.151722	0.127738	0.16497	0.136088	0.136669	0.140187	0.143178	0.146158	0.149686	0.154008	0.198826	0.203701	0.205796	0.209584	0.214553	0.215236	0.197226	0.202426	0.20112	0.207779	0.210156	0.223791	0.22202	0.222325	0.224386	0.228924	0.228849	0.255551	0.257063	0.258363	0.259286	0.259941	0.258725	0.259425	0.251535	0.250293	0.255473	0.253243	0.239271	0.243737	0.247977	0.247283	0.246305	0.248483	0.248961	0.245177	0.245071	0.24709	0.244558	0.243248	0.237116	0.293014	0.295149	0.295187	0.297847	0.296306	0.296659	0.29664	0.298296	0.29769	0.290855	0.290124	0.291749	0.29198	0.291669	0.292746	0.29307	0.293782	0.294426	0.295725	0.295227	0.28822	0.281822	0.285284	0.288074	0.286232	0.288172	0.28775	0.284525	0.284313	0.282665	0.283744	0.279421	0.280356	0.27843	0.35968	0.5	0.313901	0.320428	0.32275	0.324032	0.326095	0.330334	0.330416	0.332493
Pacuta_HTHC_TP11_2185	0.180447	0.138006	0.091671	0.206387	0.226553	0.243792	0.246337	0.250066	0.252306	0.251074	0.251656	0.253447	0.253652	0.248124	0.247587	0.24756	0.249909	0.247612	0.248315	0.242796	0.243833	0.244248	0.244009	0.244743	0.243871	0.225889	0.254542	0.232482	0.232802	0.235337	0.237874	0.239763	0.242485	0.233939	0.271063	0.27474	0.27713	0.279509	0.284151	0.284707	0.2703	0.273823	0.272913	0.263056	0.264354	0.275952	0.274561	0.274881	0.276613	0.281308	0.2809	0.295266	0.295914	0.297791	0.298187	0.298109	0.297581	0.298094	0.290197	0.289933	0.294131	0.291968	0.279502	0.28464	0.287113	0.286786	0.286019	0.287816	0.288191	0.285384	0.284618	0.286727	0.284895	0.28387	0.277875	0.313676	0.315914	0.316233	0.318404	0.316532	0.316701	0.316764	0.318638	0.31816	0.310565	0.309599	0.310941	0.311264	0.310881	0.312586	0.312443	0.313504	0.31366	0.315514	0.314763	0.308728	0.301937	0.304877	0.307901	0.306074	0.307714	0.307144	0.303986	0.304163	0.302878	0.304066	0.300449	0.301017	0.298428	0.5	0.35968	0.328805	0.326863	0.327457	0.331771	0.333435	0.337421	0.33862	0.341776
