# ind1,ind2,ind1_snps,ind2_snps,both_snps,match,match_perc,pop
SRR5453758,SRR5453759,515952,515952,515952,508874.500000,98.630000,NA
SRR5453752,SRR5453764,515952,515952,515952,508584.000000,98.570000,NA
SRR5453750,SRR5453762,515952,515952,515952,508558.500000,98.570000,NA
SRR5453749,SRR5453761,515952,515952,515952,508510.000000,98.560000,NA
SRR5453760,SRR5453762,515952,515952,515952,508449.000000,98.550000,NA
SRR5453750,SRR5453760,515952,515952,515952,508277.000000,98.510000,NA
SRR5453740,SRR5453746,515952,515952,515952,508070.000000,98.470000,NA
SRR5453753,SRR5453765,515952,515952,515952,507530.500000,98.370000,NA
SRR5453741,SRR5453747,515952,515952,515952,507177.000000,98.300000,NA
Mcapitata_ATAC_TP12_2403,Mcapitata_ATAC_TP6_2402,515952,515952,515952,506916.500000,98.250000,NA
Mcapitata_ATAC_TP11_2302,Mcapitata_HTAC_TP11_2380,515952,515952,515952,506827.000000,98.230000,NA
SRR5453751,SRR5453763,515952,515952,515952,506557.000000,98.180000,NA
SRR5453739,SRR5453745,515952,515952,515952,504815.000000,97.840000,NA
SRR5453748,SRR5453760,515952,515952,515952,504390.000000,97.760000,NA
SRR5453748,SRR5453750,515952,515952,515952,504178.000000,97.720000,NA
SRR5453748,SRR5453762,515952,515952,515952,504113.000000,97.710000,NA
SRR5453754,SRR5453755,515952,515952,515952,464029.500000,89.940000,NA
Mcapitata_ATHC_TP8_2735,Mcapitata_ATHC_TP9_1148,515952,515952,515952,456891.000000,88.550000,NA
Mcapitata_ATHC_TP9_1148,Mcapitata_HTHC_TP8_1246,515952,515952,515952,455936.000000,88.370000,NA
Mcapitata_ATHC_TP8_2735,Mcapitata_HTHC_TP8_1246,515952,515952,515952,455124.000000,88.210000,NA
Mcapitata_ATAC_TP10_1095,Mcapitata_ATAC_TP8_1779,515952,515952,515952,454837.500000,88.160000,NA
Mcapitata_ATHC_TP4_1221,Mcapitata_HTAC_TP6_1496,515952,515952,515952,454319.500000,88.050000,NA
Mcapitata_ATHC_TP12_2736,Mcapitata_HTHC_TP9_1078,515952,515952,515952,452860.000000,87.770000,NA
SRR5453749,SRR5453750,515952,515952,515952,451770.000000,87.560000,NA
SRR5453749,SRR5453760,515952,515952,515952,451738.000000,87.550000,NA
SRR5453760,SRR5453761,515952,515952,515952,451668.500000,87.540000,NA
SRR5453761,SRR5453762,515952,515952,515952,451617.000000,87.530000,NA
SRR5453749,SRR5453762,515952,515952,515952,451628.000000,87.530000,NA
SRR5453750,SRR5453761,515952,515952,515952,451487.000000,87.510000,NA
Mcapitata_ATAC_TP4_1651,Mcapitata_HTAC_TP7_1645,515952,515952,515952,451436.000000,87.500000,NA
SRR5453748,SRR5453749,515952,515952,515952,450404.500000,87.300000,NA
SRR5453748,SRR5453761,515952,515952,515952,450169.500000,87.250000,NA
Mcapitata_ATHC_TP8_1260,Mcapitata_HTHC_TP8_1246,515952,515952,515952,448336.500000,86.900000,NA
SRR5453760,SRR5453765,515952,515952,515952,448088.500000,86.850000,NA
SRR5453750,SRR5453765,515952,515952,515952,448013.500000,86.830000,NA
SRR5453762,SRR5453765,515952,515952,515952,447905.000000,86.810000,NA
SRR5453753,SRR5453760,515952,515952,515952,447773.500000,86.790000,NA
SRR5453756,SRR5453765,515952,515952,515952,447702.000000,86.770000,NA
SRR5453750,SRR5453753,515952,515952,515952,447653.000000,86.760000,NA
SRR5453753,SRR5453762,515952,515952,515952,447559.000000,86.740000,NA
SRR5453753,SRR5453756,515952,515952,515952,447540.000000,86.740000,NA
SRR5453748,SRR5453765,515952,515952,515952,447518.000000,86.740000,NA
Mcapitata_ATHC_TP8_2735,Mcapitata_HTHC_TP4_2204,515952,515952,515952,447374.000000,86.710000,NA
Mcapitata_ATAC_TP12_1452,Mcapitata_ATHC_TP8_2735,515952,515952,515952,447167.000000,86.670000,NA
SRR5453748,SRR5453753,515952,515952,515952,447095.000000,86.650000,NA
