Mcapitata_HTAC_TP12_1632	Mcapitata_ATAC_TP11_2302	Mcapitata_HTAC_TP11_2380	Mcapitata_ATAC_TP12_2403	Mcapitata_ATAC_TP6_2402	Mcapitata_ATAC_TP11_1076	Mcapitata_ATHC_TP8_2735	Mcapitata_ATHC_TP9_1148	Mcapitata_HTHC_TP8_1246	Mcapitata_ATHC_TP5_1229	Mcapitata_ATHC_TP4_1221	Mcapitata_HTAC_TP6_1496	Mcapitata_ATAC_TP12_1452	Mcapitata_HTHC_TP4_2204	Mcapitata_ATAC_TP6_1114	Mcapitata_HTAC_TP7_1722	Mcapitata_ATAC_TP10_1561	Mcapitata_HTHC_TP3_2518	Mcapitata_ATHC_TP10_2554	Mcapitata_HTHC_TP6_1317	Mcapitata_ATAC_TP4_1609	Mcapitata_ATAC_TP5_1196	Mcapitata_ATHC_TP10_1204	Mcapitata_ATHC_TP3_1544	Mcapitata_ATHC_TP7_2860	Mcapitata_HTAC_TP7_1278	Mcapitata_ATAC_TP1_1600	Mcapitata_ATHC_TP5_1706	Mcapitata_HTAC_TP8_2410	Mcapitata_HTHC_TP3_1128	Mcapitata_ATAC_TP9_1420	Mcapitata_ATHC_TP9_2862	Mcapitata_HTHC_TP11_2511	Mcapitata_ATHC_TP12_2990	Mcapitata_ATAC_TP9_1121	Mcapitata_HTHC_TP11_1178	Mcapitata_ATAC_TP1_1037	Mcapitata_ATHC_TP8_2753	Mcapitata_HTAC_TP5_1321	Mcapitata_ATAC_TP5_1610	Mcapitata_HTAC_TP12_1729	Mcapitata_ATAC_TP8_1436	Mcapitata_ATHC_TP3_2731	Mcapitata_HTAC_TP6_1705	Mcapitata_ATAC_TP7_1058	Mcapitata_ATHC_TP6_2555	Mcapitata_ATAC_TP8_1083	Mcapitata_ATHC_TP1_1826	Mcapitata_ATAC_TP3_1101	Mcapitata_HTHC_TP12_2190	Mcapitata_ATAC_TP3_1628	Mcapitata_ATHC_TP9_2995	Mcapitata_HTAC_TP4_1481	Mcapitata_ATAC_TP1_1652	Mcapitata_HTHC_TP1_1145	Mcapitata_ATHC_TP6_1212	Mcapitata_HTAC_TP9_1467	Mcapitata_ATAC_TP10_1095	Mcapitata_ATAC_TP8_1779	Mcapitata_HTHC_TP6_1164	Mcapitata_ATHC_TP3_2866	Mcapitata_HTAC_TP3_1289	Mcapitata_HTHC_TP10_1074	Mcapitata_ATHC_TP1_1218	Mcapitata_ATAC_TP3_1548	Mcapitata_HTAC_TP4_2000	Mcapitata_HTHC_TP11_1270	Mcapitata_HTHC_TP12_1140	Mcapitata_HTAC_TP10_1315	Mcapitata_HTAC_TP3_2021	Mcapitata_HTAC_TP11_1248	Mcapitata_HTAC_TP12_2007	Mcapitata_HTAC_TP1_2183	Mcapitata_HTHC_TP4_1124	Mcapitata_ATAC_TP10_1631	Mcapitata_HTAC_TP10_1754	Mcapitata_HTAC_TP8_2386	Mcapitata_ATHC_TP12_2736	Mcapitata_HTHC_TP9_1078	Mcapitata_ATAC_TP5_1776	Mcapitata_ATAC_TP7_1499	Mcapitata_HTAC_TP4_1269	Mcapitata_ATHC_TP6_2016	Mcapitata_HTHC_TP9_2009	Mcapitata_ATAC_TP4_1651	Mcapitata_HTAC_TP7_1645	Mcapitata_HTHC_TP5_1449	Mcapitata_ATAC_TP7_1455	Mcapitata_HTHC_TP5_1694	Mcapitata_ATHC_TP7_2875	Mcapitata_HTHC_TP8_2067	Mcapitata_HTHC_TP1_2081	Mcapitata_ATHC_TP7_1223	Mcapitata_ATHC_TP11_2188	Mcapitata_HTHC_TP8_1082	Mcapitata_HTHC_TP5_1345	Mcapitata_HTAC_TP5_1997	Mcapitata_HTAC_TP6_1588	Mcapitata_ATHC_TP10_2737	Mcapitata_HTHC_TP4_1328	Mcapitata_HTAC_TP1_1579	Mcapitata_ATHC_TP5_2986	Mcapitata_HTHC_TP6_1604	Mcapitata_ATHC_TP11_2756	Mcapitata_HTHC_TP12_1274	Mcapitata_ATHC_TP11_1237	Mcapitata_HTHC_TP7_1126	Mcapitata_ATAC_TP4_1108	Mcapitata_HTHC_TP7_2419	Mcapitata_ATHC_TP12_1154	Mcapitata_ATHC_TP1_2068	Mcapitata_HTAC_TP1_2153	Mcapitata_HTAC_TP11_1562	Mcapitata_ATHC_TP4_2734	Mcapitata_HTHC_TP1_1323	Mcapitata_HTAC_TP3_1751	Mcapitata_ATHC_TP8_1260	Mcapitata_HTAC_TP10_1478	Mcapitata_HTHC_TP9_1331	Mcapitata_HTHC_TP10_1689	Mcapitata_HTHC_TP3_1277	Mcapitata_ATHC_TP4_2561	Mcapitata_HTAC_TP8_1235	Mcapitata_HTAC_TP9_1306	Mcapitata_ATAC_TP9_1580	Mcapitata_HTHC_TP7_1250	Mcapitata_ATAC_TP6_1611	Mcapitata_HTAC_TP5_1583	Mcapitata_HTHC_TP10_1332	Mcapitata_ATAC_TP12_1120	Mcapitata_HTAC_TP9_2412	SRR5453748	SRR5453760	SRR5453750	SRR5453762	Mcapitata_ATAC_TP11_1644	SRR5453749	SRR5453761	SRR5453753	SRR5453765	SRR5453751	SRR5453763	SRR5453758	SRR5453759	SRR5453752	SRR5453764	SRR5453739	SRR5453745	SRR5453743	SRR5453742	SRR5453744	SRR5453757	SRR5453756	SRR5453754	SRR5453755	SRR5453740	SRR5453746	SRR5453741	SRR5453747
SRR5453747	77.96	83.06	83.09	83.24	83.39	83.31	83.16	82.97	82.8	83.35	82.88	83.04	82.98	83.37	83.22	83.6	83.01	83.41	83.18	83.41	83.01	83.13	83.29	83.48	83.5	83.21	83.36	83.25	83.36	83.34	83.14	83.32	83.47	83.29	83.12	83.19	83.05	83.28	83.27	83.51	83.3	83.49	83.18	83.24	83.33	83.27	83.42	83.36	83.25	83.21	83.29	83.29	83.38	83.1	82.86	83.31	83.1	83.17	83.11	83.03	83.15	83.15	83.03	83.24	83.09	82.91	83.02	83	82.75	83.29	82.9	83.19	83.02	82.91	82.75	82.92	83.16	83.36	83.27	82.84	83.36	83.04	83.07	83.08	83.26	83.37	83.37	83.12	83.13	82.97	82.95	83.14	83.02	83.33	83.32	83.17	83.15	83.07	83.03	83.24	83.13	83	83.36	83.04	83.13	83.31	82.95	83.3	83.35	82.72	83.1	83.16	83.17	83.24	83.16	83.45	83.3	83.24	83.47	83.29	83.39	82.6	82.88	82.95	83.18	83.27	83.13	83.13	83.01	83.18	83.06	84.17	84.19	84.19	84.16	81.6	84.19	84.12	84.43	84.47	84.4	84.41	84.49	84.5	84.55	84.55	84.21	84.13	84.73	84.83	85.18	84.29	84.03	84.4	84.44	85.11	85.12	98.3	100
SRR5453741	77.96	83.06	83.09	83.27	83.42	83.32	83.18	83	82.85	83.38	82.89	83.06	82.99	83.39	83.24	83.62	83.04	83.43	83.2	83.43	83.04	83.16	83.32	83.51	83.52	83.24	83.4	83.26	83.37	83.38	83.18	83.36	83.49	83.29	83.13	83.22	83.07	83.3	83.3	83.54	83.29	83.52	83.19	83.25	83.35	83.28	83.44	83.38	83.29	83.25	83.33	83.32	83.43	83.12	82.89	83.34	83.12	83.22	83.14	83.05	83.2	83.17	83.07	83.23	83.13	82.94	83.03	82.99	82.76	83.33	82.91	83.2	83.01	82.93	82.8	82.96	83.19	83.38	83.29	82.88	83.38	83.06	83.1	83.08	83.28	83.4	83.4	83.13	83.16	82.99	82.96	83.17	83.04	83.37	83.33	83.19	83.18	83.11	83.06	83.25	83.14	83.04	83.37	83.06	83.15	83.33	82.97	83.31	83.37	82.73	83.13	83.19	83.17	83.25	83.18	83.46	83.35	83.28	83.48	83.31	83.41	82.65	82.92	82.98	83.21	83.29	83.16	83.15	83.05	83.18	83.1	84.2	84.19	84.19	84.17	81.61	84.21	84.13	84.43	84.49	84.42	84.43	84.52	84.52	84.58	84.57	84.26	84.17	84.76	84.84	85.19	84.29	84.04	84.39	84.44	85.11	85.12	100	98.3
SRR5453746	78.1	83.43	83.45	83.61	83.71	83.34	82.97	83.2	83.07	83.56	83.1	83.18	83.09	83.43	83.18	83.61	83.26	83.77	83.3	83.32	83.19	83.37	83.67	83.75	83.58	83.52	83.55	83.37	83.46	83.66	83.22	83.4	83.41	83.22	83.32	83.55	83.51	83.5	83.48	83.78	83.32	83.65	83.67	83.49	83.33	83.74	83.47	83.63	83.56	83.34	83.48	83.22	83.63	83.48	83.58	83.35	83.46	83.48	83.4	83.04	83.26	83.57	83.4	83.26	83.4	83.52	83.33	83.4	83.26	83.43	83.49	83.42	83.16	83.21	83.33	83.33	83.5	83.42	83.6	83.55	83.47	83.34	83.41	83.41	83.26	83.55	83.6	83.3	83.64	83.17	83.12	83.4	83.65	83.71	83.36	83.42	83.62	83.42	83.28	83.64	83.38	83.56	83.15	83.4	83.44	83.44	83.47	83.42	83.68	83.31	83.39	83.43	83.5	83.48	83.46	83.3	83.36	83.39	83.18	83.57	83.67	83.25	83.06	83.25	83.4	83.5	83.79	83.37	83.57	83.48	83.46	84.68	84.73	84.71	84.7	81.84	84.5	84.45	84.69	84.74	84.69	84.72	84.5	84.49	84.97	84.93	84.25	84.2	85.25	85.48	85.37	84.76	84.09	84.93	84.76	98.47	100	85.12	85.12
SRR5453740	78.1	83.42	83.45	83.58	83.69	83.33	82.95	83.17	83.02	83.54	83.1	83.14	83.06	83.41	83.14	83.58	83.21	83.74	83.25	83.29	83.16	83.34	83.63	83.73	83.55	83.47	83.5	83.33	83.44	83.63	83.18	83.35	83.4	83.22	83.29	83.52	83.48	83.47	83.45	83.74	83.29	83.61	83.65	83.44	83.28	83.71	83.45	83.59	83.53	83.32	83.45	83.2	83.59	83.44	83.56	83.33	83.42	83.44	83.35	82.99	83.22	83.53	83.36	83.25	83.36	83.49	83.3	83.35	83.22	83.41	83.47	83.4	83.14	83.18	83.27	83.3	83.46	83.41	83.58	83.5	83.44	83.32	83.39	83.38	83.25	83.52	83.56	83.28	83.6	83.14	83.09	83.37	83.61	83.68	83.34	83.4	83.59	83.38	83.25	83.61	83.38	83.54	83.13	83.36	83.42	83.42	83.42	83.4	83.65	83.28	83.36	83.42	83.49	83.47	83.43	83.25	83.3	83.36	83.13	83.54	83.65	83.21	83	83.19	83.36	83.45	83.77	83.35	83.55	83.46	83.42	84.62	84.71	84.69	84.67	81.82	84.5	84.46	84.68	84.71	84.66	84.69	84.49	84.49	84.96	84.95	84.23	84.16	85.2	85.44	85.33	84.74	84.05	84.95	84.77	100	98.47	85.11	85.11
SRR5453755	79.31	83.63	83.67	83.67	83.74	83.62	83.77	83.39	83.4	83.46	83.25	83.64	83.44	83.75	83.26	83.6	83.63	83.62	83.26	83.53	83.49	83.43	83.87	83.83	83.86	83.62	83.56	83.51	83.66	83.56	83.43	83.64	83.75	83.63	83.48	83.69	83.79	83.54	83.73	83.84	83.62	83.9	83.98	83.38	83.51	83.64	83.89	83.89	83.52	83.56	83.78	83.41	83.81	83.79	83.61	83.47	83.71	83.61	83.48	83.36	83.45	83.75	83.6	83.62	83.61	83.78	83.32	83.4	83.37	83.76	83.54	83.78	83.56	83.46	83.78	83.44	83.69	83.48	83.88	83.3	83.59	83.68	83.54	83.55	83.6	83.74	83.61	83.71	83.54	83.38	83.4	83.58	83.57	83.56	83.6	83.38	83.78	83.68	83.27	83.68	83.52	83.48	83.55	83.59	83.77	83.77	83.65	83.77	83.78	83.49	83.67	83.66	83.47	83.6	83.68	83.57	83.67	83.51	83.76	83.55	83.8	83.27	83.13	83.37	83.44	83.8	83.72	83.5	83.32	83.32	83.36	84.88	85.08	85.04	85.04	82.31	85.19	85.16	85.34	85.4	85.4	85.47	85.42	85.41	85.54	85.55	84.54	84.44	84.47	84.56	84.43	84.99	85	89.94	100	84.77	84.76	84.44	84.44
SRR5453754	78.45	83.47	83.5	83.64	83.74	83.8	83.65	83.4	83.63	83.38	83.25	83.72	83.25	83.57	83.25	83.73	83.69	83.89	83.29	83.77	83.71	83.57	83.84	84.01	84.06	83.78	83.76	83.75	83.88	83.68	83.61	83.77	83.69	83.85	83.45	83.64	83.8	83.56	83.98	84.11	83.73	83.96	83.96	83.5	83.46	83.84	83.78	83.91	83.58	83.67	83.95	83.4	84.04	83.86	83.68	83.46	83.82	83.66	83.46	83.56	83.63	83.82	83.69	83.76	83.7	83.86	83.3	83.5	83.55	83.93	83.68	83.86	83.76	83.55	83.89	83.63	83.8	83.59	83.97	83.58	83.67	83.57	83.43	83.62	83.69	83.64	83.81	83.91	83.59	83.63	83.49	83.6	83.85	83.62	83.75	83.64	83.97	83.77	83.48	83.49	83.66	83.71	83.62	83.71	83.81	83.74	83.72	83.8	83.48	83.76	83.57	83.73	83.46	83.76	83.69	83.43	83.72	83.68	83.69	83.71	83.75	83.29	83.55	83.55	83.85	84	83.87	83.57	83.4	83.16	83.25	85.35	85.46	85.45	85.45	82.01	85.2	85.17	85.42	85.44	85.49	85.52	85.46	85.43	85.65	85.64	84.62	84.57	84.4	84.73	84.56	85.05	85.18	100	89.94	84.95	84.93	84.39	84.4
SRR5453756	78.3	83.66	83.68	83.52	83.61	83.46	83.54	83.51	83.49	83.36	83.45	83.59	83.35	83.51	83.32	83.62	83.67	83.67	83.53	83.62	83.76	83.76	83.63	83.74	83.62	83.56	83.8	83.78	83.67	83.6	83.47	83.65	83.84	83.46	83.42	83.54	83.49	83.43	83.85	83.91	83.59	83.75	83.69	83.51	83.63	83.5	83.7	83.87	83.45	83.62	83.69	83.54	84.1	83.7	83.58	83.5	83.74	83.56	83.62	83.56	83.17	83.49	83.12	83.64	83.59	83.37	83.4	83.39	83.35	83.76	83.67	83.53	83.86	83.45	83.87	83.62	83.72	83.46	83.55	83.39	83.63	83.42	83.49	83.52	83.91	83.47	83.67	83.66	83.83	83.41	83.45	83.44	83.43	83.47	83.6	83.68	83.74	83.73	83.53	83.55	83.57	83.77	83.67	83.52	83.66	83.68	83.58	83.85	83.73	83.71	83.6	83.69	83.41	83.77	83.66	83.55	83.54	83.55	83.67	83.74	83.88	83.32	83.08	83.04	83.33	83.64	83.56	83.67	83.31	83.4	83.28	85.19	85.28	85.3	85.28	81.87	85.18	85.12	86.74	86.77	84.95	84.97	85.63	85.6	85.16	85.14	84.28	84.23	84.18	84.73	84.31	84.66	100	85.18	85	84.05	84.09	84.04	84.03
SRR5453757	78.6	83.52	83.56	83.69	83.78	83.64	83.69	83.45	83.44	83.73	83.4	83.67	83.35	83.52	83.65	83.84	83.65	83.74	83.33	83.8	83.79	83.57	83.64	83.92	83.76	83.61	83.73	83.76	83.8	83.61	83.58	83.78	83.96	83.32	83.49	83.53	83.52	83.48	83.83	83.79	83.3	83.88	83.64	83.55	83.64	83.65	83.76	84.12	83.77	83.93	83.59	83.65	83.94	83.55	83.5	83.66	83.82	83.66	83.8	83.5	83.45	83.94	83.55	83.49	83.8	83.72	83.38	83.31	83.56	83.9	83.51	83.66	83.39	83.6	83.65	83.29	83.73	83.65	83.66	83.33	83.42	83.55	83.61	83.59	84.18	83.53	83.73	83.64	83.78	83.8	83.72	83.46	83.56	83.66	83.79	83.74	83.65	83.57	83.73	83.71	83.75	83.41	83.77	83.45	83.76	83.83	83.53	83.42	83.79	83.8	83.51	83.51	83.63	83.89	83.66	83.57	83.89	83.54	83.66	84.03	84.02	83.31	83.42	83.33	83.53	83.73	83.81	83.58	83.32	83.56	83.49	84.75	84.78	84.77	84.76	82	84.79	84.75	84.65	84.69	84.87	84.86	84.88	84.9	84.94	84.91	84.4	84.34	84.68	85.09	84.74	100	84.66	85.05	84.99	84.74	84.76	84.29	84.29
SRR5453744	78.26	83.44	83.48	83.38	83.52	83.46	83.31	83.27	83.19	83.52	83.28	83.35	83.02	83.6	83.47	83.74	83.44	83.63	83.48	83.26	83.45	83.62	83.62	83.72	83.82	83.4	83.66	83.6	83.74	83.53	83.45	83.73	83.54	83.27	83.24	83.75	83.44	83.3	83.71	84	83.57	83.44	83.63	83.61	83.34	83.61	83.63	83.54	83.49	83.6	83.74	83.29	83.69	83.5	83.75	83.39	83.73	83.47	83.81	83.14	83.3	83.68	83.48	83.45	83.44	83.47	83.07	83.35	83	83.63	83.39	83.49	83.2	83.26	83.57	83.4	83.42	83.48	83.45	83.46	83.68	83.29	83.58	83.45	83.46	83.55	83.74	83.39	83.33	83.58	83.36	83.37	83.41	83.51	83.58	83.38	83.72	83.63	83.25	83.52	83.47	83.59	83.39	83.23	83.44	83.7	83.99	83.9	83.48	83.48	83.56	83.35	83.72	83.51	83.4	83.26	83.4	83.43	83.64	83.69	83.84	83.06	83.23	83.28	83.49	83.26	83.67	83.27	83.2	83.23	83.3	84.6	84.6	84.59	84.56	81.93	84.36	84.28	84.75	84.79	84.66	84.65	84.67	84.66	84.56	84.52	84.62	84.56	85.08	85.34	100	84.74	84.31	84.56	84.43	85.33	85.37	85.19	85.18
SRR5453742	78.09	83.62	83.64	83.71	83.85	83.35	83.29	83.13	83.14	83.26	83.35	83.43	83.23	83.53	83.42	83.78	83.61	83.74	83.46	83.51	83.65	83.47	83.67	83.7	83.87	83.63	83.58	83.22	83.49	83.75	83.38	83.5	83.28	83.32	83.29	83.56	83.44	83.48	83.62	83.64	83.65	83.69	83.49	83.51	83.54	83.5	83.63	83.98	83.47	83.69	83.64	83.47	83.58	83.65	83.46	83.42	83.5	83.45	83.47	83.33	83.46	83.66	83.55	83.39	83.34	83.42	83.18	83.45	83.17	83.48	83.26	83.32	83.2	83.35	83.44	83.42	83.64	83.33	83.48	83.51	83.42	83.51	83.38	83.4	83.6	83.54	83.56	83.54	83.36	83.51	83.17	83.51	83.64	83.5	83.54	83.51	83.79	83.37	83.33	83.68	83.61	83.39	83.54	83.38	83.38	83.48	83.56	83.72	83.79	83.46	83.51	83.44	83.51	83.24	83.58	83.31	83.75	83.48	83.48	83.37	83.72	83.16	83.13	83.34	83.18	83.55	83.66	83.41	83.59	83.22	83.31	84.53	84.56	84.54	84.51	81.9	84.38	84.31	84.68	84.74	84.77	84.79	84.67	84.65	84.49	84.46	84.43	84.38	85.33	100	85.34	85.09	84.73	84.73	84.56	85.44	85.48	84.84	84.83
