ind1	ind2	match_perc
SRR5453758	SRR5453759	98.630000
SRR5453759	SRR5453758	98.630000
SRR5453752	SRR5453764	98.570000
SRR5453764	SRR5453752	98.570000
SRR5453750	SRR5453762	98.570000
SRR5453762	SRR5453750	98.570000
SRR5453749	SRR5453761	98.560000
SRR5453761	SRR5453749	98.560000
SRR5453760	SRR5453762	98.550000
SRR5453762	SRR5453760	98.550000
SRR5453750	SRR5453760	98.510000
SRR5453760	SRR5453750	98.510000
SRR5453740	SRR5453746	98.470000
SRR5453746	SRR5453740	98.470000
SRR5453753	SRR5453765	98.370000
SRR5453765	SRR5453753	98.370000
SRR5453741	SRR5453747	98.300000
SRR5453747	SRR5453741	98.300000
Mcapitata_ATAC_TP12_2403	Mcapitata_ATAC_TP6_2402	98.250000
Mcapitata_ATAC_TP6_2402	Mcapitata_ATAC_TP12_2403	98.250000
Mcapitata_ATAC_TP11_2302	Mcapitata_HTAC_TP11_2380	98.230000
Mcapitata_HTAC_TP11_2380	Mcapitata_ATAC_TP11_2302	98.230000
SRR5453751	SRR5453763	98.180000
SRR5453763	SRR5453751	98.180000
SRR5453739	SRR5453745	97.840000
SRR5453745	SRR5453739	97.840000
SRR5453748	SRR5453760	97.760000
SRR5453760	SRR5453748	97.760000
SRR5453748	SRR5453750	97.720000
SRR5453750	SRR5453748	97.720000
SRR5453748	SRR5453762	97.710000
SRR5453762	SRR5453748	97.710000
SRR5453754	SRR5453755	89.940000
SRR5453755	SRR5453754	89.940000
Mcapitata_ATHC_TP8_2735	Mcapitata_ATHC_TP9_1148	88.550000
Mcapitata_ATHC_TP9_1148	Mcapitata_ATHC_TP8_2735	88.550000
Mcapitata_ATHC_TP9_1148	Mcapitata_HTHC_TP8_1246	88.370000
Mcapitata_HTHC_TP8_1246	Mcapitata_ATHC_TP9_1148	88.370000
Mcapitata_ATHC_TP8_2735	Mcapitata_HTHC_TP8_1246	88.210000
Mcapitata_HTHC_TP8_1246	Mcapitata_ATHC_TP8_2735	88.210000
Mcapitata_ATAC_TP10_1095	Mcapitata_ATAC_TP8_1779	88.160000
Mcapitata_ATAC_TP8_1779	Mcapitata_ATAC_TP10_1095	88.160000
Mcapitata_ATHC_TP4_1221	Mcapitata_HTAC_TP6_1496	88.050000
