Mcapitata_HTAC_TP12_1632	Mcapitata_ATAC_TP11_2302	Mcapitata_HTAC_TP11_2380	Mcapitata_ATAC_TP12_2403	Mcapitata_ATAC_TP6_2402	Mcapitata_ATAC_TP11_1076	Mcapitata_ATHC_TP8_2735	Mcapitata_ATHC_TP9_1148	Mcapitata_HTHC_TP8_1246	Mcapitata_ATHC_TP5_1229	Mcapitata_ATHC_TP4_1221	Mcapitata_HTAC_TP6_1496	Mcapitata_ATAC_TP12_1452	Mcapitata_HTHC_TP4_2204	Mcapitata_ATAC_TP6_1114	Mcapitata_HTAC_TP7_1722	Mcapitata_ATAC_TP10_1561	Mcapitata_HTHC_TP3_2518	Mcapitata_ATHC_TP10_2554	Mcapitata_HTHC_TP6_1317	Mcapitata_ATAC_TP4_1609	Mcapitata_ATAC_TP5_1196	Mcapitata_ATHC_TP10_1204	Mcapitata_ATHC_TP3_1544	Mcapitata_ATHC_TP7_2860	Mcapitata_HTAC_TP7_1278	Mcapitata_ATAC_TP1_1600	Mcapitata_ATHC_TP5_1706	Mcapitata_HTAC_TP8_2410	Mcapitata_HTHC_TP3_1128	Mcapitata_ATAC_TP9_1420	Mcapitata_ATHC_TP9_2862	Mcapitata_HTHC_TP11_2511	Mcapitata_ATHC_TP12_2990	Mcapitata_ATAC_TP9_1121	Mcapitata_HTHC_TP11_1178	Mcapitata_ATAC_TP1_1037	Mcapitata_ATHC_TP8_2753	Mcapitata_HTAC_TP5_1321	Mcapitata_ATAC_TP5_1610	Mcapitata_HTAC_TP12_1729	Mcapitata_ATAC_TP8_1436	Mcapitata_ATHC_TP3_2731	Mcapitata_HTAC_TP6_1705	Mcapitata_ATAC_TP7_1058	Mcapitata_ATHC_TP6_2555	Mcapitata_ATAC_TP8_1083	Mcapitata_ATHC_TP1_1826	Mcapitata_ATAC_TP3_1101	Mcapitata_HTHC_TP12_2190	Mcapitata_ATAC_TP3_1628	Mcapitata_ATHC_TP9_2995	Mcapitata_HTAC_TP4_1481	Mcapitata_ATAC_TP1_1652	Mcapitata_HTHC_TP1_1145	Mcapitata_ATHC_TP6_1212	Mcapitata_HTAC_TP9_1467	Mcapitata_ATAC_TP10_1095	Mcapitata_ATAC_TP8_1779	Mcapitata_HTHC_TP6_1164	Mcapitata_ATHC_TP3_2866	Mcapitata_HTAC_TP3_1289	Mcapitata_HTHC_TP10_1074	Mcapitata_ATHC_TP1_1218	Mcapitata_ATAC_TP3_1548	Mcapitata_HTAC_TP4_2000	Mcapitata_HTHC_TP11_1270	Mcapitata_HTHC_TP12_1140	Mcapitata_HTAC_TP10_1315	Mcapitata_HTAC_TP3_2021	Mcapitata_HTAC_TP11_1248	Mcapitata_HTAC_TP12_2007	Mcapitata_HTAC_TP1_2183	Mcapitata_HTHC_TP4_1124	Mcapitata_ATAC_TP10_1631	Mcapitata_HTAC_TP10_1754	Mcapitata_HTAC_TP8_2386	Mcapitata_ATHC_TP12_2736	Mcapitata_HTHC_TP9_1078	Mcapitata_ATAC_TP5_1776	Mcapitata_ATAC_TP7_1499	Mcapitata_HTAC_TP4_1269	Mcapitata_ATHC_TP6_2016	Mcapitata_HTHC_TP9_2009	Mcapitata_ATAC_TP4_1651	Mcapitata_HTAC_TP7_1645	Mcapitata_HTHC_TP5_1449	Mcapitata_ATAC_TP7_1455	Mcapitata_HTHC_TP5_1694	Mcapitata_ATHC_TP7_2875	Mcapitata_HTHC_TP8_2067	Mcapitata_HTHC_TP1_2081	Mcapitata_ATHC_TP7_1223	Mcapitata_ATHC_TP11_2188	Mcapitata_HTHC_TP8_1082	Mcapitata_HTHC_TP5_1345	Mcapitata_HTAC_TP5_1997	Mcapitata_HTAC_TP6_1588	Mcapitata_ATHC_TP10_2737	Mcapitata_HTHC_TP4_1328	Mcapitata_HTAC_TP1_1579	Mcapitata_ATHC_TP5_2986	Mcapitata_HTHC_TP6_1604	Mcapitata_ATHC_TP11_2756	Mcapitata_HTHC_TP12_1274	Mcapitata_ATHC_TP11_1237	Mcapitata_HTHC_TP7_1126	Mcapitata_ATAC_TP4_1108	Mcapitata_HTHC_TP7_2419	Mcapitata_ATHC_TP12_1154	Mcapitata_ATHC_TP1_2068	Mcapitata_HTAC_TP1_2153	Mcapitata_HTAC_TP11_1562	Mcapitata_ATHC_TP4_2734	Mcapitata_HTHC_TP1_1323	Mcapitata_HTAC_TP3_1751	Mcapitata_ATHC_TP8_1260	Mcapitata_HTAC_TP10_1478	Mcapitata_HTHC_TP9_1331	Mcapitata_HTHC_TP10_1689	Mcapitata_HTHC_TP3_1277	Mcapitata_ATHC_TP4_2561	Mcapitata_HTAC_TP8_1235	Mcapitata_HTAC_TP9_1306	Mcapitata_ATAC_TP9_1580	Mcapitata_HTHC_TP7_1250	Mcapitata_ATAC_TP6_1611	Mcapitata_HTAC_TP5_1583	Mcapitata_HTHC_TP10_1332	Mcapitata_ATAC_TP12_1120	Mcapitata_HTAC_TP9_2412	SRR5453748	SRR5453760	SRR5453750	SRR5453762	Mcapitata_ATAC_TP11_1644	SRR5453749	SRR5453761	SRR5453753	SRR5453765	SRR5453751	SRR5453763	SRR5453758	SRR5453759	SRR5453752	SRR5453764	SRR5453739	SRR5453745	SRR5453743	SRR5453742	SRR5453744	SRR5453757	SRR5453756	SRR5453754	SRR5453755	SRR5453740	SRR5453746	SRR5453741	SRR5453747
SRR5453747	0.0868511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.028523	0	0	0	0	0	0	0.00471156	0.00548805	0.00517532	0.00880555	0	0	0.0045437	0.00330181	0.0113607	0.00612034	0	0	0.131413	0.0451249	0.039776	0.4654	0.5
SRR5453741	0.0842028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0249169	0	0	0	0	0	0	0.000127473	0.000946048	0.00082988	0.00451249	0	0	0	0	0.00612185	0.000782798	0	0	0.128407	0.0401434	0.0348634	0.5	0.4654
SRR5453746	0.0956851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0174555	0.0171063	0.018762	0.0482209	0.0213839	0.0237647	0.0176278	0.0158426	0.00588033	0.0106718	0.0190687	0.0198974	0.0380291	0.0408531	0	0	0.036482	0.0444479	0.0316625	0.0312425	0	0.0275461	0.149275	0.47255	0.5	0.0348634	0.039776
SRR5453740	0.0988662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0232723	0.0229467	0.0241597	0.052273	0.0270493	0.0298386	0.0236399	0.0214706	0.0114131	0.0164477	0.0249494	0.0257923	0.0431658	0.0462614	0	0	0.0409102	0.0491958	0.0367315	0.0363409	0	0.0335931	0.15279	0.5	0.47255	0.0401434	0.0451249
SRR5453755	0.187236	0.104894	0.107176	0.111418	0.109369	0.0998148	0.107701	0.0917934	0.0694927	0.0905388	0.0873762	0.096201	0.0995137	0.105122	0.0731894	0.108956	0.0996743	0.101943	0.0796915	0.0905992	0.0919559	0.0966511	0.112465	0.102831	0.110955	0.0956692	0.0854797	0.0914921	0.102282	0.0842791	0.0803813	0.0931687	0.105715	0.109773	0.0928424	0.107157	0.111944	0.103478	0.106632	0.108045	0.0947795	0.106951	0.116785	0.090443	0.097931	0.101788	0.11945	0.117635	0.0953563	0.107697	0.10549	0.0847935	0.113587	0.10627	0.0976372	0.0921519	0.101579	0.097293	0.092011	0.0697221	0.0878498	0.104251	0.0951573	0.112387	0.0998778	0.107743	0.0935216	0.0948297	0.0944025	0.102378	0.100296	0.109924	0.0956751	0.0970298	0.101354	0.0810155	0.0967004	0.0981636	0.11194	0.0595048	0.0940642	0.108865	0.0969881	0.101635	0.100567	0.108606	0.103395	0.104836	0.0974647	0.0962324	0.0946046	0.0895095	0.102541	0.101952	0.104392	0.0887787	0.108115	0.102562	0.0923379	0.106196	0.0991119	0.0887681	0.0975385	0.101913	0.109695	0.101415	0.0974368	0.110322	0.112946	0.0958419	0.113032	0.104064	0.0933375	0.109611	0.104014	0.0923941	0.0928109	0.0941534	0.0971471	0.0966677	0.106218	0.0780502	0.0511587	0.0829655	0.0933328	0.113542	0.110245	0.0991287	0.0918138	0.0985515	0.0902728	0.127041	0.151454	0.150898	0.152035	0.156883	0.162489	0.164358	0.160742	0.160215	0.155167	0.158663	0.168443	0.168602	0.171668	0.174103	0.129258	0.122661	0.127871	0.131657	0.118673	0.155978	0.145735	0.288457	0.5	0.15279	0.149275	0.128407	0.131413
SRR5453754	0.0985596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0330006	0.0332275	0.0343492	0.042955	0.0375503	0.0404722	0.0386888	0.0364759	0.0247451	0.0292243	0.0422037	0.0424868	0.0510554	0.0539922	0	0	0	0	0	0.0321857	0.0145132	0.5	0.288457	0.0335931	0.0275461	0	0
SRR5453756	0.089329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01214	0.0129219	0.014268	0.0268779	0.0248226	0.0275601	0.0869656	0.0846908	0	0	0.0388722	0.0388416	0.0199438	0.0234834	0	0	0	0	0	0.00306362	0.5	0.0145132	0.145735	0	0	0	0
SRR5453757	0.109542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0194255	0.0191192	0.0205203	0.0546635	0.0375861	0.0401371	0.0172586	0.0150629	0.0100445	0.0142207	0.0320332	0.033283	0.0337905	0.0365229	0	0	0.0133757	0.0248371	0.00120924	0.5	0.00306362	0.0321857	0.155978	0.0363409	0.0312425	0.000782798	0.00612034
SRR5453744	0.0839985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0253103	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007977	0.5	0.00120924	0	0	0.118673	0.0367315	0.0316625	0.00612185	0.0113607
SRR5453742	0.0850487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0318186	0	0	0	0	0	0	0.00366909	0.00384065	0	0.0000553639	0	0	0.0192478	0.5	0.007977	0.0248371	0	0	0.131657	0.0491958	0.0444479	0	0.00330181
