# ind1,ind2,ind1_snps,ind2_snps,both_snps,match,match_perc,pop
Pacuta_ATHC_TP1_1207,Pacuta_HTAC_TP8_1329,599460,599460,599460,590396.500000,98.490000,NA
Pacuta_ATHC_TP7_1281,Pacuta_HTAC_TP8_1329,599460,599460,599460,590120.000000,98.440000,NA
Pacuta_ATHC_TP1_1207,Pacuta_HTAC_TP5_1571,599460,599460,599460,590038.500000,98.430000,NA
Pacuta_HTAC_TP5_1571,Pacuta_HTAC_TP8_1329,599460,599460,599460,589902.000000,98.410000,NA
Pacuta_ATHC_TP1_1207,Pacuta_ATHC_TP7_1281,599460,599460,599460,589910.000000,98.410000,NA
Pacuta_ATHC_TP11_2879,Pacuta_HTAC_TP8_1329,599460,599460,599460,589731.000000,98.380000,NA
Pacuta_ATHC_TP11_2879,Pacuta_ATHC_TP1_1207,599460,599460,599460,589759.500000,98.380000,NA
Pacuta_ATAC_TP6_1468,Pacuta_ATHC_TP5_2212,599460,599460,599460,589645.000000,98.360000,NA
Pacuta_ATHC_TP7_1281,Pacuta_HTAC_TP5_1571,599460,599460,599460,589596.000000,98.350000,NA
Pacuta_ATAC_TP7_1047,Pacuta_HTAC_TP8_1329,599460,599460,599460,589593.000000,98.350000,NA
Pacuta_ATAC_TP7_1047,Pacuta_ATHC_TP1_1207,599460,599460,599460,589577.000000,98.350000,NA
Pacuta_ATHC_TP11_2879,Pacuta_ATHC_TP7_1281,599460,599460,599460,589398.500000,98.320000,NA
Pacuta_ATAC_TP7_1047,Pacuta_ATHC_TP7_1281,599460,599460,599460,589304.500000,98.310000,NA
Pacuta_ATHC_TP1_1207,Pacuta_HTHC_TP4_1169,599460,599460,599460,589293.500000,98.300000,NA
Pacuta_HTAC_TP8_1329,Pacuta_HTHC_TP4_1169,599460,599460,599460,589199.500000,98.290000,NA
Pacuta_HTAC_TP5_1571,Pacuta_HTHC_TP4_1169,599460,599460,599460,589195.000000,98.290000,NA
Pacuta_ATHC_TP11_2879,Pacuta_HTAC_TP5_1571,599460,599460,599460,589148.000000,98.280000,NA
Pacuta_ATAC_TP7_1047,Pacuta_HTAC_TP5_1571,599460,599460,599460,589170.500000,98.280000,NA
Pacuta_ATAC_TP7_1047,Pacuta_ATHC_TP11_2879,599460,599460,599460,589065.000000,98.270000,NA
Pacuta_ATHC_TP7_1281,Pacuta_HTHC_TP4_1169,599460,599460,599460,588776.000000,98.220000,NA
Pacuta_ATAC_TP6_1050,Pacuta_ATHC_TP1_1207,599460,599460,599460,588771.000000,98.220000,NA
Pacuta_ATHC_TP1_1207,Pacuta_HTHC_TP5_1168,599460,599460,599460,588655.500000,98.200000,NA
Pacuta_ATHC_TP1_1207,Pacuta_ATHC_TP8_2861,599460,599460,599460,588652.500000,98.200000,NA
Pacuta_ATAC_TP7_1047,Pacuta_HTAC_TP7_1487,599460,599460,599460,588648.000000,98.200000,NA
Pacuta_ATAC_TP6_1050,Pacuta_ATAC_TP7_1047,599460,599460,599460,588695.500000,98.200000,NA
Pacuta_HTAC_TP8_1329,Pacuta_HTHC_TP5_1168,599460,599460,599460,588633.000000,98.190000,NA
Pacuta_ATAC_TP7_1047,Pacuta_HTHC_TP5_1168,599460,599460,599460,588629.000000,98.190000,NA
Pacuta_HTAC_TP8_1329,Pacuta_HTHC_TP11_1416,599460,599460,599460,588541.000000,98.180000,NA
Pacuta_ATHC_TP8_2861,Pacuta_HTAC_TP8_1329,599460,599460,599460,588532.000000,98.180000,NA
Pacuta_ATHC_TP1_1207,Pacuta_HTAC_TP7_1487,599460,599460,599460,588575.500000,98.180000,NA
Pacuta_ATHC_TP1_1207,Pacuta_ATHC_TP1_2977,599460,599460,599460,588570.000000,98.180000,NA
Pacuta_ATAC_TP7_1047,Pacuta_ATHC_TP8_2861,599460,599460,599460,588571.000000,98.180000,NA
Pacuta_ATAC_TP6_1050,Pacuta_HTAC_TP8_1329,599460,599460,599460,588544.000000,98.180000,NA
Pacuta_ATAC_TP6_1050,Pacuta_HTAC_TP5_1571,599460,599460,599460,588533.500000,98.180000,NA
Pacuta_HTAC_TP5_1571,Pacuta_HTHC_TP5_1168,599460,599460,599460,588517.000000,98.170000,NA
Pacuta_ATAC_TP6_1050,Pacuta_ATHC_TP7_1281,599460,599460,599460,588515.000000,98.170000,NA
Pacuta_HTAC_TP7_1487,Pacuta_HTAC_TP8_1329,599460,599460,599460,588448.500000,98.160000,NA
Pacuta_ATAC_TP7_1047,Pacuta_HTHC_TP4_1169,599460,599460,599460,588436.500000,98.160000,NA
Pacuta_HTAC_TP5_1571,Pacuta_HTAC_TP7_1487,599460,599460,599460,588345.000000,98.150000,NA
Pacuta_ATHC_TP7_1281,Pacuta_HTHC_TP5_1168,599460,599460,599460,588346.000000,98.150000,NA
Pacuta_ATHC_TP11_2879,Pacuta_HTHC_TP4_1169,599460,599460,599460,588384.000000,98.150000,NA
Pacuta_ATHC_TP8_2861,Pacuta_HTAC_TP5_1571,599460,599460,599460,588318.500000,98.140000,NA
Pacuta_ATHC_TP7_1281,Pacuta_HTHC_TP11_1416,599460,599460,599460,588314.000000,98.140000,NA
Pacuta_ATHC_TP7_1281,Pacuta_HTAC_TP7_1487,599460,599460,599460,588312.500000,98.140000,NA
Pacuta_ATHC_TP7_1281,Pacuta_ATHC_TP8_2861,599460,599460,599460,588323.500000,98.140000,NA
