SRR7042978	SRR7062295	SRR7062350	SRR7043704	SRR7058616	SRR7058566	SRR7055829	SRR7058378	SRR7058606	SRR7059699	SRR7043013	SRR7046161	SRR6987146	SRR7041301	SRR7040514	SRR6964364	SRR6986864	SRR6951744	SRR6963586	SRR6963878	SRR7039808	SRR6951423	SRR6952431	SRR6963891	SRR6914609	SRR6914908	SRR6934388	SRR6934542	SRR6942678	SRR6942729	SRR6914151	SRR6935629	Pacuta_HTAC_TP1_1653	Pacuta_HTHC_TP6_1721	Pacuta_ATHC_TP10_1205	Pacuta_ATAC_TP5_1059	Pacuta_HTHC_TP1_2210	Pacuta_HTHC_TP11_1416	Pacuta_ATHC_TP8_2861	Pacuta_HTHC_TP5_1168	Pacuta_HTAC_TP7_1487	Pacuta_ATAC_TP6_1050	Pacuta_ATAC_TP7_1047	Pacuta_ATHC_TP1_2977	Pacuta_HTHC_TP4_1169	Pacuta_ATHC_TP11_2879	Pacuta_ATHC_TP7_1281	Pacuta_HTAC_TP5_1571	Pacuta_ATHC_TP1_1207	Pacuta_HTAC_TP8_1329	Pacuta_ATHC_TP9_2979	Pacuta_HTHC_TP3_2527	Pacuta_ATHC_TP6_2999	Pacuta_ATHC_TP3_1219	Pacuta_HTAC_TP3_2026	Pacuta_ATHC_TP10_2197	Pacuta_HTAC_TP5_1303	Pacuta_HTAC_TP6_1330	Pacuta_ATHC_TP11_2668	Pacuta_HTHC_TP1_1676	Pacuta_HTAC_TP10_1225	Pacuta_HTHC_TP3_1418	Pacuta_ATHC_TP4_2993	Pacuta_ATHC_TP5_1296	Pacuta_ATAC_TP7_1445	Pacuta_HTAC_TP9_1302	Pacuta_HTAC_TP9_1486	Pacuta_ATAC_TP1_1775	Pacuta_HTAC_TP6_1744	Pacuta_ATAC_TP6_1468	Pacuta_ATHC_TP5_2212	Pacuta_ATAC_TP10_1159	Pacuta_ATAC_TP8_1755	Pacuta_ATAC_TP9_1141	Pacuta_ATAC_TP1_1043	Pacuta_ATAC_TP6_1542	Pacuta_HTHC_TP4_1343	Pacuta_HTHC_TP7_1427	Pacuta_ATHC_TP3_2750	Pacuta_HTAC_TP4_1581	Pacuta_ATHC_TP1_2743	Pacuta_HTHC_TP8_1184	Pacuta_ATAC_TP10_1641	Pacuta_ATAC_TP3_1471	Pacuta_HTAC_TP8_1765	Pacuta_HTAC_TP11_1647	Pacuta_HTHC_TP4_2195	Pacuta_HTAC_TP11_1582	Pacuta_ATAC_TP4_2002	Pacuta_HTAC_TP4_1701	Pacuta_ATAC_TP5_1563	Pacuta_ATHC_TP8_2564	Pacuta_ATAC_TP1_2363	Pacuta_HTAC_TP1_2005	Pacuta_ATAC_TP4_1060	Pacuta_HTAC_TP3_1617	Pacuta_HTHC_TP10_1732	Pacuta_HTHC_TP1_1239	Pacuta_HTHC_TP10_1238	Pacuta_ATHC_TP7_2409	Pacuta_HTHC_TP7_1090	Pacuta_ATAC_TP10_1559	Pacuta_ATAC_TP5_1757	Pacuta_HTHC_TP7_1820	Pacuta_ATAC_TP9_1594	Pacuta_HTAC_TP10_1536	Pacuta_ATHC_TP10_2550	Pacuta_HTHC_TP11_2185	Pacuta_HTHC_TP5_1415	Pacuta_ATAC_TP11_2306	Pacuta_HTHC_TP5_2087	Pacuta_ATHC_TP11_1147	Pacuta_HTAC_TP11_1596	Pacuta_ATAC_TP4_1762	Pacuta_HTAC_TP5_1707	Pacuta_ATHC_TP3_2534	Pacuta_HTAC_TP9_1696	Pacuta_HTHC_TP8_1709	Pacuta_ATAC_TP7_2413	Pacuta_HTAC_TP10_2064	Pacuta_HTHC_TP3_1227	Pacuta_HTHC_TP6_1595	Pacuta_HTHC_TP8_2304	Pacuta_HTHC_TP9_2202	Pacuta_ATAC_TP3_1041	Pacuta_HTHC_TP6_1138	Pacuta_ATHC_TP7_2878	Pacuta_HTAC_TP1_2414	Pacuta_HTAC_TP7_1728	Pacuta_ATAC_TP11_1103	Pacuta_ATHC_TP9_2873	Pacuta_ATHC_TP4_1220	Pacuta_HTHC_TP9_2305	Pacuta_HTAC_TP6_1466	Pacuta_HTHC_TP10_2300	Pacuta_ATHC_TP5_2877	Pacuta_ATHC_TP6_2870	Pacuta_ATAC_TP3_1637	Pacuta_ATHC_TP9_1451	Pacuta_HTAC_TP8_2513	Pacuta_HTHC_TP9_1131	Pacuta_ATAC_TP8_2012	Pacuta_ATAC_TP9_2357	Pacuta_ATHC_TP6_1254	Pacuta_HTAC_TP3_1642	Pacuta_HTAC_TP7_2072	Pacuta_ATHC_TP8_1459	Pacuta_ATAC_TP8_1051	Pacuta_HTAC_TP4_1767	Pacuta_ATAC_TP11_1777	Pacuta_ATHC_TP4_2733
Pacuta_ATHC_TP4_2733	73.46	73.52	73.54	73.55	73.51	73.51	73.49	73.5	73.47	73.47	73.61	73.56	73.41	73.41	73.41	73.39	73.39	73.44	73.42	73.39	73.49	73.47	73.46	73.48	73.34	73.32	73.36	73.34	73.36	73.34	73.41	73.41	77.38	77.28	81.68	81.32	81.99	81.58	81.59	81.62	81.62	81.63	81.68	81.61	81.62	81.63	81.64	81.66	81.63	81.66	81.47	81.55	81.54	81.53	81.55	81.58	81.56	81.23	81.54	81.27	81.37	81.39	81.42	81.44	85.85	83.36	83.47	83.49	83.58	83.61	83.61	83.34	83.42	83.38	82.35	82.34	82.34	82.35	82.33	82.35	82.11	82.09	83.09	83.09	83.04	83.31	83.38	83.34	83.37	83.37	83.38	83.38	83.18	83.18	83.16	83.17	83.18	83.33	83.28	83.35	83.36	83.23	83.25	83.29	83.23	83.23	85.89	87.17	88.45	90.74	90.91	90.86	90.87	90.96	90.94	90.95	91.02	90.98	90.55	90.53	90.6	90.64	90.62	90.64	90.69	90.76	90.76	90.87	90.83	89.93	89.91	90.19	90.22	90.31	90.37	90.35	90.41	90.26	90.21	90.12	90.15	90	90.09	93.42	95.35	95.25	95.77	95.88	96.21	95.88	100
Pacuta_ATAC_TP11_1777	73.59	73.66	73.67	73.69	73.65	73.65	73.62	73.63	73.6	73.61	73.77	73.71	73.55	73.55	73.55	73.53	73.52	73.58	73.56	73.52	73.63	73.62	73.61	73.63	73.48	73.47	73.51	73.49	73.52	73.48	73.57	73.57	77.45	77.39	81.85	81.48	82.14	81.75	81.76	81.8	81.81	81.81	81.85	81.77	81.75	81.81	81.82	81.81	81.81	81.81	81.68	81.73	81.74	81.72	81.74	81.79	81.74	81.44	81.7	81.48	81.58	81.58	81.61	81.64	86.11	83.52	83.66	83.68	83.75	83.74	83.76	83.55	83.62	83.58	82.3	82.3	82.32	82.32	82.3	82.3	82.14	82.14	83.2	83.18	83.14	83.36	83.37	83.38	83.39	83.38	83.4	83.41	83.27	83.28	83.24	83.27	83.27	83.39	83.34	83.38	83.39	83.32	83.33	83.34	83.32	83.3	85.6	87.21	88.62	90.43	90.49	90.47	90.5	90.51	90.55	90.57	90.59	90.57	90.26	90.24	90.29	90.33	90.28	90.31	90.36	90.41	90.39	90.51	90.46	89.74	89.71	89.89	89.96	90.04	90.1	90.07	90.11	90.01	89.97	89.87	89.89	89.79	89.85	93.6	95.6	95.58	95.38	95.5	95.75	100	95.88
Pacuta_HTAC_TP4_1767	73.71	73.81	73.81	73.81	73.78	73.78	73.75	73.76	73.74	73.74	73.91	73.85	73.69	73.69	73.68	73.66	73.66	73.71	73.69	73.67	73.77	73.76	73.74	73.76	73.61	73.6	73.64	73.62	73.65	73.62	73.71	73.7	77.37	77.47	81.9	81.48	82.13	81.78	81.84	81.86	81.87	81.87	81.91	81.81	81.77	81.81	81.84	81.83	81.82	81.84	81.73	81.8	81.78	81.77	81.8	81.84	81.81	81.5	81.62	81.53	81.65	81.64	81.67	81.72	85.99	83.5	83.7	83.7	83.79	83.73	83.75	83.6	83.66	83.63	82.43	82.44	82.48	82.49	82.39	82.41	82.27	82.28	83.28	83.35	83.31	83.43	83.46	83.44	83.46	83.48	83.48	83.48	83.4	83.4	83.41	83.43	83.4	83.54	83.48	83.53	83.55	83.46	83.5	83.47	83.46	83.47	86.11	87.28	88.77	90.73	90.82	90.82	90.86	90.88	90.95	90.95	90.98	90.97	90.71	90.73	90.79	90.84	90.79	90.78	90.85	90.9	90.88	90.98	90.95	90.15	90.15	90.26	90.44	90.53	90.57	90.55	90.61	90.51	90.46	90.35	90.33	90.27	90.3	93.17	95.27	95.46	96.02	96.17	100	95.75	96.21
Pacuta_ATAC_TP8_1051	73.8	73.89	73.9	73.9	73.87	73.87	73.83	73.85	73.81	73.82	74.01	73.95	73.74	73.74	73.73	73.72	73.72	73.76	73.74	73.72	73.82	73.81	73.79	73.81	73.66	73.64	73.69	73.67	73.7	73.67	73.76	73.76	77.36	77.5	81.92	81.44	82.1	81.78	81.88	81.88	81.87	81.89	81.92	81.83	81.78	81.84	81.85	81.84	81.83	81.85	81.78	81.83	81.82	81.81	81.84	81.86	81.83	81.57	81.63	81.59	81.69	81.68	81.71	81.76	85.95	83.49	83.7	83.68	83.77	83.72	83.72	83.62	83.7	83.65	82.36	82.39	82.4	82.42	82.33	82.32	82.27	82.32	83.31	83.34	83.33	83.37	83.4	83.38	83.4	83.4	83.43	83.43	83.41	83.37	83.38	83.42	83.37	83.5	83.46	83.49	83.51	83.47	83.5	83.42	83.47	83.44	86.03	87.16	88.7	90.56	90.62	90.58	90.68	90.64	90.71	90.78	90.76	90.75	90.53	90.61	90.64	90.61	90.68	90.64	90.68	90.71	90.7	90.76	90.73	90.08	90.12	90.13	90.37	90.42	90.49	90.43	90.49	90.36	90.37	90.22	90.3	90.25	90.22	93.03	94.98	95.17	95.89	100	96.17	95.5	95.88
Pacuta_ATHC_TP8_1459	73.83	73.92	73.94	73.94	73.9	73.91	73.86	73.88	73.86	73.85	74.05	73.99	73.78	73.78	73.77	73.75	73.74	73.81	73.78	73.75	73.86	73.86	73.84	73.85	73.73	73.7	73.75	73.73	73.76	73.73	73.82	73.82	77.38	77.52	81.92	81.46	82.11	81.75	81.84	81.85	81.85	81.87	81.89	81.82	81.76	81.8	81.82	81.8	81.79	81.81	81.74	81.8	81.79	81.8	81.81	81.84	81.8	81.55	81.6	81.56	81.67	81.66	81.69	81.73	85.94	83.52	83.7	83.69	83.78	83.73	83.72	83.61	83.69	83.65	82.3	82.31	82.33	82.34	82.23	82.24	82.22	82.24	83.24	83.3	83.28	83.3	83.33	83.31	83.32	83.33	83.34	83.35	83.33	83.33	83.31	83.35	83.31	83.41	83.39	83.39	83.43	83.39	83.4	83.4	83.41	83.39	85.98	87.1	88.66	90.48	90.5	90.52	90.54	90.54	90.61	90.65	90.65	90.61	90.49	90.51	90.54	90.54	90.56	90.55	90.56	90.61	90.6	90.66	90.61	90	90.04	90.05	90.29	90.32	90.37	90.37	90.4	90.31	90.25	90.19	90.2	90.12	90.17	92.86	94.99	95.15	100	95.89	96.02	95.38	95.77
Pacuta_HTAC_TP7_2072	73.99	74.08	74.09	74.1	74.06	74.06	74.03	74.04	74.02	74.02	74.21	74.15	73.92	73.92	73.92	73.9	73.89	73.96	73.93	73.9	74.03	74.01	73.99	74.01	73.86	73.85	73.9	73.88	73.91	73.88	73.97	73.97	77.45	77.6	82.04	81.58	82.24	81.91	81.97	82.01	82.02	82.02	82.05	81.98	81.93	81.93	81.96	81.96	81.93	81.96	81.9	81.96	81.95	81.95	81.95	82	81.97	81.69	81.73	81.74	81.83	81.84	81.87	81.89	86.11	83.71	83.84	83.84	83.91	83.85	83.85	83.72	83.8	83.76	82.33	82.33	82.35	82.33	82.18	82.19	82.23	82.19	83.24	83.33	83.29	83.31	83.34	83.28	83.32	83.33	83.32	83.35	83.35	83.35	83.33	83.39	83.32	83.45	83.4	83.41	83.46	83.38	83.4	83.47	83.4	83.38	85.63	87.06	88.87	90.09	90.02	90.11	90.09	90.16	90.22	90.2	90.18	90.22	90.12	90.07	90.12	90.17	90.07	90.1	90.15	90.25	90.19	90.23	90.27	89.58	89.63	89.63	89.82	89.92	89.88	89.91	89.96	89.9	89.83	89.83	89.75	89.64	89.72	92.88	95.46	100	95.15	95.17	95.46	95.58	95.25
Pacuta_HTAC_TP3_1642	73.87	73.95	73.96	73.97	73.94	73.92	73.9	73.91	73.88	73.89	74.08	74.02	73.8	73.79	73.8	73.77	73.76	73.84	73.8	73.77	73.9	73.88	73.88	73.87	73.75	73.73	73.78	73.75	73.78	73.75	73.85	73.85	77.44	77.51	81.94	81.51	82.17	81.82	81.84	81.88	81.92	81.91	81.92	81.88	81.88	81.85	81.9	81.9	81.86	81.87	81.75	81.85	81.83	81.8	81.83	81.85	81.83	81.55	81.68	81.61	81.69	81.72	81.72	81.76	86.05	83.7	83.71	83.73	83.79	83.78	83.78	83.59	83.66	83.63	82.22	82.23	82.24	82.23	82.13	82.12	82.09	82.03	83.14	83.18	83.15	83.25	83.32	83.22	83.25	83.26	83.27	83.31	83.22	83.23	83.16	83.24	83.18	83.34	83.25	83.28	83.33	83.25	83.25	83.35	83.25	83.25	85.51	86.98	88.68	90.08	90.01	90.12	90.04	90.16	90.22	90.19	90.15	90.19	90.02	89.88	89.98	90.05	89.91	89.94	90	90.11	90.08	90.14	90.14	89.43	89.45	89.5	89.67	89.75	89.72	89.76	89.84	89.78	89.69	89.69	89.63	89.47	89.59	92.84	100	95.46	94.99	94.98	95.27	95.6	95.35
Pacuta_ATHC_TP6_1254	72.9	72.99	73	73	72.97	72.97	72.94	72.95	72.92	72.93	73.08	73.03	72.87	72.88	72.86	72.85	72.84	72.9	72.88	72.85	72.96	72.95	72.94	72.94	72.82	72.8	72.84	72.81	72.85	72.81	72.89	72.89	77.88	77.1	81.43	80.96	81.54	81.26	81.33	81.36	81.33	81.36	81.39	81.31	81.27	81.33	81.33	81.32	81.31	81.33	81.23	81.3	81.29	81.28	81.29	81.32	81.3	81	81.57	81.03	81.12	81.12	81.16	81.22	84.83	82.43	82.62	82.65	82.71	82.69	82.69	82.54	82.62	82.6	81.85	81.78	81.79	81.8	81.75	81.74	81.61	81.67	82.41	82.34	82.31	82.36	82.41	82.41	82.42	82.42	82.46	82.45	82.42	82.39	82.4	82.41	82.37	82.48	82.44	82.49	82.5	82.47	82.5	82.42	82.43	82.43	84.44	85.94	86.96	88.5	88.75	88.55	88.62	88.61	88.67	88.71	88.72	88.7	88.48	88.52	88.59	88.56	88.62	88.61	88.62	88.66	88.63	88.7	88.65	88.09	88.11	88.44	88.31	88.37	88.4	88.42	88.47	88.33	88.34	88.18	88.24	88.18	88.19	100	92.84	92.88	92.86	93.03	93.17	93.6	93.42
Pacuta_ATAC_TP9_2357	74.58	74.68	74.68	74.68	74.65	74.66	74.62	74.64	74.6	74.61	74.8	74.74	74.47	74.46	74.46	74.44	74.44	74.5	74.48	74.45	74.56	74.57	74.54	74.54	74.38	74.35	74.4	74.38	74.4	74.38	74.48	74.46	79.73	80.03	81.69	81.3	81.98	83.01	83.12	83.11	83.1	83.12	83.13	83.06	83	83.05	83.06	83.07	83.04	83.06	83.04	83.05	83.07	83.07	83.08	83.11	83.07	82.8	82.82	82.84	82.93	82.9	82.96	83	85.09	84.32	84.54	84.57	84.63	84.59	84.57	84.47	84.55	84.51	82.95	82.95	82.94	82.98	82.85	82.87	82.86	82.9	82.9	82.92	82.87	82.86	82.87	82.84	82.86	82.85	82.89	82.87	82.97	82.92	82.93	82.96	83.08	83.01	82.96	82.96	82.99	83	83	82.96	82.98	82.96	85.04	85.07	86.2	95.57	95.6	95.66	95.73	95.73	95.82	95.84	95.87	95.87	95.53	95.59	95.66	95.63	95.68	95.68	95.7	95.74	95.78	95.84	95.78	94.89	95	94.92	95.32	95.38	95.41	95.5	95.49	95.31	95.28	95.14	95.19	95.1	100	88.19	89.59	89.72	90.17	90.22	90.3	89.85	90.09
Pacuta_ATAC_TP8_2012	74.54	74.64	74.65	74.64	74.62	74.62	74.58	74.6	74.58	74.58	74.77	74.7	74.43	74.42	74.42	74.4	74.39	74.45	74.44	74.4	74.53	74.52	74.5	74.5	74.34	74.32	74.35	74.34	74.36	74.35	74.44	74.43	79.69	80.01	81.68	81.28	81.94	82.98	83.11	83.11	83.07	83.09	83.14	83.03	82.98	83.04	83.06	83.05	83.03	83.04	83.02	83.03	83.06	83.05	83.07	83.09	83.04	82.78	82.8	82.82	82.9	82.89	82.93	82.99	85.08	84.28	84.51	84.55	84.6	84.57	84.56	84.47	84.55	84.51	82.91	82.89	82.92	82.93	82.83	82.83	82.84	82.91	82.87	82.91	82.87	82.8	82.82	82.8	82.82	82.83	82.86	82.84	82.96	82.9	82.92	82.94	83.06	82.95	82.92	82.93	82.97	83	82.97	82.94	82.97	82.95	85.02	85.04	86.17	95.48	95.57	95.51	95.67	95.7	95.75	95.79	95.82	95.78	95.43	95.5	95.6	95.55	95.7	95.65	95.68	95.7	95.7	95.76	95.7	94.89	94.95	94.8	95.32	95.35	95.38	95.42	95.4	95.24	95.29	95.1	95.19	100	95.1	88.18	89.47	89.64	90.12	90.25	90.27	89.79	90
