ind1	ind2	match_perc
Pacuta_ATHC_TP1_1207	Pacuta_HTAC_TP8_1329	98.490000
Pacuta_HTAC_TP8_1329	Pacuta_ATHC_TP1_1207	98.490000
Pacuta_ATHC_TP7_1281	Pacuta_HTAC_TP8_1329	98.440000
Pacuta_HTAC_TP8_1329	Pacuta_ATHC_TP7_1281	98.440000
Pacuta_ATHC_TP1_1207	Pacuta_HTAC_TP5_1571	98.430000
Pacuta_HTAC_TP5_1571	Pacuta_ATHC_TP1_1207	98.430000
Pacuta_HTAC_TP5_1571	Pacuta_HTAC_TP8_1329	98.410000
Pacuta_HTAC_TP8_1329	Pacuta_HTAC_TP5_1571	98.410000
Pacuta_ATHC_TP1_1207	Pacuta_ATHC_TP7_1281	98.410000
Pacuta_ATHC_TP7_1281	Pacuta_ATHC_TP1_1207	98.410000
Pacuta_ATHC_TP11_2879	Pacuta_HTAC_TP8_1329	98.380000
Pacuta_HTAC_TP8_1329	Pacuta_ATHC_TP11_2879	98.380000
Pacuta_ATHC_TP11_2879	Pacuta_ATHC_TP1_1207	98.380000
Pacuta_ATHC_TP1_1207	Pacuta_ATHC_TP11_2879	98.380000
Pacuta_ATAC_TP6_1468	Pacuta_ATHC_TP5_2212	98.360000
Pacuta_ATHC_TP5_2212	Pacuta_ATAC_TP6_1468	98.360000
Pacuta_ATHC_TP7_1281	Pacuta_HTAC_TP5_1571	98.350000
Pacuta_HTAC_TP5_1571	Pacuta_ATHC_TP7_1281	98.350000
Pacuta_ATAC_TP7_1047	Pacuta_HTAC_TP8_1329	98.350000
Pacuta_HTAC_TP8_1329	Pacuta_ATAC_TP7_1047	98.350000
Pacuta_ATAC_TP7_1047	Pacuta_ATHC_TP1_1207	98.350000
Pacuta_ATHC_TP1_1207	Pacuta_ATAC_TP7_1047	98.350000
Pacuta_ATHC_TP11_2879	Pacuta_ATHC_TP7_1281	98.320000
Pacuta_ATHC_TP7_1281	Pacuta_ATHC_TP11_2879	98.320000
Pacuta_ATAC_TP7_1047	Pacuta_ATHC_TP7_1281	98.310000
Pacuta_ATHC_TP7_1281	Pacuta_ATAC_TP7_1047	98.310000
Pacuta_ATHC_TP1_1207	Pacuta_HTHC_TP4_1169	98.300000
Pacuta_HTHC_TP4_1169	Pacuta_ATHC_TP1_1207	98.300000
Pacuta_HTAC_TP8_1329	Pacuta_HTHC_TP4_1169	98.290000
Pacuta_HTHC_TP4_1169	Pacuta_HTAC_TP8_1329	98.290000
Pacuta_HTAC_TP5_1571	Pacuta_HTHC_TP4_1169	98.290000
Pacuta_HTHC_TP4_1169	Pacuta_HTAC_TP5_1571	98.290000
Pacuta_ATHC_TP11_2879	Pacuta_HTAC_TP5_1571	98.280000
Pacuta_HTAC_TP5_1571	Pacuta_ATHC_TP11_2879	98.280000
Pacuta_ATAC_TP7_1047	Pacuta_HTAC_TP5_1571	98.280000
Pacuta_HTAC_TP5_1571	Pacuta_ATAC_TP7_1047	98.280000
Pacuta_ATAC_TP7_1047	Pacuta_ATHC_TP11_2879	98.270000
Pacuta_ATHC_TP11_2879	Pacuta_ATAC_TP7_1047	98.270000
Pacuta_ATHC_TP7_1281	Pacuta_HTHC_TP4_1169	98.220000
Pacuta_HTHC_TP4_1169	Pacuta_ATHC_TP7_1281	98.220000
Pacuta_ATAC_TP6_1050	Pacuta_ATHC_TP1_1207	98.220000
Pacuta_ATHC_TP1_1207	Pacuta_ATAC_TP6_1050	98.220000
Pacuta_ATHC_TP1_1207	Pacuta_HTHC_TP5_1168	98.200000
Pacuta_HTHC_TP5_1168	Pacuta_ATHC_TP1_1207	98.200000
Pacuta_ATHC_TP1_1207	Pacuta_ATHC_TP8_2861	98.200000
Pacuta_ATHC_TP8_2861	Pacuta_ATHC_TP1_1207	98.200000
Pacuta_ATAC_TP7_1047	Pacuta_HTAC_TP7_1487	98.200000
Pacuta_HTAC_TP7_1487	Pacuta_ATAC_TP7_1047	98.200000
Pacuta_ATAC_TP6_1050	Pacuta_ATAC_TP7_1047	98.200000
Pacuta_ATAC_TP7_1047	Pacuta_ATAC_TP6_1050	98.200000
Pacuta_HTAC_TP8_1329	Pacuta_HTHC_TP5_1168	98.190000
Pacuta_HTHC_TP5_1168	Pacuta_HTAC_TP8_1329	98.190000
Pacuta_ATAC_TP7_1047	Pacuta_HTHC_TP5_1168	98.190000
Pacuta_HTHC_TP5_1168	Pacuta_ATAC_TP7_1047	98.190000
Pacuta_HTAC_TP8_1329	Pacuta_HTHC_TP11_1416	98.180000
Pacuta_HTHC_TP11_1416	Pacuta_HTAC_TP8_1329	98.180000
Pacuta_ATHC_TP8_2861	Pacuta_HTAC_TP8_1329	98.180000
Pacuta_HTAC_TP8_1329	Pacuta_ATHC_TP8_2861	98.180000
Pacuta_ATHC_TP1_1207	Pacuta_HTAC_TP7_1487	98.180000
Pacuta_HTAC_TP7_1487	Pacuta_ATHC_TP1_1207	98.180000
Pacuta_ATHC_TP1_1207	Pacuta_ATHC_TP1_2977	98.180000
Pacuta_ATHC_TP1_2977	Pacuta_ATHC_TP1_1207	98.180000
Pacuta_ATAC_TP7_1047	Pacuta_ATHC_TP8_2861	98.180000
Pacuta_ATHC_TP8_2861	Pacuta_ATAC_TP7_1047	98.180000
Pacuta_ATAC_TP6_1050	Pacuta_HTAC_TP8_1329	98.180000
Pacuta_HTAC_TP8_1329	Pacuta_ATAC_TP6_1050	98.180000
Pacuta_ATAC_TP6_1050	Pacuta_HTAC_TP5_1571	98.180000
Pacuta_HTAC_TP5_1571	Pacuta_ATAC_TP6_1050	98.180000
Pacuta_HTAC_TP5_1571	Pacuta_HTHC_TP5_1168	98.170000
Pacuta_HTHC_TP5_1168	Pacuta_HTAC_TP5_1571	98.170000
Pacuta_ATAC_TP6_1050	Pacuta_ATHC_TP7_1281	98.170000
Pacuta_ATHC_TP7_1281	Pacuta_ATAC_TP6_1050	98.170000
Pacuta_HTAC_TP7_1487	Pacuta_HTAC_TP8_1329	98.160000
Pacuta_HTAC_TP8_1329	Pacuta_HTAC_TP7_1487	98.160000
Pacuta_ATAC_TP7_1047	Pacuta_HTHC_TP4_1169	98.160000
