SRR7042978	SRR7062295	SRR7062350	SRR7043704	SRR7058616	SRR7058566	SRR7055829	SRR7058378	SRR7058606	SRR7059699	SRR7043013	SRR7046161	SRR6987146	SRR7041301	SRR7040514	SRR6964364	SRR6986864	SRR6951744	SRR6963586	SRR6963878	SRR7039808	SRR6951423	SRR6952431	SRR6963891	SRR6914609	SRR6914908	SRR6934388	SRR6934542	SRR6942678	SRR6942729	SRR6914151	SRR6935629	Pacuta_HTAC_TP1_1653	Pacuta_HTHC_TP6_1721	Pacuta_ATHC_TP10_1205	Pacuta_ATAC_TP5_1059	Pacuta_HTHC_TP1_2210	Pacuta_HTHC_TP11_1416	Pacuta_ATHC_TP8_2861	Pacuta_HTHC_TP5_1168	Pacuta_HTAC_TP7_1487	Pacuta_ATAC_TP6_1050	Pacuta_ATAC_TP7_1047	Pacuta_ATHC_TP1_2977	Pacuta_HTHC_TP4_1169	Pacuta_ATHC_TP11_2879	Pacuta_ATHC_TP7_1281	Pacuta_HTAC_TP5_1571	Pacuta_ATHC_TP1_1207	Pacuta_HTAC_TP8_1329	Pacuta_ATHC_TP9_2979	Pacuta_HTHC_TP3_2527	Pacuta_ATHC_TP6_2999	Pacuta_ATHC_TP3_1219	Pacuta_HTAC_TP3_2026	Pacuta_ATHC_TP10_2197	Pacuta_HTAC_TP5_1303	Pacuta_HTAC_TP6_1330	Pacuta_ATHC_TP11_2668	Pacuta_HTHC_TP1_1676	Pacuta_HTAC_TP10_1225	Pacuta_HTHC_TP3_1418	Pacuta_ATHC_TP4_2993	Pacuta_ATHC_TP5_1296	Pacuta_ATAC_TP7_1445	Pacuta_HTAC_TP9_1302	Pacuta_HTAC_TP9_1486	Pacuta_ATAC_TP1_1775	Pacuta_HTAC_TP6_1744	Pacuta_ATAC_TP6_1468	Pacuta_ATHC_TP5_2212	Pacuta_ATAC_TP10_1159	Pacuta_ATAC_TP8_1755	Pacuta_ATAC_TP9_1141	Pacuta_ATAC_TP1_1043	Pacuta_ATAC_TP6_1542	Pacuta_HTHC_TP4_1343	Pacuta_HTHC_TP7_1427	Pacuta_ATHC_TP3_2750	Pacuta_HTAC_TP4_1581	Pacuta_ATHC_TP1_2743	Pacuta_HTHC_TP8_1184	Pacuta_ATAC_TP10_1641	Pacuta_ATAC_TP3_1471	Pacuta_HTAC_TP8_1765	Pacuta_HTAC_TP11_1647	Pacuta_HTHC_TP4_2195	Pacuta_HTAC_TP11_1582	Pacuta_ATAC_TP4_2002	Pacuta_HTAC_TP4_1701	Pacuta_ATAC_TP5_1563	Pacuta_ATHC_TP8_2564	Pacuta_ATAC_TP1_2363	Pacuta_HTAC_TP1_2005	Pacuta_ATAC_TP4_1060	Pacuta_HTAC_TP3_1617	Pacuta_HTHC_TP10_1732	Pacuta_HTHC_TP1_1239	Pacuta_HTHC_TP10_1238	Pacuta_ATHC_TP7_2409	Pacuta_HTHC_TP7_1090	Pacuta_ATAC_TP10_1559	Pacuta_ATAC_TP5_1757	Pacuta_HTHC_TP7_1820	Pacuta_ATAC_TP9_1594	Pacuta_HTAC_TP10_1536	Pacuta_ATHC_TP10_2550	Pacuta_HTHC_TP11_2185	Pacuta_HTHC_TP5_1415	Pacuta_ATAC_TP11_2306	Pacuta_HTHC_TP5_2087	Pacuta_ATHC_TP11_1147	Pacuta_HTAC_TP11_1596	Pacuta_ATAC_TP4_1762	Pacuta_HTAC_TP5_1707	Pacuta_ATHC_TP3_2534	Pacuta_HTAC_TP9_1696	Pacuta_HTHC_TP8_1709	Pacuta_ATAC_TP7_2413	Pacuta_HTAC_TP10_2064	Pacuta_HTHC_TP3_1227	Pacuta_HTHC_TP6_1595	Pacuta_HTHC_TP8_2304	Pacuta_HTHC_TP9_2202	Pacuta_ATAC_TP3_1041	Pacuta_HTHC_TP6_1138	Pacuta_ATHC_TP7_2878	Pacuta_HTAC_TP1_2414	Pacuta_HTAC_TP7_1728	Pacuta_ATAC_TP11_1103	Pacuta_ATHC_TP9_2873	Pacuta_ATHC_TP4_1220	Pacuta_HTHC_TP9_2305	Pacuta_HTAC_TP6_1466	Pacuta_HTHC_TP10_2300	Pacuta_ATHC_TP5_2877	Pacuta_ATHC_TP6_2870	Pacuta_ATAC_TP3_1637	Pacuta_ATHC_TP9_1451	Pacuta_HTAC_TP8_2513	Pacuta_HTHC_TP9_1131	Pacuta_ATAC_TP8_2012	Pacuta_ATAC_TP9_2357	Pacuta_ATHC_TP6_1254	Pacuta_HTAC_TP3_1642	Pacuta_HTAC_TP7_2072	Pacuta_ATHC_TP8_1459	Pacuta_ATAC_TP8_1051	Pacuta_HTAC_TP4_1767	Pacuta_ATAC_TP11_1777	Pacuta_ATHC_TP4_2733
Pacuta_ATHC_TP4_2733	0.00568047	0	0	0.000408911	0.000280543	0.00173507	0.00580339	0.00469059	0.00465381	0.00296123	0	0	0.00160833	0.00406512	0.00473309	0.00641719	0.00640009	0.00122142	0.00414979	0.00462973	0	0	0	0	0.00258651	0.00520611	0.00235387	0.00278493	0.000302073	0.000381737	0	0	0.142568	0.104094	0.219872	0.213928	0.231142	0.222357	0.222464	0.223125	0.22228	0.222527	0.22474	0.222307	0.224384	0.226313	0.225854	0.226176	0.227196	0.227376	0.21787	0.218411	0.21907	0.219573	0.219321	0.220046	0.219575	0.201911	0.230027	0.207571	0.208998	0.210809	0.21304	0.215023	0.304843	0.259205	0.263213	0.265114	0.267283	0.271113	0.27145	0.258536	0.262458	0.261965	0.278284	0.276914	0.278018	0.279454	0.283289	0.283466	0.267259	0.267281	0.280411	0.277247	0.275522	0.290952	0.292348	0.293419	0.294094	0.29409	0.293658	0.294102	0.281778	0.281426	0.283139	0.281695	0.281894	0.286924	0.28666	0.290368	0.288722	0.284527	0.285168	0.284257	0.283184	0.283843	0.303075	0.346394	0.339197	0.398847	0.403391	0.401185	0.401635	0.402695	0.402405	0.402312	0.404507	0.403811	0.39472	0.395061	0.396202	0.396385	0.396178	0.397425	0.397938	0.398687	0.39908	0.400911	0.400262	0.384109	0.382976	0.391411	0.389591	0.39071	0.392274	0.392041	0.392119	0.389094	0.388768	0.38735	0.388454	0.385404	0.386715	0.438121	0.454706	0.454163	0.46206	0.463872	0.468783	0.464634	0.5
Pacuta_ATAC_TP11_1777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.135972	0.0961735	0.216663	0.21015	0.22741	0.219315	0.219273	0.219887	0.219216	0.219414	0.22162	0.219118	0.220868	0.223303	0.222566	0.222828	0.224039	0.224101	0.214868	0.215117	0.215989	0.216272	0.216129	0.217042	0.216329	0.198587	0.227229	0.204217	0.205702	0.207475	0.209741	0.211965	0.303925	0.256063	0.260468	0.262398	0.264441	0.268104	0.268606	0.255886	0.259737	0.259193	0.272931	0.271458	0.272629	0.273981	0.277933	0.277926	0.262014	0.262091	0.277232	0.273646	0.271966	0.287356	0.288079	0.289698	0.290058	0.290047	0.289724	0.290167	0.278348	0.27786	0.279604	0.278268	0.277672	0.283468	0.282909	0.286565	0.284782	0.2812	0.281698	0.280255	0.279548	0.280089	0.290838	0.34351	0.337692	0.391208	0.395239	0.39302	0.39367	0.394191	0.393901	0.394156	0.396175	0.39531	0.387196	0.387572	0.388438	0.388479	0.388261	0.389621	0.389968	0.39071	0.390886	0.392766	0.392076	0.377271	0.376063	0.383828	0.382282	0.383082	0.384858	0.384643	0.384534	0.381352	0.381413	0.379796	0.381302	0.378234	0.379216	0.438763	0.45566	0.455806	0.454542	0.456502	0.460562	0.5	0.464634
Pacuta_HTAC_TP4_1767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.133831	0.0956639	0.215291	0.208132	0.225365	0.217659	0.218414	0.218806	0.218062	0.218326	0.220523	0.217654	0.219099	0.221478	0.221128	0.221242	0.222345	0.22255	0.213654	0.21398	0.214758	0.215051	0.214963	0.215867	0.215267	0.197372	0.224803	0.203053	0.20469	0.20647	0.20847	0.210923	0.300564	0.254729	0.259725	0.261212	0.263589	0.266797	0.267225	0.25528	0.258902	0.258555	0.274335	0.272792	0.274242	0.275684	0.278913	0.279017	0.263446	0.263544	0.277326	0.274785	0.272905	0.287038	0.288382	0.289648	0.290195	0.290341	0.289681	0.290152	0.278854	0.278449	0.280486	0.27911	0.278888	0.284193	0.283675	0.287323	0.285728	0.281892	0.282649	0.280809	0.28028	0.281101	0.299046	0.3431	0.337747	0.395259	0.399605	0.39744	0.398265	0.398692	0.398824	0.398936	0.400909	0.400046	0.39254	0.393157	0.394264	0.394485	0.394214	0.395137	0.395909	0.396488	0.396808	0.398505	0.39769	0.382256	0.381371	0.388933	0.388179	0.389176	0.390469	0.390476	0.390311	0.387453	0.387278	0.385503	0.386438	0.384034	0.384686	0.434078	0.450587	0.452391	0.460987	0.463247	0.5	0.460562	0.468783
Pacuta_ATAC_TP8_1051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.127997	0.0893383	0.210825	0.202814	0.22044	0.213435	0.214685	0.215004	0.213912	0.214266	0.216532	0.213727	0.215151	0.217768	0.217017	0.21717	0.218474	0.218664	0.21007	0.210206	0.211043	0.211373	0.211216	0.211825	0.211362	0.193727	0.221005	0.199187	0.20093	0.202612	0.204739	0.207299	0.29661	0.250287	0.255649	0.257065	0.259201	0.262691	0.262873	0.251427	0.255211	0.254686	0.27041	0.269066	0.270164	0.271829	0.27505	0.275059	0.260062	0.26082	0.274461	0.271278	0.269872	0.283532	0.284404	0.285955	0.286428	0.286501	0.286103	0.286638	0.275732	0.274947	0.277175	0.275932	0.275545	0.280795	0.280251	0.283741	0.282234	0.27899	0.279382	0.277053	0.27715	0.277796	0.294563	0.339321	0.333962	0.391726	0.39563	0.393295	0.394393	0.39438	0.394566	0.395219	0.396807	0.396014	0.388675	0.390017	0.390807	0.39034	0.391199	0.39187	0.392365	0.392611	0.392862	0.394459	0.393581	0.3795	0.378992	0.385606	0.385381	0.386	0.387717	0.387113	0.387246	0.383912	0.384185	0.382245	0.383961	0.38173	0.381807	0.430881	0.44592	0.44801	0.458177	0.5	0.463247	0.456502	0.463872
Pacuta_ATHC_TP8_1459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.124738	0.085635	0.207852	0.200309	0.217777	0.210268	0.211354	0.21174	0.210913	0.2112	0.213303	0.210687	0.21212	0.214449	0.213872	0.214014	0.215174	0.215398	0.206725	0.206784	0.207864	0.208337	0.208033	0.208748	0.208081	0.190429	0.217785	0.195879	0.197414	0.19929	0.201542	0.203895	0.294643	0.248416	0.25359	0.255099	0.257536	0.260885	0.260979	0.249137	0.253312	0.252772	0.267643	0.265882	0.267225	0.268835	0.271974	0.271939	0.257264	0.257562	0.271748	0.268539	0.26731	0.280902	0.282079	0.283384	0.283984	0.283982	0.283395	0.284078	0.272871	0.272497	0.274444	0.273234	0.272952	0.27789	0.277584	0.281037	0.279472	0.276078	0.276448	0.274856	0.274478	0.275203	0.291739	0.337377	0.331638	0.38947	0.392984	0.391291	0.391846	0.391967	0.392182	0.39268	0.394368	0.393572	0.386897	0.387634	0.388677	0.388224	0.388611	0.389738	0.389734	0.390329	0.390575	0.392158	0.391241	0.377383	0.376682	0.383358	0.383337	0.383464	0.385224	0.385189	0.384918	0.381827	0.381663	0.380515	0.381864	0.379019	0.379852	0.428149	0.445484	0.446705	0.5	0.458177	0.460987	0.454542	0.46206
Pacuta_HTAC_TP7_2072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11483	0.074019	0.202081	0.194053	0.212446	0.205342	0.206079	0.206747	0.205975	0.206202	0.20827	0.205864	0.207332	0.209134	0.208906	0.209116	0.210197	0.210425	0.201489	0.201855	0.202705	0.203199	0.202821	0.203671	0.203196	0.184356	0.212819	0.190555	0.191978	0.194058	0.196243	0.198598	0.292047	0.24462	0.249041	0.250908	0.25312	0.256596	0.256766	0.244098	0.248411	0.247929	0.261635	0.260014	0.261213	0.26255	0.265507	0.265331	0.250721	0.250644	0.266026	0.263352	0.26143	0.275685	0.276913	0.277888	0.278756	0.278743	0.278189	0.278763	0.267686	0.267006	0.269188	0.267942	0.266447	0.272885	0.27218	0.275764	0.274444	0.270464	0.271177	0.270064	0.269075	0.269677	0.277489	0.333202	0.330319	0.380718	0.383977	0.382799	0.382669	0.383704	0.383831	0.383572	0.385338	0.384976	0.378376	0.378526	0.379621	0.379894	0.379175	0.380733	0.381029	0.382109	0.382047	0.383201	0.383135	0.368015	0.367538	0.374449	0.373394	0.374882	0.375413	0.375924	0.375925	0.372895	0.372384	0.371948	0.372293	0.369237	0.370322	0.427313	0.449111	0.5	0.446705	0.44801	0.452391	0.455806	0.454163
Pacuta_HTAC_TP3_1642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.115894	0.0742148	0.201401	0.194012	0.212651	0.204949	0.205278	0.205992	0.205228	0.205549	0.207551	0.205201	0.207433	0.209031	0.208683	0.209112	0.210101	0.209991	0.200461	0.201223	0.201945	0.202015	0.202009	0.202641	0.202125	0.183601	0.212688	0.189546	0.191115	0.193213	0.195284	0.197843	0.291959	0.244268	0.247968	0.250042	0.252083	0.256079	0.256436	0.242991	0.247191	0.246632	0.260793	0.259181	0.260275	0.261899	0.265265	0.265232	0.249587	0.2492	0.265402	0.261997	0.260451	0.275414	0.277105	0.277592	0.278462	0.278523	0.277972	0.27892	0.266441	0.266364	0.267774	0.266891	0.265402	0.271976	0.271193	0.274905	0.273477	0.269525	0.269885	0.269097	0.267886	0.268639	0.276953	0.332668	0.328176	0.380705	0.383843	0.382671	0.382098	0.383895	0.384049	0.383697	0.385001	0.384966	0.377534	0.376719	0.378315	0.379051	0.377488	0.378823	0.379534	0.380756	0.380931	0.38233	0.381981	0.366306	0.365612	0.373203	0.371962	0.372944	0.374068	0.374413	0.374447	0.371852	0.371175	0.370565	0.371026	0.367632	0.368985	0.426071	0.5	0.449111	0.445484	0.44592	0.450587	0.45566	0.454706
Pacuta_ATHC_TP6_1254	0.00628058	0	0.000549462	0.00127643	0.00120297	0.0024461	0.0063405	0.00533483	0.00522564	0.00378458	0	0	0.0025628	0.00516411	0.00565157	0.00728494	0.00704549	0.0021978	0.00491047	0.00546001	0	0	0	0	0.00366853	0.00598667	0.00331639	0.00355646	0.00136857	0.00144026	0	0	0.157841	0.111056	0.222546	0.215066	0.230388	0.224455	0.225475	0.225824	0.22482	0.225274	0.22723	0.224747	0.226129	0.228378	0.227807	0.228003	0.229181	0.22919	0.220969	0.22138	0.222099	0.222528	0.222191	0.222787	0.222484	0.20569	0.235915	0.210884	0.212181	0.213703	0.216122	0.218518	0.294493	0.249247	0.254178	0.256089	0.258132	0.261533	0.261738	0.250193	0.253917	0.253908	0.275017	0.272878	0.274117	0.275535	0.279009	0.279002	0.264062	0.264886	0.274648	0.270676	0.269341	0.28253	0.28356	0.285091	0.285619	0.285728	0.285302	0.285837	0.275165	0.274497	0.276569	0.27522	0.274241	0.279628	0.279393	0.282736	0.281068	0.278186	0.278748	0.276292	0.276222	0.276964	0.283679	0.333982	0.320771	0.373437	0.379018	0.375492	0.376319	0.376933	0.377006	0.377323	0.379136	0.378493	0.371052	0.371882	0.373075	0.372588	0.373355	0.374292	0.374405	0.374884	0.375187	0.376588	0.375507	0.36214	0.361521	0.370712	0.367648	0.368054	0.369376	0.369697	0.369556	0.366217	0.366636	0.364514	0.366022	0.363946	0.364217	0.5	0.426071	0.427313	0.428149	0.430881	0.434078	0.438763	0.438121
Pacuta_ATAC_TP9_2357	0.00470882	0	0	0	0	0.000666212	0.00469478	0.00377491	0.00370601	0.0021398	0	0	0	0.000156709	0.00078266	0.00272087	0.00249767	0	0.000387071	0.000656798	0	0	0	0	0	0.00122672	0	0	0	0	0	0	0.17976	0.1502	0.200249	0.198407	0.216388	0.235573	0.237007	0.23702	0.235984	0.236498	0.238317	0.235904	0.237079	0.239307	0.238729	0.239093	0.240232	0.240228	0.232638	0.232016	0.23354	0.233825	0.233366	0.234247	0.233761	0.216194	0.241883	0.222059	0.223017	0.224608	0.22748	0.229532	0.279853	0.262549	0.268149	0.270334	0.272278	0.275591	0.275615	0.264195	0.268018	0.267782	0.276915	0.275374	0.276184	0.278071	0.280917	0.281041	0.267077	0.267799	0.266528	0.263378	0.26134	0.275179	0.276007	0.277229	0.277775	0.277748	0.277467	0.277762	0.267689	0.266583	0.269265	0.267665	0.270246	0.272248	0.272	0.274955	0.273524	0.270461	0.270867	0.268912	0.268681	0.269114	0.275729	0.307499	0.28925	0.456625	0.460026	0.459035	0.459461	0.45999	0.460208	0.460159	0.46233	0.461676	0.454169	0.455137	0.456651	0.455963	0.456621	0.457466	0.457885	0.457821	0.458829	0.45986	0.459283	0.444098	0.444776	0.449303	0.450929	0.451812	0.452617	0.453825	0.453194	0.449673	0.449646	0.447878	0.449196	0.447096	0.5	0.364217	0.368985	0.370322	0.379852	0.381807	0.384686	0.379216	0.386715
Pacuta_ATAC_TP8_2012	0.00337116	0	0	0	0	0	0.00356307	0.00264437	0.00270535	0.000930454	0	0	0	0	0.000208643	0.00189085	0.00177474	0	0	0	0	0	0	0	0	0.000785954	0	0	0	0	0	0	0.179266	0.150062	0.200037	0.198224	0.215907	0.234837	0.236508	0.236724	0.235378	0.235881	0.237957	0.235363	0.236547	0.238857	0.238359	0.238584	0.239657	0.23977	0.232239	0.23168	0.23291	0.233452	0.232953	0.233663	0.233061	0.215775	0.241343	0.221695	0.222388	0.22425	0.22665	0.229183	0.279302	0.262265	0.267877	0.270024	0.271752	0.275261	0.275358	0.264027	0.268131	0.267628	0.276375	0.27493	0.275871	0.277434	0.280345	0.280427	0.266618	0.267847	0.266353	0.263081	0.261301	0.274465	0.275332	0.276689	0.27732	0.277302	0.277118	0.277336	0.267712	0.266591	0.269038	0.26762	0.270035	0.271624	0.271371	0.274835	0.273309	0.270551	0.270498	0.268497	0.268588	0.269182	0.275573	0.307297	0.288419	0.455668	0.459684	0.457143	0.458965	0.459844	0.45959	0.45962	0.461727	0.460661	0.453193	0.454257	0.45607	0.455371	0.456873	0.457305	0.457674	0.457491	0.458079	0.459182	0.458305	0.444435	0.44419	0.447739	0.451144	0.451413	0.452371	0.45317	0.452105	0.448974	0.449644	0.447699	0.449398	0.5	0.447096	0.363946	0.367632	0.369237	0.379019	0.38173	0.384034	0.378234	0.385404
