sample	species	treatment	timepoint	plugid	reef	reef_color	ploidy	ploidy_color	group	group_color
Mcapitata_ATAC_TP11_2302	Mcapitata	ATAC	TP11	2302	Reef.18	#d8daeb	2	#01665e	Group1	#1f78b4
Mcapitata_HTAC_TP11_2380	Mcapitata	HTAC	TP11	2380	Reef.18	#d8daeb	2	#01665e	Group1	#1f78b4
Mcapitata_ATAC_TP6_2402	Mcapitata	ATAC	TP6	2402	Reef.18	#d8daeb	2	#01665e	Group2	#33a02c
Mcapitata_ATAC_TP12_2403	Mcapitata	ATAC	TP12	2403	Reef.18	#d8daeb	2	#01665e	Group2	#33a02c
Mcapitata_ATAC_TP1_1037	Mcapitata	ATAC	TP1	1037	Reef.35.36	#998ec3	2	#01665e	Ungrouped	#808080
Mcapitata_ATAC_TP1_1600	Mcapitata	ATAC	TP1	1600	Reef.42.43	#542788	2	#01665e	Ungrouped	#808080
Mcapitata_ATAC_TP1_1652	Mcapitata	ATAC	TP1	1652	HIMB	#b35806	2	#01665e	Ungrouped	#808080
Mcapitata_ATAC_TP3_1101	Mcapitata	ATAC	TP3	1101	HIMB	#b35806	2	#01665e	Ungrouped	#808080
Mcapitata_ATAC_TP3_1548	Mcapitata	ATAC	TP3	1548	Reef.11.13	#fee0b6	2	#01665e	Ungrouped	#808080
Mcapitata_ATAC_TP3_1628	Mcapitata	ATAC	TP3	1628	HIMB	#b35806	2	#01665e	Ungrouped	#808080
Mcapitata_ATAC_TP4_1108	Mcapitata	ATAC	TP4	1108	Reef.35.36	#998ec3	2	#01665e	Ungrouped	#808080
Mcapitata_ATAC_TP4_1609	Mcapitata	ATAC	TP4	1609	HIMB	#b35806	2	#01665e	Ungrouped	#808080
Mcapitata_ATAC_TP4_1651	Mcapitata	ATAC	TP4	1651	HIMB	#b35806	2	#01665e	Ungrouped	#808080
Mcapitata_ATAC_TP5_1196	Mcapitata	ATAC	TP5	1196	Reef.18	#d8daeb	2	#01665e	Ungrouped	#808080
Mcapitata_ATAC_TP5_1610	Mcapitata	ATAC	TP5	1610	Reef.42.43	#542788	2	#01665e	Ungrouped	#808080
Mcapitata_ATAC_TP5_1776	Mcapitata	ATAC	TP5	1776	Reef.42.43	#542788	2	#01665e	Ungrouped	#808080
Mcapitata_ATAC_TP6_1114	Mcapitata	ATAC	TP6	1114	Reef.42.43	#542788	2	#01665e	Ungrouped	#808080
Mcapitata_ATAC_TP6_1611	Mcapitata	ATAC	TP6	1611	Reef.42.43	#542788	2	#01665e	Ungrouped	#808080
Mcapitata_ATAC_TP7_1058	Mcapitata	ATAC	TP7	1058	Lilipuna.Fringe	#f1a340	2	#01665e	Ungrouped	#808080
Mcapitata_ATAC_TP7_1455	Mcapitata	ATAC	TP7	1455	Reef.35.36	#998ec3	2	#01665e	Ungrouped	#808080
Mcapitata_ATAC_TP7_1499	Mcapitata	ATAC	TP7	1499	Reef.35.36	#998ec3	2	#01665e	Ungrouped	#808080
Mcapitata_ATAC_TP8_1083	Mcapitata	ATAC	TP8	1083	Reef.35.36	#998ec3	2	#01665e	Ungrouped	#808080
Mcapitata_ATAC_TP8_1436	Mcapitata	ATAC	TP8	1436	Reef.35.36	#998ec3	2	#01665e	Ungrouped	#808080
Mcapitata_ATAC_TP8_1779	Mcapitata	ATAC	TP8	1779	Reef.42.43	#542788	2	#01665e	Ungrouped	#808080
Mcapitata_ATAC_TP9_1121	Mcapitata	ATAC	TP9	1121	HIMB	#b35806	2	#01665e	Ungrouped	#808080
Mcapitata_ATAC_TP9_1420	Mcapitata	ATAC	TP9	1420	Reef.35.36	#998ec3	2	#01665e	Ungrouped	#808080
Mcapitata_ATAC_TP9_1580	Mcapitata	ATAC	TP9	1580	Reef.35.36	#998ec3	2	#01665e	Ungrouped	#808080
Mcapitata_ATAC_TP10_1095	Mcapitata	ATAC	TP10	1095	Reef.35.36	#998ec3	2	#01665e	Ungrouped	#808080
Mcapitata_ATAC_TP10_1561	Mcapitata	ATAC	TP10	1561	Reef.11.13	#fee0b6	2	#01665e	Ungrouped	#808080
Mcapitata_ATAC_TP10_1631	Mcapitata	ATAC	TP10	1631	HIMB	#b35806	2	#01665e	Ungrouped	#808080
Mcapitata_ATAC_TP11_1076	Mcapitata	ATAC	TP11	1076	Reef.35.36	#998ec3	2	#01665e	Ungrouped	#808080
Mcapitata_ATAC_TP11_1644	Mcapitata	ATAC	TP11	1644	HIMB	#b35806	2	#01665e	Ungrouped	#808080
Mcapitata_ATAC_TP12_1120	Mcapitata	ATAC	TP12	1120	Reef.42.43	#542788	2	#01665e	Ungrouped	#808080
Mcapitata_ATAC_TP12_1452	Mcapitata	ATAC	TP12	1452	Reef.35.36	#998ec3	2	#01665e	Ungrouped	#808080
Mcapitata_ATHC_TP1_1218	Mcapitata	ATHC	TP1	1218	Reef.11.13	#fee0b6	2	#01665e	Ungrouped	#808080
