Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	organism	sample_name	isolate	isolation_source	collection_date	geographic_location	tissue	development_stage
DRR286411	2022-06-07 13:06:50	2022-06-07 13:06:52	15970071	4791021300	15970071	300	1489		https://sra-download.ncbi.nlm.nih.gov/traces/dra4/DRR/000279/DRR286411	DRX275868		RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	400	0	ILLUMINA	Illumina NovaSeq 6000	DRP008629	PRJDB11460	3	847070	DRS242817	SAMD00293167	simple	105610	Montipora efflorescens	SAMD00293167							no					AORI	DRA011820		public	8A7FCCFA4E31015CA91379855E86C92B	5821655A6AC035706E71174D4296A969	Montipora efflorescens	Mont_egg						Egg
DRR286412	2022-06-07 13:06:50	2022-06-07 13:07:33	20789097	6236729100	20789097	300	1935		https://sra-download.ncbi.nlm.nih.gov/traces/dra4/DRR/000279/DRR286412	DRX275869		RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	400	0	ILLUMINA	Illumina NovaSeq 6000	DRP008629	PRJDB11460	3	847070	DRS242818	SAMD00293168	simple	105610	Montipora efflorescens	SAMD00293168							no					AORI	DRA011820		public	FA9EE0FEE3BD23EB0A40527DBD51A918	64543B0CB4A69D6B072CE760C6C3452C	Montipora efflorescens	Mont_planula_1dpf						Planula larvae
DRR286408	2022-06-07 13:06:50	2022-06-07 13:08:14	15192910	4557873000	15192910	300	1422		https://sra-download.ncbi.nlm.nih.gov/traces/dra4/DRR/000279/DRR286408	DRX275865		RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	400	0	ILLUMINA	Illumina NovaSeq 6000	DRP008629	PRJDB11460	3	847070	DRS242819	SAMD00293169	simple	105610	Montipora efflorescens	SAMD00293169							no					AORI	DRA011820		public	431A85622BAC9B379F022B8D2555E6F1	66686BAADE5AC862B1D13FF22C8696D3	Montipora efflorescens	Mont_planula_4dpf						Planula larvae
DRR286409	2022-06-07 13:06:50	2022-06-07 13:08:40	17600680	5280204000	17600680	300	1651		https://sra-download.ncbi.nlm.nih.gov/traces/dra4/DRR/000279/DRR286409	DRX275866		RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	400	0	ILLUMINA	Illumina NovaSeq 6000	DRP008629	PRJDB11460	3	847070	DRS242820	SAMD00293170	simple	246299	Montipora cactus	SAMD00293170							no					AORI	DRA011820		public	EBF3C4CE01745F0B2CD8EB85CC436CBC	5A13F8754F529A8B753B3707539FD9F8	Montipora cactus	Mont_sperm						Sperm
DRR286407	2022-06-07 13:06:50	2022-06-07 13:06:02	21842337	4412152074	21842337	202	1276		https://sra-download.ncbi.nlm.nih.gov/traces/dra1/DRR/000279/DRR286407	DRX275864		RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	400	0	ILLUMINA	Illumina NovaSeq 6000	DRP008629	PRJDB11460	3	847070	DRS242821	SAMD00293171	simple	246299	Montipora cactus	SAMD00293171							no					AORI	DRA011820		public	84617DB7D30518073E9B4A569DB5F41D	F9BEB31E7DE3D64B390F52F370141C95	Montipora cactus	Mcac_adult						Adult
DRR286410	2022-06-07 13:06:50	2022-06-07 13:07:09	24351874	4919078548	24351874	202	1408		https://sra-download.ncbi.nlm.nih.gov/traces/dra1/DRR/000279/DRR286410	DRX275867		RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	400	0	ILLUMINA	Illumina NovaSeq 6000	DRP008629	PRJDB11460	3	847070	DRS242822	SAMD00293172	simple	105610	Montipora efflorescens	SAMD00293172							no					AORI	DRA011820		public	7F57E6E61F332BC13874CDDE15A6D834	CFD029EF8A55DEE63093FECCC91FC94F	Montipora efflorescens	Meff_adult						Adult
SRR18650999	2022-04-09 07:39:25	2022-04-06 00:30:33	95696808	28708968660	95696808	299	8338		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18650999/SRR18650999	SRX14754049	Illumina_MON_1	WGS	PCR	GENOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP367755	PRJNA812941		812941	SRS12515359	SAMN26442120	simple	2924933	Montipora sp. Colony 1 RG-2022	MON_UAR_061801							no					UNIVERSITY OF CALIFORNIA SANTA CRUZ	SRA1398535		public	BAF8C0A3FB4FFD040E65079245887054	8F9722A746E7E632D2A596390A59E3B8	Montipora sp. Colony 1 RG-2022		Colony 1	coral reef	2018	Pacific Ocean	coral tissue
SRR13523393	2021-01-27 21:28:50	2021-01-25 17:08:14	29876665	8962999500	29876665	300	3651		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13523393/SRR13523393	SRX9934042	MC-289_Field_289-1	RNA-Seq	cDNA	METATRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP303193	PRJNA694677		694677	SRS11146695	SAMN23428279	simple	46704	Montipora capitata	Montipora capitata nubbin: MC-289_Field_289-1							no					RUTGERS UNIVERSITY	SRA1187692		public	BB1A05119EB8420A8CCFDEA399DDB088	42D5C45281F0EABF07FEA63612F4827A	Montipora capitata		Coral colony (ID:289) from the waters of Kaneohe Bay, Hawaii (PlugID:289-1). Field sample.	A coral colony from the north end of Coconut Island, Kaneohe Bay, Hawaii	2019-05-30	USA: From the waters of Kaneohe Bay, Hawaii	Coral nubbin
SRR13523392	2021-01-27 21:28:50	2021-01-25 16:55:42	27896463	8368938900	27896463	300	3392		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13523392/SRR13523392	SRX9934043	MC-289_Field_289-2	RNA-Seq	cDNA	METATRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP303193	PRJNA694677		694677	SRS11146696	SAMN23428280	simple	46704	Montipora capitata	Montipora capitata nubbin: MC-289_Field_289-2							no					RUTGERS UNIVERSITY	SRA1187692		public	56C22BB20CEE651616818709E423F0CF	5962E7A6BC4024C588E9AD3F80B4ECE1	Montipora capitata		Coral colony (ID:289) from the waters of Kaneohe Bay, Hawaii (PlugID:289-2). Field sample.	A coral colony from the north end of Coconut Island, Kaneohe Bay, Hawaii	2019-05-30	USA: From the waters of Kaneohe Bay, Hawaii	Coral nubbin
SRR13523381	2021-01-27 21:28:49	2021-01-25 16:23:10	27492070	8247621000	27492070	300	3376		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13523381/SRR13523381	SRX9934054	MC-289_Field_289-3	RNA-Seq	cDNA	METATRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP303193	PRJNA694677		694677	SRS11146697	SAMN23428281	simple	46704	Montipora capitata	Montipora capitata nubbin: MC-289_Field_289-3							no					RUTGERS UNIVERSITY	SRA1187692		public	673215CF78F676A68B3E2D7A41D00B07	46B1678F9CF8F84D87C0F763E5309040	Montipora capitata		Coral colony (ID:289) from the waters of Kaneohe Bay, Hawaii (PlugID:289-3). Field sample.	A coral colony from the north end of Coconut Island, Kaneohe Bay, Hawaii	2019-05-30	USA: From the waters of Kaneohe Bay, Hawaii	Coral nubbin
SRR13523379	2021-01-27 21:28:49	2021-01-25 16:16:49	17074571	5122371300	17074571	300	2049		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13523379/SRR13523379	SRX9934056	MC-289_T1-Amb_1535	RNA-Seq	cDNA	METATRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP303193	PRJNA694677		694677	SRS11146700	SAMN23428283	simple	46704	Montipora capitata	Montipora capitata nubbin: MC-289_T1-Amb_1535							no					RUTGERS UNIVERSITY	SRA1187692		public	ED426E4BC833F0393026CFF348E3AE00	619CDE172066864FE06145CE69441AFF	Montipora capitata		Coral colony (ID:289) from the waters of Kaneohe Bay, Hawaii (PlugID:1535). Exposed to ambient (~27.5C) temperature conditions; collected at time point 1.	A coral colony from the north end of Coconut Island, Kaneohe Bay, Hawaii	2019-05-07	USA: From the waters of Kaneohe Bay, Hawaii	Coral nubbin
SRR13523378	2021-01-27 21:28:50	2021-01-25 16:25:25	18113762	5434128600	18113762	300	2187		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13523378/SRR13523378	SRX9934057	MC-289_T1-Amb_1603	RNA-Seq	cDNA	METATRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP303193	PRJNA694677		694677	SRS11146698	SAMN23428282	simple	46704	Montipora capitata	Montipora capitata nubbin: MC-289_T1-Amb_1603							no					RUTGERS UNIVERSITY	SRA1187692		public	0B4C8A6916D52157188EF3AF503BB6BE	F73FD541F84C36FB4EE07B1940751061	Montipora capitata		Coral colony (ID:289) from the waters of Kaneohe Bay, Hawaii (PlugID:1603). Exposed to ambient (~27.5C) temperature conditions; collected at time point 1.	A coral colony from the north end of Coconut Island, Kaneohe Bay, Hawaii	2019-05-07	USA: From the waters of Kaneohe Bay, Hawaii	Coral nubbin
SRR13523377	2021-01-27 21:28:50	2021-01-25 16:26:21	25624212	7687263600	25624212	300	3127		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13523377/SRR13523377	SRX9934058	MC-289_T1-Amb_1609	RNA-Seq	cDNA	METATRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP303193	PRJNA694677		694677	SRS11146699	SAMN23428284	simple	46704	Montipora capitata	Montipora capitata nubbin: MC-289_T1-Amb_1609							no					RUTGERS UNIVERSITY	SRA1187692		public	B74BBD6C8FC876A81011EAC8CB188B2D	C7944D08A9E1DD8C21C834B148F7730D	Montipora capitata		Coral colony (ID:289) from the waters of Kaneohe Bay, Hawaii (PlugID:1609). Exposed to ambient (~27.5C) temperature conditions; collected at time point 1.	A coral colony from the north end of Coconut Island, Kaneohe Bay, Hawaii	2019-05-07	USA: From the waters of Kaneohe Bay, Hawaii	Coral nubbin
SRR13523376	2021-01-27 21:28:50	2021-01-25 16:19:28	15707232	4712169600	15707232	300	1931		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13523376/SRR13523376	SRX9934059	MC-289_T1-HiT_2023	RNA-Seq	cDNA	METATRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP303193	PRJNA694677		694677	SRS11146702	SAMN23428285	simple	46704	Montipora capitata	Montipora capitata nubbin: MC-289_T1-HiT_2023							no					RUTGERS UNIVERSITY	SRA1187692		public	4785D802E2161709E6AD63ABD6A55E6A	E06D8A125DFC79497B01E20EB12AC82A	Montipora capitata		Coral colony (ID:289) from the waters of Kaneohe Bay, Hawaii (PlugID:2023). Exposed to high (~30.5C) temperature conditions; collected at time point 1.	A coral colony from the north end of Coconut Island, Kaneohe Bay, Hawaii	2019-05-07	USA: From the waters of Kaneohe Bay, Hawaii	Coral nubbin
SRR13523375	2021-01-27 21:28:50	2021-01-25 16:16:56	20051801	6015540300	20051801	300	2394		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13523375/SRR13523375	SRX9934060	MC-289_T1-HiT_2750	RNA-Seq	cDNA	METATRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP303193	PRJNA694677		694677	SRS11146701	SAMN23428286	simple	46704	Montipora capitata	Montipora capitata nubbin: MC-289_T1-HiT_2750							no					RUTGERS UNIVERSITY	SRA1187692		public	F149C67813F992CF5741B4C7041EE916	0FE64BCC4FF78B6A3FBD07EBC8F979FE	Montipora capitata		Coral colony (ID:289) from the waters of Kaneohe Bay, Hawaii (PlugID:2750). Exposed to high (~30.5C) temperature conditions; collected at time point 1.	A coral colony from the north end of Coconut Island, Kaneohe Bay, Hawaii	2019-05-07	USA: From the waters of Kaneohe Bay, Hawaii	Coral nubbin
SRR13523374	2021-01-27 21:28:50	2021-01-25 16:24:22	24819537	7445861100	24819537	300	3012		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13523374/SRR13523374	SRX9934061	MC-289_T1-HiT_2878	RNA-Seq	cDNA	METATRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP303193	PRJNA694677		694677	SRS11146704	SAMN23428287	simple	46704	Montipora capitata	Montipora capitata nubbin: MC-289_T1-HiT_2878							no					RUTGERS UNIVERSITY	SRA1187692		public	2C570F94C34F5B9FD1F27BA19AE7CEC3	5D997D69F9FB0A19D5F707D0C48D19D7	Montipora capitata		Coral colony (ID:289) from the waters of Kaneohe Bay, Hawaii (PlugID:2878). Exposed to high (~30.5C) temperature conditions; collected at time point 1.	A coral colony from the north end of Coconut Island, Kaneohe Bay, Hawaii	2019-05-07	USA: From the waters of Kaneohe Bay, Hawaii	Coral nubbin
SRR13523373	2021-01-27 21:28:50	2021-01-25 16:24:40	20814633	6244389900	20814633	300	2556		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13523373/SRR13523373	SRX9934062	MC-289_T3-Amb_1595	RNA-Seq	cDNA	METATRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP303193	PRJNA694677		694677	SRS11146703	SAMN23428288	simple	46704	Montipora capitata	Montipora capitata nubbin: MC-289_T3-Amb_1595							no					RUTGERS UNIVERSITY	SRA1187692		public	F0492032E88740B5A431DD0BF28169D9	8F92276D1B651AC7D6E74317BEA397D6	Montipora capitata		Coral colony (ID:289) from the waters of Kaneohe Bay, Hawaii (PlugID:1595). Exposed to ambient (~27.5C) temperature conditions; collected at time point 3.	A coral colony from the north end of Coconut Island, Kaneohe Bay, Hawaii	2019-05-07	USA: From the waters of Kaneohe Bay, Hawaii	Coral nubbin
