ID	Ploidy	biallelic_sites	biallelic_sites_denoised	Diploid	Triploid	Tetraploid	Diploid_denoised	Triploid_denoised	Tetraploid_denoised
SRR6914151	2	125276	92981	6804.157268	50758.957212	56327.797362	927.264186	82843.314229	72456.333937
SRR6914609	2	165748	117046	10079.921647	58673.955877	69350.641584	1105.469923	100359.662285	90009.917040
SRR6914908	2	203999	137302	13957.553442	72105.992456	83906.239617	1333.497672	125503.416699	108266.719171
SRR6934388	2	167219	118182	10177.780242	61308.451194	71052.504705	1214.411591	104261.294157	92129.902742
SRR6934542	2	171665	117552	11115.155832	59568.478318	70475.667772	1123.971376	103623.222392	91559.079830
SRR6935629	2	122788	87735	7206.333082	45716.622181	52811.309947	890.709091	76452.932840	67830.544976
SRR6942678	2	149847	105992	9211.760765	53141.703368	62905.793048	968.710961	89436.982750	80773.597555
SRR6942729	2	169872	119448	10463.166620	61376.387569	71633.749535	1038.789517	104266.799763	92387.076239
SRR6951423	2	135510	98779	7777.276104	52144.664614	59379.568805	924.991079	87311.305844	77304.162269
SRR6951744	2	151982	111168	8402.612662	59158.864126	67109.883489	1373.720592	98156.484712	86936.004268
SRR6952431	2	125480	92757	6794.745332	50034.234002	56059.325091	952.969307	82623.581175	72859.382661
SRR6963586	2	181996	132517	10408.237871	71086.613617	80339.117671	1218.647377	117362.257583	103057.370318
SRR6963878	2	196614	141465	11912.406506	78754.453393	87217.939324	1119.441123	131709.397867	112433.737520
SRR6963891	2	135574	101676	7337.337653	55870.890776	61334.573375	702.979899	89984.975306	78485.802407
SRR6964364	2	222002	151467	14852.961093	79955.047943	92340.221315	1297.831820	137372.806806	118799.468492
SRR6986864	2	213605	145911	14512.518128	78255.281415	89584.588977	1140.189408	134690.308565	115109.023558
SRR6987146	2	170659	118961	10922.495194	62657.908160	72353.882749	1245.252909	106551.204891	93014.739300
SRR7039808	2	119285	86793	6592.632631	44484.180821	51711.807996	1088.348681	74381.180212	67053.377536
SRR7040514	2	172724	121342	10961.156839	65497.284649	74186.723462	829.862265	110002.896465	94572.543450
SRR7041301	2	177745	124790	11343.059253	63832.086042	74413.440869	940.463218	107319.774979	95102.889616
SRR7042978	2	197138	138757	12446.438895	80947.137990	87633.109288	955.717178	135388.676943	111893.790792
SRR7043013	2	77113	60503	3398.143853	32970.943228	36518.650383	644.483827	51490.036589	46645.649947
SRR7043704	2	134555	103877	6518.634273	57165.920423	62887.142096	1046.672320	90514.215361	80695.702307
SRR7046161	2	103699	77143	5316.775251	41207.912108	46526.008158	1010.939213	68596.767086	61218.828413
SRR7055829	2	173428	128960	9431.380158	71530.697242	78567.454798	1149.133455	117416.824863	101811.608962
SRR7058378	2	174188	128327	9442.838571	69085.546114	77507.401603	1308.763385	115254.853082	101276.949406
SRR7058566	2	141519	105641	7544.463020	55202.793658	62769.159063	1049.350089	89915.621591	80816.088531
SRR7058606	2	181159	128053	11168.864873	67342.402110	77390.515173	1138.465472	113522.168433	99352.383696
SRR7058616	2	148605	106983	8856.976017	56463.198102	64520.359968	999.610911	94545.134405	83303.950362
SRR7059699	2	169762	121453	10115.386372	65231.817443	73459.925320	1097.809473	109237.801808	94823.951335
SRR7062295	2	124473	91954	6919.666174	48960.512724	54865.392542	860.924428	80230.903010	70881.585220
SRR7062350	2	131681	96788	7125.945138	50353.416648	57739.360642	1014.788530	84259.837509	75444.947393
