RetainedRef	DuplicateRef
Pocillopora_acuta_KBHIv2___RNAseq.g20992.t1	Pocillopora_acuta_KBHIv2___RNAseq.g20962.t1
Pocillopora_acuta_KBHIv2___RNAseq.g12402.t1	Pocillopora_acuta_KBHIv2___RNAseq.g5098.t1
Pocillopora_acuta_KBHIv2___RNAseq.g18885.t1	Pocillopora_acuta_KBHIv2___RNAseq.g18393.t1
Pocillopora_acuta_KBHIv2___RNAseq.g12729.t1	Pocillopora_acuta_KBHIv2___RNAseq.g6400.t1
Pocillopora_acuta_KBHIv2___RNAseq.g12729.t1	Pocillopora_acuta_KBHIv2___RNAseq.g30086.t1
Pocillopora_acuta_KBHIv2___RNAseq.g12729.t1	Pocillopora_acuta_KBHIv2___RNAseq.g16354.t1
Pocillopora_acuta_KBHIv2___RNAseq.g12729.t1	Pocillopora_acuta_KBHIv2___RNAseq.g6099.t1
Pocillopora_acuta_KBHIv2___RNAseq.g12729.t1	Pocillopora_acuta_KBHIv2___RNAseq.g6401.t1
Pocillopora_acuta_KBHIv2___RNAseq.g29590.t1	Pocillopora_acuta_KBHIv2___RNAseq.g19889.t1
Pocillopora_acuta_KBHIv2___RNAseq.g25811.t1	Pocillopora_acuta_KBHIv2___RNAseq.g20733.t1
Pocillopora_acuta_KBHIv2___RNAseq.g8600.t1	Pocillopora_acuta_KBHIv2___RNAseq.g8615.t1
Pocillopora_acuta_KBHIv2___RNAseq.g5625.t1	Pocillopora_acuta_KBHIv2___RNAseq.g24827.t1
Pocillopora_acuta_KBHIv2___RNAseq.g5625.t1	Pocillopora_acuta_KBHIv2___RNAseq.g20442.t1
Pocillopora_acuta_KBHIv2___RNAseq.g20383.t1	Pocillopora_acuta_KBHIv2___RNAseq.g20388.t1
Pocillopora_acuta_KBHIv2___RNAseq.g20081.t1	Pocillopora_acuta_KBHIv2___RNAseq.g20084.t1
Pocillopora_acuta_KBHIv2___RNAseq.g10004.t1	Pocillopora_acuta_KBHIv2___RNAseq.g10005.t1
Pocillopora_acuta_KBHIv2___RNAseq.g17317.t1	Pocillopora_acuta_KBHIv2___RNAseq.g29476.t1
Pocillopora_acuta_KBHIv2___RNAseq.g17317.t1	Pocillopora_acuta_KBHIv2___RNAseq.g24183.t1
Pocillopora_acuta_KBHIv2___RNAseq.g17317.t1	Pocillopora_acuta_KBHIv2___RNAseq.g11544.t1
Pocillopora_acuta_KBHIv2___RNAseq.g17317.t1	Pocillopora_acuta_KBHIv2___RNAseq.g27531.t1
Pocillopora_acuta_KBHIv2___RNAseq.g17317.t1	Pocillopora_acuta_KBHIv2___RNAseq.g27534.t1
Pocillopora_acuta_KBHIv2___RNAseq.g17317.t1	Pocillopora_acuta_KBHIv2___RNAseq.g23581.t1
Pocillopora_acuta_KBHIv2___TS.g2012.t1	Pocillopora_acuta_KBHIv2___TS.g2037.t1
Pocillopora_acuta_KBHIv2___TS.g4620.t1	Pocillopora_acuta_KBHIv2___TS.g4629.t1
Pocillopora_acuta_KBHIv2___RNAseq.g14545.t1	Pocillopora_acuta_KBHIv2___RNAseq.g14551.t1
Pocillopora_acuta_KBHIv2___RNAseq.g5851.t1	Pocillopora_acuta_KBHIv2___RNAseq.g9942.t1
Pocillopora_acuta_KBHIv2___RNAseq.g28654.t1	Pocillopora_acuta_KBHIv2___RNAseq.g28570.t1
Pocillopora_acuta_KBHIv2___RNAseq.g31148.t1	Pocillopora_acuta_KBHIv2___RNAseq.g18250.t1
Pocillopora_acuta_KBHIv2___RNAseq.g31148.t1	Pocillopora_acuta_KBHIv2___RNAseq.g18249.t1
Pocillopora_acuta_KBHIv2___RNAseq.g31148.t1	Pocillopora_acuta_KBHIv2___RNAseq.g31147.t1
Pocillopora_acuta_KBHIv2___RNAseq.g65.t1	Pocillopora_acuta_KBHIv2___RNAseq.g3154.t2
Pocillopora_acuta_KBHIv2___RNAseq.g14526.t1	Pocillopora_acuta_KBHIv2___RNAseq.g28967.t1
Pocillopora_acuta_KBHIv2___RNAseq.g15049.t1	Pocillopora_acuta_KBHIv2___RNAseq.g15043.t1
Pocillopora_acuta_KBHIv2___RNAseq.g10122.t1	Pocillopora_acuta_KBHIv2___RNAseq.g10127.t1
Pocillopora_acuta_KBHIv2___RNAseq.g27914.t1	Pocillopora_acuta_KBHIv2___RNAseq.g27912.t1
Pocillopora_acuta_KBHIv2___RNAseq.g27914.t1	Pocillopora_acuta_KBHIv2___RNAseq.g27918.t1
Pocillopora_acuta_KBHIv2___RNAseq.g27914.t1	Pocillopora_acuta_KBHIv2___RNAseq.g27916.t1
Pocillopora_acuta_KBHIv2___RNAseq.g16171.t1	Pocillopora_acuta_KBHIv2___RNAseq.g13512.t1
Pocillopora_acuta_KBHIv2___TS.g14311.t1	Pocillopora_acuta_KBHIv2___RNAseq.g542.t1
Pocillopora_acuta_KBHIv2___RNAseq.g24951.t1	Pocillopora_acuta_KBHIv2___RNAseq.g9905.t1
Pocillopora_acuta_KBHIv2___RNAseq.g19969.t1	Pocillopora_acuta_KBHIv2___RNAseq.g19903.t1
Pocillopora_acuta_KBHIv2___TS.g30386.t1	Pocillopora_acuta_KBHIv2___TS.g30369.t1
Pocillopora_acuta_KBHIv2___RNAseq.g18380.t1	Pocillopora_acuta_KBHIv2___RNAseq.g8441.t1
Pocillopora_acuta_KBHIv2___RNAseq.g10522.t1	Pocillopora_acuta_KBHIv2___RNAseq.g10521.t1
Pocillopora_acuta_KBHIv2___RNAseq.g17353.t1	Pocillopora_acuta_KBHIv2___RNAseq.g17344.t1
Pocillopora_acuta_KBHIv2___RNAseq.g19100.t1	Pocillopora_acuta_KBHIv2___RNAseq.g390.t1
Pocillopora_acuta_KBHIv2___RNAseq.g12457.t1	Pocillopora_acuta_KBHIv2___RNAseq.g12472.t1
Pocillopora_acuta_KBHIv2___RNAseq.g30248.t1	Pocillopora_acuta_KBHIv2___RNAseq.g30247.t1
Pocillopora_acuta_KBHIv2___RNAseq.g27391.t1	Pocillopora_acuta_KBHIv2___RNAseq.g27393.t1
Pocillopora_acuta_KBHIv2___RNAseq.g27391.t1	Pocillopora_acuta_KBHIv2___RNAseq.g27392.t1
Pocillopora_acuta_KBHIv2___RNAseq.g27391.t1	Pocillopora_acuta_KBHIv2___RNAseq.g27394.t1
Pocillopora_acuta_KBHIv2___RNAseq.g4814.t1	Pocillopora_acuta_KBHIv2___RNAseq.g9340.t1
Pocillopora_acuta_KBHIv2___RNAseq.g7877.t2	Pocillopora_acuta_KBHIv2___RNAseq.g7887.t1
